id,name,icon,des,link,linkelse,needevent,needarg,award,nextid,preid,sort,showLv
11001,通关普通关卡,,通关一般关卡1-01,802,10101,2001,10101,"1,2,5",11002,0,1,1
11002,通关普通关卡,,通关一般关卡1-02,802,10102,2001,10102,"1,2,5",11003,11001,1,1
11003,通关普通关卡,,通关一般关卡1-03,802,10103,2001,10103,"1,2,5",11004,11002,1,1
11004,通关普通关卡,,通关一般关卡1-04,802,10104,2001,10104,"1,2,5",11005,11003,1,1
11005,通关普通关卡,,通关一般关卡1-05,802,10105,2001,10105,"1,2,5",11006,11004,1,1
11006,通关普通关卡,,通关一般关卡1-06,802,10106,2001,10106,"1,2,5",11007,11005,1,1
11007,通关普通关卡,,通关一般关卡2-01,802,10201,2001,10201,"1,2,5",11008,11006,1,1
11008,通关普通关卡,,通关一般关卡2-02,802,10202,2001,10202,"1,2,5",11009,11007,1,1
11009,通关普通关卡,,通关一般关卡2-03,802,10203,2001,10203,"1,2,5",11010,11008,1,1
11010,通关普通关卡,,通关一般关卡2-05,802,10205,2001,10205,"1,2,5",11011,11009,1,1
11011,通关普通关卡,,通关一般关卡2-06,802,10206,2001,10206,"1,2,5",11012,11010,1,1
11012,通关普通关卡,,通关一般关卡2-07,802,10207,2001,10207,"1,2,5",11013,11011,1,1
11013,通关普通关卡,,通关一般关卡2-09,802,10209,2001,10209,"1,2,5",11014,11012,1,1
11014,通关普通关卡,,通关一般关卡3-01,802,10301,2001,10301,"1,2,5",11015,11013,1,1
11015,通关普通关卡,,通关一般关卡3-02,802,10302,2001,10302,"1,2,5",11016,11014,1,1
11016,通关普通关卡,,通关一般关卡3-04,802,10304,2001,10304,"1,2,5",11017,11015,1,1
11017,通关普通关卡,,通关一般关卡3-05,802,10305,2001,10305,"1,2,5",11018,11016,1,1
11018,通关普通关卡,,通关一般关卡3-07,802,10307,2001,10307,"1,2,5",11019,11017,1,1
11019,通关普通关卡,,通关一般关卡3-08,802,10308,2001,10308,"1,2,5",11020,11018,1,1
11020,通关普通关卡,,通关一般关卡3-10,802,10310,2001,10310,"1,2,5",11021,11019,1,1
11021,通关普通关卡,,通关一般关卡3-11,802,10311,2001,10311,"1,2,5",11022,11020,1,1
11022,通关普通关卡,,通关一般关卡4-01,802,10401,2001,10401,"1,2,5",11023,11021,1,1
11023,通关普通关卡,,通关一般关卡4-02,802,10402,2001,10402,"1,2,5",11024,11022,1,1
11024,通关普通关卡,,通关一般关卡4-04,802,10404,2001,10404,"1,2,5",11025,11023,1,1
11025,通关普通关卡,,通关一般关卡4-05,802,10405,2001,10405,"1,2,5",11026,11024,1,1
11026,通关普通关卡,,通关一般关卡4-07,802,10407,2001,10407,"1,2,5",11027,11025,1,1
11027,通关普通关卡,,通关一般关卡4-08,802,10408,2001,10408,"1,2,5",11028,11026,1,1
11028,通关普通关卡,,通关一般关卡4-10,802,10410,2001,10410,"1,2,5",11029,11027,1,1
11029,通关普通关卡,,通关一般关卡4-11,802,10411,2001,10411,"1,2,5",11030,11028,1,1
11030,通关普通关卡,,通关一般关卡5-01,802,10501,2001,10501,"1,2,5",11031,11029,1,1
11031,通关普通关卡,,通关一般关卡5-02,802,10502,2001,10502,"1,2,5",11032,11030,1,1
11032,通关普通关卡,,通关一般关卡5-04,802,10504,2001,10504,"1,2,5",11033,11031,1,1
11033,通关普通关卡,,通关一般关卡5-05,802,10505,2001,10505,"1,2,5",11034,11032,1,1
11034,通关普通关卡,,通关一般关卡5-07,802,10507,2001,10507,"1,2,5",11035,11033,1,1
11035,通关普通关卡,,通关一般关卡5-08,802,10508,2001,10508,"1,2,5",11036,11034,1,1
11036,通关普通关卡,,通关一般关卡5-10,802,10510,2001,10510,"1,2,5",11037,11035,1,1
11037,通关普通关卡,,通关一般关卡5-11,802,10511,2001,10511,"1,2,5",11038,11036,1,1
11038,通关普通关卡,,通关一般关卡6-01,802,10601,2001,10601,"1,2,5",11039,11037,1,1
11039,通关普通关卡,,通关一般关卡6-02,802,10602,2001,10602,"1,2,5",11040,11038,1,1
11040,通关普通关卡,,通关一般关卡6-04,802,10604,2001,10604,"1,2,5",11041,11039,1,1
11041,通关普通关卡,,通关一般关卡6-05,802,10605,2001,10605,"1,2,5",11042,11040,1,1
11042,通关普通关卡,,通关一般关卡6-07,802,10607,2001,10607,"1,2,5",11043,11041,1,1
11043,通关普通关卡,,通关一般关卡6-08,802,10608,2001,10608,"1,2,5",11044,11042,1,1
11044,通关普通关卡,,通关一般关卡6-10,802,10610,2001,10610,"1,2,5",11045,11043,1,1
11045,通关普通关卡,,通关一般关卡6-11,802,10611,2001,10611,"1,2,5",11046,11044,1,1
11046,通关普通关卡,,通关一般关卡7-01,802,10701,2001,10701,"1,2,5",11047,11045,1,1
11047,通关普通关卡,,通关一般关卡7-02,802,10702,2001,10702,"1,2,5",11048,11046,1,1
11048,通关普通关卡,,通关一般关卡7-04,802,10704,2001,10704,"1,2,5",11049,11047,1,1
11049,通关普通关卡,,通关一般关卡7-05,802,10705,2001,10705,"1,2,5",11050,11048,1,1
11050,通关普通关卡,,通关一般关卡7-07,802,10707,2001,10707,"1,2,5",11051,11049,1,1
11051,通关普通关卡,,通关一般关卡7-08,802,10708,2001,10708,"1,2,5",11052,11050,1,1
11052,通关普通关卡,,通关一般关卡7-10,802,10710,2001,10710,"1,2,5",11053,11051,1,1
11053,通关普通关卡,,通关一般关卡7-11,802,10711,2001,10711,"1,2,5",11054,11052,1,1
11054,通关普通关卡,,通关一般关卡8-01,802,10801,2001,10801,"1,2,5",11055,11053,1,1
11055,通关普通关卡,,通关一般关卡8-02,802,10802,2001,10802,"1,2,5",11056,11054,1,1
11056,通关普通关卡,,通关一般关卡8-04,802,10804,2001,10804,"1,2,5",11057,11055,1,1
11057,通关普通关卡,,通关一般关卡8-05,802,10805,2001,10805,"1,2,5",11058,11056,1,1
11058,通关普通关卡,,通关一般关卡8-07,802,10807,2001,10807,"1,2,5",11059,11057,1,1
11059,通关普通关卡,,通关一般关卡8-08,802,10808,2001,10808,"1,2,5",11060,11058,1,1
11060,通关普通关卡,,通关一般关卡8-10,802,10810,2001,10810,"1,2,5",11061,11059,1,1
11061,通关普通关卡,,通关一般关卡8-11,802,10811,2001,10811,"1,2,5",11062,11060,1,1
11062,通关普通关卡,,通关一般关卡9-01,802,10901,2001,10901,"1,2,5",11063,11061,1,1
11063,通关普通关卡,,通关一般关卡9-02,802,10902,2001,10902,"1,2,5",11064,11062,1,1
11064,通关普通关卡,,通关一般关卡9-04,802,10904,2001,10904,"1,2,5",11065,11063,1,1
11065,通关普通关卡,,通关一般关卡9-05,802,10905,2001,10905,"1,2,5",11066,11064,1,1
11066,通关普通关卡,,通关一般关卡9-07,802,10907,2001,10907,"1,2,5",11067,11065,1,1
11067,通关普通关卡,,通关一般关卡9-08,802,10908,2001,10908,"1,2,5",11068,11066,1,1
