id,star,level,addRate,costCoin,exp
1,0,0,0,0,0
2,0,1,0.05,10,100
3,0,2,0.1,20,200
4,0,3,0.15,30,300
5,0,4,0.2,40,400
6,0,5,0.25,50,500
7,0,6,0.3,60,600
8,0,7,0.35,70,700
9,0,8,0.4,80,800
10,0,9,0.45,90,900
11,0,10,0.5,100,1000
12,1,0,0.55,110,1100
13,1,1,0.6,120,1200
14,1,2,0.65,130,1300
15,1,3,0.7,140,1400
16,1,4,0.75,150,1500
17,1,5,0.8,160,1600
18,1,6,0.85,170,1700
19,1,7,0.9,180,1800
20,1,8,0.95,190,1900
21,1,9,1,200,2000
22,1,10,1.05,210,2100
23,1,11,1.1,220,2200
24,1,12,1.15,230,2300
25,2,0,1.2,240,2400
26,2,1,1.25,250,2500
27,2,2,1.3,260,2600
28,2,3,1.35,270,2700
29,2,4,1.4,280,2800
30,2,5,1.45,290,2900
31,2,6,1.5,300,3000
32,2,7,1.55,310,3100
33,2,8,1.6,320,3200
34,2,9,1.65,330,3300
35,2,10,1.7,340,3400
36,2,11,1.75,350,3500
37,2,12,1.8,360,3600
38,2,13,1.85,370,3700
39,2,14,1.9,380,3800
40,3,0,1.95,390,3900
41,3,1,2,400,4000
42,3,2,2.05,410,4100
43,3,3,2.1,420,4200
44,3,4,2.15,430,4300
45,3,5,2.2,440,4400
46,3,6,2.25,450,4500
47,3,7,2.3,460,4600
48,3,8,2.35,470,4700
49,3,9,2.4,480,4800
50,3,10,2.45,490,4900
51,3,11,2.5,500,5000
52,3,12,2.55,510,5100
53,3,13,2.6,520,5200
54,3,14,2.65,530,5300
55,3,15,2.7,540,5400
56,3,16,2.75,550,5500
57,4,0,2.8,560,5600
58,4,1,2.85,570,5700
59,4,2,2.9,580,5800
60,4,3,2.95,590,5900
61,4,4,3,600,6000
62,4,5,3.05,610,6100
63,4,6,3.1,620,6200
64,4,7,3.15,630,6300
65,4,8,3.2,640,6400
66,4,9,3.25,650,6500
67,4,10,3.3,660,6600
68,4,11,3.35,670,6700
69,4,12,3.4,680,6800
70,4,13,3.45,690,6900
71,4,14,3.5,700,7000
72,4,15,3.55,710,7100
73,4,16,3.6,720,7200
74,4,17,3.65,730,7300
75,4,18,3.7,740,7400
76,5,0,3.75,750,7500
77,5,1,3.8,760,7600
78,5,2,3.85,770,7700
79,5,3,3.9,780,7800
80,5,4,3.95,790,7900
81,5,5,4,800,8000
82,5,6,4.05,810,8100
83,5,7,4.1,820,8200
84,5,8,4.15,830,8300
85,5,9,4.2,840,8400
86,5,10,4.25,850,8500
87,5,11,4.3,860,8600
88,5,12,4.35,870,8700
89,5,13,4.4,880,8800
90,5,14,4.45,890,8900
91,5,15,4.5,900,9000
92,5,16,4.55,910,9100
93,5,17,4.6,920,9200
94,5,18,4.65,930,9300
95,5,19,4.7,940,9400
96,5,20,4.75,950,9500
