id,type1,weight1,awardcontent1,type2,weight2,awardcontent2,type3,weight3,awardcontent3,type4,weight4,awardcontent4,type5,weight5,awardcontent5,type6,weight6,awardcontent6,type7,weight7,awardcontent7,type8,weight8,awardcontent8,type9,weight9,awardcontent9,type10,weight10,awardcontent10
1,2,10000,101,2,10000,102,2,10000,103,2,10000,104,2,4000,105,2,4000,106,,,,,,,,,,,,
2,2,10000,201,2,10000,202,2,10000,203,2,10000,204,2,5000,205,2,5000,206,,,,,,,,,,,,
3,2,10000,301,2,10000,302,2,10000,303,2,10000,304,2,5000,305,2,5000,306,,,,,,,,,,,,
4,2,10000,401,2,10000,402,2,10000,403,2,10000,404,2,10000,405,2,10000,406,,,,,,,,,,,,
5,2,10000,501,2,10000,502,2,10000,503,2,10000,504,2,10000,505,2,10000,506,,,,,,,,,,,,
6,2,10000,601,2,10000,602,2,10000,603,2,10000,604,2,10000,605,2,10000,606,,,,,,,,,,,,
11,2,10000,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,10000,1201,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,10000,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,10000,1401,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,10000,1501,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,2,10000,101101,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,2,10000,101201,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,2,10000,101301,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,2,10000,102101,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,2,10000,102201,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,2,10000,102301,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,2,10000,103101,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,2,10000,103201,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,2,10000,103301,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,2,10000,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,2,10000,104201,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,2,10000,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,2,10000,105101,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,2,10000,105201,,,,,,,,,,,,,,,,,,,,,,,,,,,
