id,name,,desc,type,subType,pile,maxCount,range,keepTime,resPrefix,param1,param2,param3,param4,param5,param6,param7,param8,startEffect,keepEffect,endEffect,awaken
1,连击数加攻击,,攻击提升,1,4,1,6,0,10,buff001,2,"2,2","4,5","0.04,0.04",,,,,0,0,0,0
2,未知,,眩晕,2,1,2,1,-1,5,buff002,,,,,,,,,0,72,0,0
3,未知,,减速,2,2,2,1,-1,10,buff002,0.8,,,,,,,,"79,82","80,83","81,84",0
4,大飞韵纹技2中毒,,中毒,2,3,2,1,-1,10,buff002,1,-0.5,,,,,,,0,71,0,0
5,韵纹技无敌,,无敌,2,5,2,1,0,10,buff002,,,,,,,,,0,0,0,0
6,boss起身霸体,,霸体,2,6,2,1,0,6,buff002,,,,,,,,,0,0,0,0
7,急速模式加速,,加速,1,11,3,1,0,10,buff002,1,1,11,10,,,,,0,0,0,0
8,武松技能2,,眩晕,2,1,2,1,-1,2,buff002,,,,,,,,,0,72,0,0
9,武松技能4,,中毒,2,3,2,1,-1,20,buff002,2,-1,,,,,,,0,71,0,0
10,武松技能5,,攻速降低,1,11,3,1,0,5,buff002,1,1,11,-10,,,,,"79,82","80,83","81,84",0
11,武松技能5,,移速降低,2,2,2,1,-1,5,buff002,0.8,,,,,,,,"79,82","80,83","81,84",0
12,怪物sk1,,无敌,2,5,2,1,0,10,buff002,,,,,,,,,"73,76","74,77","75,78",0
13,盾喵加防御,,盾喵加防御,1,4,4,1,0,5,buff002,2,"2,2","6,7","0.3,0.3",,,,,0,0,0,0
14,盾喵加霸体,,霸体2.5秒,2,6,4,1,0,2.5,buff002,2,,,,,,,,0,0,0,0
15,mp回复为负值,,mp回复为负值,1,9,3,1,0,9999,buff002,1,1,9,-10,,,,,0,0,0,0
16,西门狂暴buff,,加攻速,1,11,3,1,0,10,buff002,1,1,11,15,,,,,"79,82","80,83","81,84",0
17,起身无敌,,无敌,2,5,2,1,0,5,buff002,,,,,,,,,"73,76","74,77","75,78",0
18,boss通用霸体,,霸体18秒,2,6,2,1,0,18,buff002,,,,,,,,,"73,76","74,77","75,78",0
19,西门眩晕,,眩晕,2,1,2,1,-1,1,buff002,,,,,,,,,0,72,0,0
20,录宗眩晕,,眩晕,2,1,2,1,-1,1,buff002,,,,,,,,,0,72,0,0
21,女宗主眩晕,,眩晕,2,1,2,1,-1,1.5,buff002,,,,,,,,,0,72,0,0
22,吹号角,,移动速度提升,1,13,1,0,0,10,buff001,1,1,13,150,,,,,34,0,0,0
23,复活增加攻击,,攻击提升20%！,1,4,1,0,0,99999,buff001,2,"2,2","4,5","0.2,0.2",,,,,0,0,0,0
24,复活增加防御,,防御提升20%！,1,6,1,0,0,99999,buff001,2,"2,2","6,7","0.2,0.2",,,,,0,0,0,0
25,复活增加暴击,,暴击提升！,1,23,1,0,0,99999,buff001,1,1,23,5500,,,,,0,0,0,0
26,佣兵登场无敌,,无敌,2,5,2,1,0,5,buff002,,,,,,,,,"73,76","74,77","75,78",1
27,纳宗莲花落,,减速,2,2,2,1,-1,5,buff002,0.8,,,,,,,,"79,82","80,83","81,84",1
28,哥布林逃跑无敌,,无敌,2,5,2,1,0,99999,buff002,,,,,,,,,,,,0
29,手宗男p1霸体,,霸体999,2,6,2,1,0,999,buff002,,,,,,,,,0,0,0,0
30,手宗男p1霸体消失,,霸体0.1,2,6,2,1,0,0.01,buff002,,,,,,,,,0,0,0,0
31,手宗男不移动,,减速,2,2,2,1,-1,999,buff002,1,,,,,,,,,,,0
32,手宗男移动,,减速,2,2,2,1,-1,1,buff002,1,,,,,,,,"79,82","80,83","81,84",0
33,白糖技能6,,mp回复,1,9,3,1,0,60,buff002,1,1,9,1,,,,,0,100,0,0
34,白糖技能6,,加速,1,11,3,1,0,60,buff002,1,1,11,2,,,,,0,0,0,0
35,白糖技能6,,占坑,,,,,,,,,,,,,,,,,,,
36,顶掉无敌,,顶掉无敌,2,5,2,1,0,0.01,buff002,,,,,,,,,0,0,0,0
37,破损木偶自爆,,中毒,2,3,2,1,-1,1,buff002,0.1,-10000,,,,,,2,0,0,0,0
38,老丑愤怒眩晕,,眩晕,2,1,2,1,-1,2,buff002,,,,,,,,,0,72,0,0
39,老丑mp回复为负值,,mp回复为负值,1,9,3,1,0,9999,buff002,1,1,9,-5,,,,,0,0,0,0
40,芭蕾舞木偶减防御,,减防御,1,4,4,10,0,99999,buff002,2,"2,2","6,7","-0.3,-0.3",,,,,42,44,0,0
41,白糖韵纹技3,,眩晕,2,1,2,1,-1,5,buff002,,,,,,,,,0,72,0,0
42,女宗主落雷眩晕,,眩晕,2,1,2,1,-1,2,buff002,,,,,,,,,0,72,0,0
43,玲珑束缚,,减速,2,2,2,1,-1,5,buff002,1,,,,,,,,,,,0
44,玲珑中毒,,中毒,2,3,2,1,-1,6,buff002,1,-0.3,,,,,,,0,71,0,0
45,灯笼猫,,减防御,1,4,4,10,0,10,buff002,2,"2,2","6,7","-0.3,-0.3",,,,,42,44,0,0
46,道士猫束缚,,减速,2,2,2,1,-1,5,buff002,1,,,,,,,,,,,0
47,道士猫落雷眩晕,,眩晕,2,1,2,1,-1,2,buff002,,,,,,,,,0,72,0,0
48,萨满猫敲锣眩晕,,眩晕,2,1,2,1,-1,1,buff002,,,,,,,,,0,72,0,0
49,船锚猫眩晕,,眩晕,2,1,2,1,-1,2,buff002,,,,,,,,,0,72,0,0
50,葫芦猫眩晕,,眩晕,2,1,2,1,-1,3,buff002,,,,,,,,,0,72,0,0
51,小丑梅花毒药罐,,中毒,2,3,2,1,-1,10,buff002,1,-0.6,,,,,,2,0,0,0,0
52,钟无艳减速,,减速,2,2,2,1,-1,5,buff002,0.3,,,,,,,,,,,0
53,钟无艳冰冻,,攻速降低,1,11,3,1,0,5,buff002,1,1,11,-15,,,,,"79,82","80,83","81,84",0
54,钟无艳冰冻,,移速降低,2,2,2,1,-1,5,buff002,0.5,,,,,,,,"79,82","80,83","81,84",0
55,唐明减速,,减速,2,2,2,1,-1,2,buff002,0.5,,,,,,,,,,,0
56,督宗牢笼眩晕,,眩晕,2,1,2,1,-1,2,buff002,,,,,,,,,0,72,0,0
57,督宗大鼎砸人,,眩晕,2,1,2,1,-1,5,buff002,,,,,,,,,0,72,0,0
58,督宗激光,,眩晕,2,1,2,1,-1,2,buff002,,,,,,,,,0,72,0,0
59,唱宗小太阳,,眩晕,2,1,2,1,-1,2,buff002,,,,,,,,,0,72,0,0
60,墨兰水牢,,束缚,2,1,2,1,-1,5,buff002,,,,,,,,,0,72,0,0
61,步宗大钟,,眩晕,2,1,2,1,-1,5,buff002,,,,,,,,,0,72,0,0
62,芭蕾木偶眩晕,,眩晕,2,1,2,1,-1,3,buff002,,,,,,,,,0,72,0,0
63,大猫陨石眩晕,,眩晕,2,1,2,1,-1,3,buff002,,,,,,,,,0,72,0,0
64,大猫陨石缓速,,移速降低,2,2,2,1,-1,15,buff002,0.5,,,,,,,,"79,82","80,83","81,84",0
65,大猫陨石缓速,,攻速降低,1,11,3,1,0,15,buff002,1,1,11,-15,,,,,"79,82","80,83","81,84",0
66,白糖技能6,,饕餮狂暴了！！！！,1,4,1,0,0,1,buff001,2,"2,2","4,5","0.2,0.2",,,,,0,0,0,0
67,饕餮第二阶段，给玩家回血,,阶段转换，HP、MP恢复,1,15,3,1,0,5,buff002,1,1,8,100000,,,,,0,0,0,0
68,饕餮第二阶段，给玩家回蓝,,,1,16,3,1,0,5,buff002,1,1,9,20,,,,,0,0,0,0
