id,guildlevel,quality,name,des,time,rate,award1,award2
1101,1,1,抵御狗族1,抵御狗族入侵1,1200,1000,1;1;1100,1;2;1
1102,1,1,抵御狗族2,抵御狗族入侵2,1200,1000,1;1;1100,1;2;2
1203,1,2,抵御狗族3,抵御狗族入侵3,3600,1000,1;1;1200,1;2;3
1304,1,3,净化纳宗1,净化纳宗混沌1,7200,2000,1;1;1300,1;2;4
1405,1,4,净化纳宗1,净化纳宗混沌2,14400,2000,1;1;1400,1;2;5
1506,1,5,净化纳宗1,净化纳宗混沌3,28800,2000,1;1;1500,1;2;1
1107,1,1,抵御豺族1,抵御豺族入侵1,1200,1000,1;1;1100,1;2;2
1108,1,1,抵御豺族2,抵御豺族入侵2,1200,1000,1;1;1100,1;2;3
1209,1,2,抵御豺族3,抵御豺族入侵3,3600,1000,1;1;1200,1;2;4
1310,1,3,净化打宗1,净化打宗混沌1,7200,2000,1;1;1300,1;2;5
1411,1,4,净化打宗1,净化打宗混沌2,14400,2000,1;1;1400,1;2;1
1512,1,5,净化打宗1,净化打宗混沌3,28800,2000,1;1;1500,1;2;2
2101,2,1,抵御狼族1,抵御狼族入侵1,1200,1000,1;1;2100,1;2;3
2102,2,1,抵御狼族2,抵御狼族入侵2,1200,1000,1;1;2100,1;2;4
2203,2,2,抵御狼族3,抵御狼族入侵3,3600,1000,1;1;2200,1;2;5
2304,2,3,净化录宗1,净化录宗混沌1,7200,2000,1;1;2300,1;2;1
2405,2,4,净化录宗2,净化录宗混沌2,14400,2000,1;1;2400,1;2;2
2506,2,5,净化录宗3,净化录宗混沌3,28800,2000,1;1;2500,1;2;3
2107,2,1,抵御猪族1,抵御猪族入侵1,1200,1000,1;1;2100,1;2;3
2108,2,1,抵御猪族2,抵御猪族入侵2,1200,1000,1;1;2100,1;2;4
2209,2,2,抵御猪族3,抵御猪族入侵3,3600,1000,1;1;2200,1;2;5
2310,2,3,净化手宗1,净化手宗混沌1,7200,2000,1;1;2300,1;2;1
2411,2,4,净化手宗2,净化手宗混沌2,14400,2000,1;1;2400,1;2;2
2512,2,5,净化手宗3,净化手宗混沌3,28800,2000,1;1;2500,1;2;3
3101,3,1,抵御虎族1,抵御虎族入侵1,1200,1000,1;1;3100,1;2;4
3102,3,1,抵御虎族2,抵御虎族入侵2,1200,1000,1;1;3100,1;2;5
3203,3,2,抵御虎族3,抵御虎族入侵3,3600,1000,1;1;3200,1;2;1
3304,3,3,净化督宗1,净化督宗混沌1,7200,2000,1;1;3300,1;2;2
3405,3,4,净化督宗2,净化督宗混沌2,14400,2000,1;1;3400,1;2;3
3506,3,5,净化督宗3,净化督宗混沌3,28800,2000,1;1;3500,1;2;4
3107,3,1,抵御狐族1,抵御狐族入侵1,1200,1000,1;1;3100,1;2;4
3108,3,1,抵御狐族2,抵御狐族入侵2,1200,1000,1;1;3100,1;2;5
3209,3,2,抵御狐族3,抵御狐族入侵3,3600,1000,1;1;3200,1;2;1
3310,3,3,净化眼宗1,净化眼宗混沌1,7200,2000,1;1;3300,1;2;2
