id,name,titleIcon,desc,bgPicture,starAwardCount1,starAwardType1,starAwardContent1,starAwardshow1,starAwardCount2,starAwardType2,starAwardContent2,starAwardshow2,starAwardCount3,starAwardType3,starAwardContent3,starAwardshow3,,stageList,starTotalCount
1,巴山试炼,,巴山试炼,,0,0,0,0,0,0,0,0,0,0,0,0,,101;102;103;104;105,0
101,京剧猫初现,#lang_stage_chapterName1.png,,#stageMap_01.png,6,1,1011,"(1,2,30);(1,1,50000)",12,1,1012,"(11,1,30);(11,1001,10);(11,1002,10)",18,1,1013,"(1,2,50);(1,1,80000)",,10101;10102;10103;10104;10105;10106,18
102,冲破城门,#lang_stage_chapterName2.png,,#stageMap_02.png,9,1,1021,"(1,2,30);(1,1,50000)",18,1,1022,"(11,1,30);(11,1001,10);(11,1002,10)",27,1,1023,"(1,2,50);(1,1,80000)",,10201;10202;10203;10204;10205;10206;10207;10208;10209,27
103,守护的心,#lang_stage_chapterName3.png,,#stageMap_03.png,12,1,1031,"(1,2,30);(1,1,50000)",24,1,1032,"(11,1,30);(11,1001,10);(11,1002,10)",36,1,1033,"(3,3,5);(1,2,50)",,10301;10302;10303;10304;10305;10306;10307;10308;10309;10310;10311;10312,36
104,分宗试炼,#lang_stage_chapterName4.png,,#stageMap_04.png,12,1,1041,"(1,2,30);(1,1,50000)",24,1,1042,"(11,1,30);(11,1001,10);(11,1002,10)",36,1,1043,"(3,3,5);(1,2,50)",,10401;10402;10403;10404;10405;10406;10407;10408;10409;10410;10411;10412,36
105,捍卫历史,#lang_stage_chapterName5.png,,#stageMap_05.png,12,1,1051,"(3,3,5);(1,2,30)",24,1,1052,"(11,1,30);(11,2001,10);(11,2002,10)",36,1,1053,"(1,1,50000);(1,2,50)",,10501;10502;10503;10504;10505;10506;10507;10508;10509;10510;10511;10512,36
106,少女的心结,#lang_stage_chapterName6.png,,#stageMap_01.png,12,1,1061,"(3,3,5);(1,2,30)",24,1,1062,"(11,1,30);(11,2001,10);(11,2002,10)",36,1,1063,"(1,1,50000);(1,2,50)",,10601;10602;10603;10604;10605;10606;10607;10608;10609;10610;10611;10612,36
107,探寻督宗,#lang_stage_chapterName7.png,,#stageMap_02.png,12,1,1071,"(3,3,5);(1,2,30)",24,1,1072,"(11,1,50);(11,3001,20);(11,3002,20)",36,1,1073,"(1,1,50000);(1,2,50)",,10701;10702;10703;10704;10705;10706;10707;10708;10709;10710;10711;10712,36
108,迷失的正义,#lang_stage_chapterName8.png,,#stageMap_03.png,12,1,1081,"(3,3,5);(1,2,30)",24,1,1082,"(11,1,50);(11,3001,20);(11,3002,20)",36,1,1083,"(1,1,50000);(1,2,50)",,10801;10802;10803;10804;10805;10806;10807;10808;10809;10810;10811;10812,36
109,执念的凶犯,#lang_stage_chapterName9.png,,#stageMap_04.png,12,1,1091,"(3,3,5);(1,2,30)",24,1,1092,"(11,1,50);(11,4001,20);(11,4002,20)",36,1,1093,"(1,1,50000);(1,2,50)",,10901;10902;10903;10904;10905;10906;10907;10908;10909;10910;10911;10912,36
