id,monsterid,res,light,quality,territory,name,desc
5001,5001,monster0001,1,2,5;6,铜锤硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5005,5005,monster0005,2,3,5;6,魔化猫硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5006,5006,monster0006,1,2,5;6,小雷公硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5008,5008,monster0008,3,4,5,纳兰硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5009,5009,monster0009,3,4,6,欧阳硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5010,5010,monster0010,3,4,6,荣光硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5011,5011,monster0011,3,4,6,西门硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5013,5013,monster0013,3,4,7,忠硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5014,5014,monster0014,3,4,7,灵锡硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5015,5015,monster0015,4,5,8,老丑硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5017,5017,monster0017,4,5,8,修硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5018,5018,monster0018,2,3,5,铁胆硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5019,5019,monster0019,2,3,5;7,追魂硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5020,5020,monster0020,1,2,7,玲珑硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5021,5021,monster0021,1,2,7,鬼猴儿硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5022,5022,monster0022,2,3,6,万劫鞭硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5024,5024,monster0024,2,3,6,索命修罗硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5026,5026,monster0026,2,3,6,毒郎君喵硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5027,5027,monster0027,1,2,5;7,七郎硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5028,5028,monster0028,1,2,5;7,守夜人硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5029,5029,monster0029,1,2,6,神行客硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5030,5030,monster0030,2,3,7,摄魂灵官硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5031,5031,monster0031,2,3,7,叫天硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5032,5032,monster0032,1,2,6,夺命硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5033,5033,monster0033,2,3,8,杜康硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5036,5036,monster0036,2,3,5,水上漂硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5039,5039,monster0039,2,3,8,莽头陀硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5040,5040,monster0040,2,3,7,小丑梅花硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5041,5041,monster0041,2,3,8,小丑方片硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5042,5042,monster0042,3,4,5,虎妹硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5045,5045,monster0045,3,4,5;6,钟无艳硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5046,5046,monster0046,3,4,7,铁金刚硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5047,5047,monster0047,2,3,7,画师硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5048,5048,monster0048,2,3,5,假修硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5049,5049,monster0049,3,4,5,小丑北斗硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5050,5050,monster0050,2,3,5,铁面罗汉硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5053,5053,monster0053,3,4,5;7,唐明硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5056,5056,monster0056,2,3,8,机器猫硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5058,5058,monster0058,2,3,8,飞羽硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5060,5060,monster0060,3,4,8,铁面硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5061,5061,monster0061,3,4,8,银婆婆硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5062,5062,monster0062,3,4,8,墨兰硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5063,5063,monster0063,3,4,8,无情硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
5064,5064,monster0064,3,4,8,董王爷硬币,这是一枚京剧猫的硬币，使用它可以激活属性。
