id,territoryID,des,attr1,percent1,coin1,num1,coin2,num2,coin3,num3
1001,5,,1,1500,5001,1,,,,
1002,5,,2,2000,5005,1,,,,
1003,5,,3,2500,5006,1,,,,
1004,5,,4,3000,5008,1,,,,
1005,5,,5,3500,5019,1,,,,
1006,5,,1,1500,5024,1,,,,
1007,5,,2,2000,5031,1,,,,
1008,5,,3,2500,5032,1,,,,
1009,5,,4,3000,5045,3,,,,
1010,5,,5,3500,5005,4,5008,6,,
1011,5,,1,1500,5019,4,5024,6,,
1012,5,,2,2000,5031,4,5032,6,,
1013,5,,3,2500,5045,4,5001,6,5006,10
2001,6,,4,3000,5005,2,,,,
2002,6,,5,3500,5009,2,,,,
2003,6,,1,1500,5010,2,,,,
2004,6,,2,2000,5013,2,,,,
2005,6,,3,2500,5014,2,,,,
2006,6,,4,3000,5018,2,,,,
2007,6,,5,3500,5020,2,,,,
2008,6,,1,1500,5021,2,,,,
2009,6,,2,2000,5022,2,,,,
2010,6,,3,2500,5026,2,,,,
2011,6,,4,3000,5027,2,,,,
2012,6,,5,3500,5036,2,,,,
2013,6,,1,1500,5040,2,,,,
2014,6,,2,2000,5042,2,,,,
2015,6,,3,2500,5045,2,,,,
2016,6,,4,3000,5046,2,,,,
2017,6,,5,3500,5005,2,5009,2,,
2018,6,,1,1500,5010,2,5013,2,,
2019,6,,2,2000,5014,2,5018,2,,
2020,6,,3,2500,5020,2,5021,2,5022,2
2021,6,,4,3000,5026,2,5027,2,5036,2
2022,6,,5,3500,5040,2,5042,2,5045,2
2023,6,,1,1500,5046,2,5005,2,,
2024,6,,2,2000,5010,2,5014,2,5013,2
3001,7,,3,2500,5009,3,,,,
3002,7,,4,3000,5010,3,,,,
3003,7,,5,3500,5013,3,,,,
3004,7,,1,1500,5014,3,,,,
3005,7,,2,2000,5021,3,,,,
3006,7,,3,2500,5022,3,,,,
3007,7,,4,3000,5027,3,,,,
3008,7,,5,3500,5036,3,,,,
3009,7,,1,1500,5040,3,,,,
3010,7,,2,2000,5045,3,,,,
3011,7,,3,2500,5046,3,,,,
3012,7,,4,3000,5011,3,,,,
3013,7,,5,3500,5017,3,,,,
3014,7,,1,1500,5028,3,,,,
3015,7,,2,2000,5029,3,,,,
3016,7,,3,2500,5030,3,,,,
3017,7,,4,3000,5047,3,,,,
3018,7,,5,3500,5048,3,,,,
3019,7,,1,1500,5049,3,,,,
3020,7,,2,2000,5050,3,,,,
3021,7,,3,2500,5053,3,,,,
3022,7,,4,3000,5009,3,5010,3,,
3023,7,,5,3500,5013,3,5014,3,5021,3
3024,7,,1,1500,5022,3,5027,3,5036,3
3025,7,,2,2000,5040,3,5045,3,5046,3
3026,7,,3,2500,5011,3,5017,3,5028,3
3027,7,,4,3000,5029,3,5030,3,5047,3
3028,7,,5,3500,5048,3,5049,3,5050,3
