couragemonsterID,partType1,weight1,monsterID1,Award1,partType2,weight2,monsterID2,Award2,partType3,weight3,monsterID3,Award3,partType4,weight4,monsterID4,Award4,partType5,weight5,monsterID5,Award5,partType6,weight6,monsterID6,Award6,partType7,weight7,monsterID7,Award7,partType8,weight8,monsterID8,Award8,partType9,weight9,monsterID9,Award9,partType10,weight10,monsterID10,Award10,partType11,weight11,monsterID11,Award11,partType12,weight12,monsterID12,Award12,partType13,weight13,monsterID13,Award13,partType14,weight14,monsterID14,Award14,partType15,weight15,monsterID15,Award15,partType16,weight16,monsterID16,Award16,partType17,weight17,monsterID17,Award17,partType18,weight18,monsterID18,Award18,partType19,weight19,monsterID19,Award19,partType20,weight20,monsterID20,Award20
5001,1,6000,5018,500101,1,4000,5027,500102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5002,1,6000,5036,500201,1,4000,5019,500202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5003,1,6000,5024,500301,1,4000,5008,500302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,1,5000,6021,600101,1,5000,6022,600102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,1,5000,6030,600201,1,5000,6045,600202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6003,1,5000,6009,600301,1,5000,6010,600302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,1,5000,6040,600401,1,5000,6042,600402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,1,5000,7048,700101,1,5000,7049,700102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7002,1,5000,7050,700201,1,5000,7011,700202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7003,1,5000,7047,700301,1,5000,7046,700302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7004,1,5000,7013,700401,1,5000,7014,700402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7005,1,5000,7053,700501,1,5000,7017,700502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
