ID,shopposition,vipLv,refreshTime,timeawardcontentshop,awardcontentshop1,awardcontentshop2,awardcontentshop3,awardcontentshop4,awardcontentshop5,awardcontentshop6,awardcontentshop7,awardcontentshop8,awardcontentshop9,awardcontentshop10,awardcontentshop11,awardcontentshop12,awardcontentshop13,awardcontentshop14,awardcontentshop15,awardcontentshop16,awardcontentshop17,awardcontentshop18,awardcontentshop19,awardcontentshop20
210000,1,0,6,210000,210001,210002,210003,210004,210005,210006,210007,210008,210009,210010,210011,210012,210013,210014,210015,210016,210017,210018,210019,210020
210500,1,5,6,210500,210501,210502,210503,210504,210505,210506,210507,210508,210509,210510,210511,210512,210513,210514,210515,210516,210517,210518,210519,210520
211000,1,10,6,211000,211001,211002,211003,211004,211005,211006,211007,211008,211009,211010,211011,211012,211013,211014,211015,211016,211017,211018,211019,211020
211500,1,15,6,211500,211501,211502,211503,211504,211505,211506,211507,211508,211509,211510,211511,211512,211513,211514,211515,211516,211517,211518,211519,211520
220000,2,0,6,220000,220001,220002,220003,220004,220005,220006,220007,220008,220009,220010,220011,220012,220013,220014,220015,220016,220017,220018,220019,220020
220500,2,5,6,220500,220501,220502,220503,220504,220505,220506,220507,220508,220509,220510,220511,220512,220513,220514,220515,220516,220517,220518,220519,220520
221000,2,10,6,221000,221001,221002,221003,221004,221005,221006,221007,221008,221009,221010,221011,221012,221013,221014,221015,221016,221017,221018,221019,221020
221500,2,15,6,221500,221501,221502,221503,221504,221505,221506,221507,221508,221509,221510,221511,221512,221513,221514,221515,221516,221517,221518,221519,221520
230000,3,0,6,230000,230001,230002,230003,230004,230005,230006,230007,230008,230009,230010,230011,230012,230013,230014,230015,230016,230017,230018,230019,230020
230500,3,5,6,230500,230501,230502,230503,230504,230505,230506,230507,230508,230509,230510,230511,230512,230513,230514,230515,230516,230517,230518,230519,230520
231000,3,10,6,231000,231001,231002,231003,231004,231005,231006,231007,231008,231009,231010,231011,231012,231013,231014,231015,231016,231017,231018,231019,231020
231500,3,15,6,231500,231501,231502,231503,231504,231505,231506,231507,231508,231509,231510,231511,231512,231513,231514,231515,231516,231517,231518,231519,231520
240000,4,0,6,240000,240001,240002,240003,240004,240005,240006,240007,240008,240009,240010,240011,240012,240013,240014,240015,240016,240017,240018,240019,240020
240500,4,5,6,240500,240501,240502,240503,240504,240505,240506,240507,240508,240509,240510,240511,240512,240513,240514,240515,240516,240517,240518,240519,240520
241000,4,10,6,241000,241001,241002,241003,241004,241005,241006,241007,241008,241009,241010,241011,241012,241013,241014,241015,241016,241017,241018,241019,241020
241500,4,15,6,241500,241501,241502,241503,241504,241505,241506,241507,241508,241509,241510,241511,241512,241513,241514,241515,241516,241517,241518,241519,241520
250000,5,0,6,250000,250001,250002,250003,250004,250005,250006,250007,250008,250009,250010,250011,250012,250013,250014,250015,250016,250017,250018,250019,250020
250500,5,5,6,250500,250501,250502,250503,250504,250505,250506,250507,250508,250509,250510,250511,250512,250513,250514,250515,250516,250517,250518,250519,250520
251000,5,10,6,251000,251001,251002,251003,251004,251005,251006,251007,251008,251009,251010,251011,251012,251013,251014,251015,251016,251017,251018,251019,251020
251500,5,15,6,251500,251501,251502,251503,251504,251505,251506,251507,251508,251509,251510,251511,251512,251513,251514,251515,251516,251517,251518,251519,251520
260000,6,0,6,260000,260001,260002,260003,260004,260005,260006,260007,260008,260009,260010,260011,260012,260013,260014,260015,260016,260017,260018,260019,260020
