itemId,res,levelRequire,equipType,equipPos,quality,equipHole,maxStar,effect,equipSet,materialExp,resID,staticAttrType1,staticAttrValMin1,staticAttrValMax1,staticAttrType2,staticAttrValMin2,staticAttrValMax2,staticAttrType3,staticAttrValMin3,staticAttrValMax3,randomRuleId1,randomRuleId2,randomRuleId3,randomRuleId4,randomRuleId5,refreshcoin,refreshstone
10011101,1,1,1,1,1,1,1,,,10,1,4,100,150,6,100,150,,,,,,,,,,
10011102,2,1,1,1,1,1,1,,,10,2,4,100,150,6,100,150,,,,,,,,,,
10011103,3,1,1,1,1,1,1,,,10,3,4,100,150,6,100,150,,,,,,,,,,
10011104,4,1,2,2,1,1,1,,1111,10,4,1,3000,4500,,,,,,,,,,,,,
10011105,5,1,2,3,1,1,1,,1111,10,5,5,70,105,,,,,,,,,,,,,
10011106,6,1,2,4,1,1,1,,1111,10,6,27,100,200,29,100,200,30,100,200,,,,,,,
10011107,7,1,2,5,1,1,1,,1111,10,7,7,70,105,,,,,,,,,,,,,
10011108,8,1,2,6,1,1,1,,1111,10,8,13,1,10,,,,,,,,,,,,,
10011109,9,1,3,7,1,1,1,,1112,10,9,2,300,450,,,,,,,,,,,,,
10011110,10,1,3,8,1,1,1,,1112,10,10,3,300,450,,,,,,,,,,,,,
10011111,11,1,3,7,1,1,1,,1113,10,11,11,1,2,,,,,,,,,,,,,
10011112,12,1,3,8,1,1,1,,1113,10,12,16,1,5,,,,,,,,,,,,,
10011113,13,1,3,7,1,1,1,,1114,10,13,9,5,10,,,,,,,,,,,,,
10011114,14,1,3,8,1,1,1,,1114,10,14,10,5,10,,,,,,,,,,,,,
10011201,15,1,1,1,2,2,2,,,20,15,4,120,180,6,120,180,0,0,0,12,11,,,,,
10011202,16,1,1,1,2,2,2,,,20,16,4,120,180,6,120,180,0,0,0,12,11,,,,,
10011203,17,1,1,1,2,2,2,,,20,17,4,120,180,6,120,180,0,0,0,12,11,,,,,
10011204,18,1,2,2,2,2,2,,1121,20,18,1,3600,5400,0,0,0,0,0,0,12,11,,,,,
10011205,19,1,2,3,2,2,2,,1121,20,19,5,84,126,0,0,0,0,0,0,12,11,,,,,
10011206,20,1,2,4,2,2,2,,1121,20,20,27,120,240,29,120,240,30,120,240,12,11,,,,,
10011207,21,1,2,5,2,2,2,,1121,20,21,7,84,126,0,0,0,0,0,0,12,11,,,,,
10011208,22,1,2,6,2,2,2,,1121,20,22,13,1,12,0,0,0,0,0,0,12,11,,,,,
10011209,23,1,3,7,2,2,2,,1122,20,23,2,360,540,0,0,0,0,0,0,12,11,,,,,
10011210,24,1,3,8,2,2,2,,1122,20,24,3,360,540,0,0,0,0,0,0,12,11,,,,,
10011211,25,1,3,7,2,2,2,,1123,20,25,11,1,2,0,0,0,0,0,0,12,11,,,,,
10011212,26,1,3,8,2,2,2,,1123,20,26,16,1,6,0,0,0,0,0,0,12,11,,,,,
10011213,27,1,3,7,2,2,2,,1124,20,27,9,6,12,0,0,0,0,0,0,12,11,,,,,
10011214,28,1,3,8,2,2,2,,1124,20,28,10,6,12,0,0,0,0,0,0,12,11,,,,,
10011301,29,1,1,1,3,3,3,,,30,29,4,150,225,6,150,225,0,0,0,13,11,,,,300,3
