id,name,parameter
2001,通关%s,取关卡名称，填id
2002,通关精英关卡%s,同上
2003,强化韵纹到%d阶%d级,取韵文等级，数字
2004,激活韵功%s,填韵功名称
2005,成功激活%d块界石,填几块，数字
2006,成功招募%d个京剧猫,数字
2007,角色等级达到%d级,角色等级达到N级
2008,vip等级成功达到%d级,vip等级成功达到N级
2009,战斗力达到%d,战斗力达到N
2010,培养%d个4星京剧猫,"培养N个4星京剧猫,必须培养才计数"
2011,拥有%d个紫色品质京剧猫,"拥有N个紫色品质京剧猫,检索只要拥有紫色品质京剧猫就计数"
2012,解锁%d个京剧猫助阵位,解锁N个京剧猫助阵位
2013,培养%d个绿色品质的助阵位,培养N个绿色品质的助阵位
2014,培养%d个蓝色品质的助阵位,培养N个蓝色品质的助阵位
2015,培养%d个紫色品质的助阵位,培养N个紫色品质的助阵位
2016,排位赛中达到%s段,排位赛中达到xx段
2017,排位赛累计胜利%d场,排位赛累计胜利N场
2018,竞技场累计胜利%d场,竞技场累计胜利N场
2019,激活%d个角色,激活N个主要角色
2020,勇气试炼中累计胜利%d场,勇气试炼中累计胜利N场
2021,无限挑战通关%s难度,无限挑战通关xx难度
2022,累计释放%d次韵功,累计释放N次韵功
2023,累计释放%d次韵力激发,累计释放N次韵力激发（急速模式）
2024,战斗中累计召唤京剧猫%d次,累计召唤京剧猫N次
2025,与%d个人成为好友,与N个人成为好友
2026,拥有%d块5级宝石,填数字
2027,拥有%d块10级宝石,填数字
2028,拥有%d块15级宝石,填数字
2029,累计进行%d次伶人招募,累计进行N次伶人招募
2030,累计进行%d次戏班招募,累计进行N次戏班招募
2031,累计进行%d次名伶招募,累计进行N次名伶招募
2032,拥有1块%d级的宝石,填宝石的级数就可以了
1001,成功挑战任意关卡N次,包含冒险中关卡类型为1、2、3、4（普通、精英、奖励、大师）的所有关卡，必须成功，扫荡也记次数
1002,成功挑战N次精英关卡,必须成功，扫荡也算
1003,进行N次伶人招募,只要招募成功就算
1004,进行N次戏班招募,一次10连抽算1次戏班招募
1005,成功挑战N次多人副本,必须成功，失败不算（所有的失败包含战斗中途退出）
1006,成功挑战十二宗宫任意关卡N次,必须成功，扫荡也算
1007,进行N次招福集市的挑战,无论胜负
1008,进行N次勇气试炼的挑战,无论胜负
1009,进行N次无限挑战,无论胜负
1010,进行N次排位赛中的战斗,无论胜负
1011,挑战N次竞技场中的对手,无论胜负
1012,进行N次韵纹强化,点击强化10次按钮算10次
1013,升级任意界石N次,任意界石只要升级成功都算
1014,拜财神N次,
1015,购买体力N次,
3001,成功通关任意关卡%d次,包含冒险中关卡类型为1、2、3、4（普通、精英、奖励、大师）的所有关卡，必须成功，扫荡也记次数
3002,强化任意装备%d次,强化任意部位的装备N次
3003,进行%d次玉器合成操作,不管玉器等级，只要合成操作就算
3004,升级任意技能%d次,不管哪个技能，只要进行升级技能的操作就算
3005,进行%d次体力购买,
3006,扫荡任意精英关卡%d次,扫荡才算，手动挑战不算
3007,拜财神%d次,免费和付费都记次
3008,进行%d次伶人招募,
3009,对任意京剧猫进行升级操作%d次,点击升级按钮就算1次
3010,进行%d次饰品洗练操作,
3011,成功挑战多人副本%d次,必须成功
3012,挑战招福集市%d次,必须成功，扫荡也算
3013,挑战任意十二宗宫关卡%d次,只要是十二宗宫的关卡都算
3014,刷新神秘商店%d次,免费和付费刷新都记次
3015,成功挑战任意大师关卡%d次,关卡类型为4的关卡才算，其他关卡类型不算，扫荡也算，必须成功
3016,成功进行%d次勇气试炼挑战,必须成功
3017,进行%d排位赛挑战,无论胜负都算
3018,进行%d次同步PVP挑战,无论胜负都算
3019,挑战%d次无限挑战玩法,进行挑战并成功进行一次结算算1次
3020,在京剧猫商店购买%d次商品,
3021,成功挑战%d次任意十二宗宫的宗主关,挑战宗主关才算计数，同一个宗主关挑战多次按多次计算
