VIPlevel,times,cost,gaincoin
0,1,5,10000
0,2,5,10000
0,3,5,10000
0,4,5,10000
0,5,5,10000
0,6,10,15000
0,7,10,15000
0,8,10,15000
0,9,10,15000
0,10,10,15000
0,11,15,20000
0,12,15,20000
0,13,15,20000
0,14,15,20000
0,15,15,20000
0,16,20,25000
0,17,20,25000
0,18,20,25000
0,19,20,25000
0,20,20,25000
1,1,5,10000
1,2,5,10000
1,3,5,10000
1,4,5,10000
1,5,5,10000
1,6,10,15000
1,7,10,15000
1,8,10,15000
1,9,10,15000
1,10,10,15000
1,11,15,20000
1,12,15,20000
1,13,15,20000
1,14,15,20000
1,15,15,20000
1,16,20,25000
1,17,20,25000
1,18,20,25000
1,19,20,25000
1,20,20,25000
2,1,5,10000
2,2,5,10000
2,3,5,10000
2,4,5,10000
2,5,5,10000
2,6,10,15000
2,7,10,15000
2,8,10,15000
2,9,10,15000
2,10,10,15000
2,11,15,20000
2,12,15,20000
2,13,15,20000
2,14,15,20000
2,15,15,20000
2,16,20,25000
2,17,20,25000
2,18,20,25000
2,19,20,25000
2,20,20,25000
3,1,5,10000
3,2,5,10000
3,3,5,10000
3,4,5,10000
3,5,5,10000
3,6,10,15000
3,7,10,15000
3,8,10,15000
3,9,10,15000
3,10,10,15000
3,11,15,20000
3,12,15,20000
3,13,15,20000
3,14,15,20000
3,15,15,20000
3,16,20,25000
3,17,20,25000
3,18,20,25000
3,19,20,25000
3,20,20,25000
4,1,5,10000
4,2,5,10000
4,3,5,10000
4,4,5,10000
4,5,5,10000
4,6,10,15000
4,7,10,15000
4,8,10,15000
4,9,10,15000
4,10,10,15000
4,11,15,20000
4,12,15,20000
4,13,15,20000
4,14,15,20000
4,15,15,20000
4,16,20,25000
4,17,20,25000
4,18,20,25000
4,19,20,25000
4,20,20,25000
5,1,5,10000
5,2,5,10000
5,3,5,10000
5,4,5,10000
5,5,5,10000
5,6,10,15000
5,7,10,15000
5,8,10,15000
5,9,10,15000
5,10,10,15000
5,11,15,20000
5,12,15,20000
5,13,15,20000
5,14,15,20000
5,15,15,20000
5,16,20,25000
5,17,20,25000
5,18,20,25000
5,19,20,25000
5,20,20,25000
5,21,25,30000
5,22,25,30000
5,23,25,30000
5,24,25,30000
5,25,25,30000
5,26,30,35000
5,27,30,35000
5,28,30,35000
5,29,30,35000
5,30,30,35000
6,1,5,10000
6,2,5,10000
6,3,5,10000
6,4,5,10000
6,5,5,10000
6,6,10,15000
6,7,10,15000
6,8,10,15000
6,9,10,15000
6,10,10,15000
6,11,15,20000
6,12,15,20000
6,13,15,20000
6,14,15,20000
6,15,15,20000
6,16,20,25000
6,17,20,25000
6,18,20,25000
6,19,20,25000
6,20,20,25000
6,21,25,30000
6,22,25,30000
6,23,25,30000
6,24,25,30000
6,25,25,30000
6,26,30,35000
6,27,30,35000
6,28,30,35000
6,29,30,35000
6,30,30,35000
7,1,5,10000
7,2,5,10000
7,3,5,10000
7,4,5,10000
7,5,5,10000
7,6,10,15000
7,7,10,15000
7,8,10,15000
7,9,10,15000
7,10,10,15000
7,11,15,20000
7,12,15,20000
7,13,15,20000
7,14,15,20000
7,15,15,20000
7,16,20,25000
7,17,20,25000
7,18,20,25000
7,19,20,25000
7,20,20,25000
7,21,25,30000
7,22,25,30000
7,23,25,30000
7,24,25,30000
7,25,25,30000
7,26,30,35000
7,27,30,35000
7,28,30,35000
7,29,30,35000
7,30,30,35000
8,1,5,10000
8,2,5,10000
8,3,5,10000
8,4,5,10000
8,5,5,10000
8,6,10,15000
8,7,10,15000
8,8,10,15000
8,9,10,15000
8,10,10,15000
8,11,15,20000
8,12,15,20000
8,13,15,20000
8,14,15,20000
8,15,15,20000
8,16,20,25000
8,17,20,25000
8,18,20,25000
8,19,20,25000
8,20,20,25000
8,21,25,30000
8,22,25,30000
8,23,25,30000
8,24,25,30000
8,25,25,30000
8,26,30,35000
8,27,30,35000
8,28,30,35000
8,29,30,35000
8,30,30,35000
9,1,5,10000
9,2,5,10000
9,3,5,10000
9,4,5,10000
9,5,5,10000
9,6,10,15000
9,7,10,15000
9,8,10,15000
9,9,10,15000
9,10,10,15000
9,11,15,20000
9,12,15,20000
9,13,15,20000
9,14,15,20000
9,15,15,20000
9,16,20,25000
9,17,20,25000
9,18,20,25000
9,19,20,25000
9,20,20,25000
9,21,25,30000
9,22,25,30000
9,23,25,30000
9,24,25,30000
9,25,25,30000
9,26,30,35000
9,27,30,35000
9,28,30,35000
9,29,30,35000
9,30,30,35000
10,1,5,10000
10,2,5,10000
10,3,5,10000
10,4,5,10000
10,5,5,10000
10,6,10,15000
10,7,10,15000
10,8,10,15000
10,9,10,15000
10,10,10,15000
10,11,15,20000
10,12,15,20000
10,13,15,20000
10,14,15,20000
10,15,15,20000
10,16,20,25000
10,17,20,25000
10,18,20,25000
10,19,20,25000
10,20,20,25000
10,21,25,30000
10,22,25,30000
10,23,25,30000
10,24,25,30000
10,25,25,30000
10,26,30,35000
10,27,30,35000
10,28,30,35000
10,29,30,35000
10,30,30,35000
11,1,5,10000
11,2,5,10000
11,3,5,10000
11,4,5,10000
11,5,5,10000
11,6,10,15000
11,7,10,15000
11,8,10,15000
11,9,10,15000
11,10,10,15000
11,11,15,20000
11,12,15,20000
11,13,15,20000
11,14,15,20000
11,15,15,20000
11,16,20,25000
11,17,20,25000
11,18,20,25000
11,19,20,25000
11,20,20,25000
11,21,25,30000
11,22,25,30000
11,23,25,30000
11,24,25,30000
11,25,25,30000
11,26,30,35000
11,27,30,35000
11,28,30,35000
11,29,30,35000
11,30,30,35000
11,31,35,40000
11,32,35,40000
11,33,35,40000
11,34,35,40000
11,35,35,40000
11,36,40,45000
11,37,40,45000
11,38,40,45000
11,39,40,45000
11,40,40,45000
12,1,5,10000
12,2,5,10000
12,3,5,10000
12,4,5,10000
12,5,5,10000
12,6,10,15000
12,7,10,15000
12,8,10,15000
12,9,10,15000
12,10,10,15000
12,11,15,20000
12,12,15,20000
12,13,15,20000
12,14,15,20000
12,15,15,20000
12,16,20,25000
12,17,20,25000
12,18,20,25000
12,19,20,25000
12,20,20,25000
12,21,25,30000
12,22,25,30000
12,23,25,30000
12,24,25,30000
12,25,25,30000
12,26,30,35000
12,27,30,35000
12,28,30,35000
12,29,30,35000
