gemId,level,power,attrType1,attrValue1,attrType2,attrValue2,attrType3,attrValue3,attrType4,attrValue4
20001101,1,100,1,10,2,10,3,10,4,10
20001102,2,200,5,10,6,10,7,10,8,10
20001203,3,300,9,10,10,10,22,10,23,10
20001204,4,400,13,10,25,10,26,10,16,10
20001305,5,500,17,10,18,10,19,10,20,10
20001306,6,600,1,12,2,12,3,12,4,12
20001407,7,700,5,12,6,12,7,12,8,12
20001408,8,800,9,12,10,12,22,12,23,12
20001509,9,900,13,12,25,12,26,12,16,12
20001510,10,1000,17,12,18,12,19,12,20,12
20001511,11,1100,1,14,2,14,3,14,4,14
20001512,12,1200,5,14,6,14,7,14,8,14
20001513,13,1300,9,14,10,14,22,14,23,14
20001514,14,1400,13,14,25,14,26,14,16,14
20001515,15,1500,17,14,18,14,19,14,20,14
20002101,1,100,1,17,2,17,3,17,4,17
20002102,2,200,5,17,6,17,7,17,8,17
20002203,3,300,9,17,10,17,22,17,23,17
20002204,4,400,13,17,25,17,26,17,16,17
20002305,5,500,17,17,18,17,19,17,20,17
20002306,6,600,1,20,2,20,3,20,4,20
20002407,7,700,5,20,6,20,7,20,8,20
20002408,8,800,9,20,10,20,22,20,23,20
20002509,9,900,13,20,25,20,26,20,16,20
20002510,10,1000,17,20,18,20,19,20,20,20
20002511,11,1100,1,24,2,24,3,24,4,24
20002512,12,1200,5,24,6,24,7,24,8,24
20002513,13,1300,9,24,10,24,22,24,23,24
20002514,14,1400,13,24,25,24,26,24,16,24
20002515,15,1500,17,24,18,24,19,24,20,24
20003101,1,100,1,29,2,29,3,29,4,29
20003102,2,200,5,29,6,29,7,29,8,29
20003203,3,300,9,29,10,29,22,29,23,29
20003204,4,400,13,29,25,29,26,29,16,29
20003305,5,500,17,29,18,29,19,29,20,29
20003306,6,600,1,35,2,35,3,35,4,35
20003407,7,700,5,35,6,35,7,35,8,35
20003408,8,800,9,35,10,35,22,35,23,35
20003509,9,900,13,35,25,35,26,35,16,35
20003510,10,1000,17,35,18,35,19,35,20,35
20003511,11,1100,1,42,2,42,3,42,4,42
20003512,12,1200,5,42,6,42,7,42,8,42
20003513,13,1300,9,42,10,42,22,42,23,42
20003514,14,1400,13,42,25,42,26,42,16,42
20003515,15,1500,17,42,18,42,19,42,20,42
20004101,1,100,1,50,2,50,3,50,4,50
20004102,2,200,5,50,6,50,7,50,8,50
20004203,3,300,9,50,10,50,22,50,23,50
20004204,4,400,13,50,25,50,26,50,16,50
20004305,5,500,17,50,18,50,19,50,20,50
20004306,6,600,1,60,2,60,3,60,4,60
20004407,7,700,5,60,6,60,7,60,8,60
20004408,8,800,9,60,10,60,22,60,23,60
20004509,9,900,13,60,25,60,26,60,16,60
20004510,10,1000,17,60,18,60,19,60,20,60
20004511,11,1100,1,72,2,72,3,72,4,72
20004512,12,1200,5,72,6,72,7,72,8,72
20004513,13,1300,9,72,10,72,22,72,23,72
20004514,14,1400,13,72,25,72,26,72,16,72
20004515,15,1500,17,72,18,72,19,72,20,72
20005101,1,100,1,86,2,86,3,86,4,86
20005102,2,200,5,86,6,86,7,86,8,86
20005203,3,300,9,86,10,86,22,86,23,86
20005204,4,400,13,86,25,86,26,86,16,86
20005305,5,500,17,86,18,86,19,86,20,86
20005306,6,600,1,103,2,103,3,103,4,103
20005407,7,700,5,103,6,103,7,103,8,103
20005408,8,800,9,103,10,103,22,103,23,103
20005509,9,900,13,103,25,103,26,103,16,103
20005510,10,1000,17,103,18,103,19,103,20,103
20005511,11,1100,1,124,2,124,3,124,4,124
20005512,12,1200,5,124,6,124,7,124,8,124
20005513,13,1300,9,124,10,124,22,124,23,124
20005514,14,1400,13,124,25,124,26,124,16,124
20005515,15,1500,17,124,18,124,19,124,20,124
