id,nextAmount,nextGem,preAmount,preGem
1001,2,1002,,
1002,2,1003,2,1001
1003,2,1004,2,1002
1004,2,1005,2,1003
1005,2,1006,2,1004
1006,2,1007,2,1005
1007,2,1008,2,1006
1008,2,1009,2,1007
1009,2,1010,2,1008
1010,2,1011,2,1009
1011,2,1012,2,1010
1012,2,1013,2,1011
1013,2,1014,2,1012
1014,2,1015,2,1013
1015,,,2,1014
2001,2,2002,,
2002,2,2003,2,2001
2003,2,2004,2,2002
2004,2,2005,2,2003
2005,2,2006,2,2004
2006,2,2007,2,2005
2007,2,2008,2,2006
2008,2,2009,2,2007
2009,2,2010,2,2008
2010,2,2011,2,2009
2011,2,2012,2,2010
2012,2,2013,2,2011
2013,2,2014,2,2012
2014,2,2015,2,2013
2015,,,2,2014
3001,2,3002,,
3002,2,3003,2,3001
3003,2,3004,2,3002
3004,2,3005,2,3003
3005,2,3006,2,3004
3006,2,3007,2,3005
3007,2,3008,2,3006
3008,2,3009,2,3007
3009,2,3010,2,3008
3010,2,3011,2,3009
3011,2,3012,2,3010
3012,2,3013,2,3011
3013,2,3014,2,3012
3014,2,3015,2,3013
3015,,,2,3014
4001,2,4002,,
4002,2,4003,2,4001
4003,2,4004,2,4002
4004,2,4005,2,4003
4005,2,4006,2,4004
4006,2,4007,2,4005
4007,2,4008,2,4006
4008,2,4009,2,4007
4009,2,4010,2,4008
4010,2,4011,2,4009
4011,2,4012,2,4010
4012,2,4013,2,4011
4013,2,4014,2,4012
4014,2,4015,2,4013
4015,,,2,4014
5001,2,5002,,
5002,2,5003,2,5001
5003,2,5004,2,5002
5004,2,5005,2,5003
5005,2,5006,2,5004
5006,2,5007,2,5005
5007,2,5008,2,5006
5008,2,5009,2,5007
5009,2,5010,2,5008
5010,2,5011,2,5009
5011,2,5012,2,5010
5012,2,5013,2,5011
5013,2,5014,2,5012
5014,2,5015,2,5013
5015,,,2,5014
6001,2,6002,,
6002,2,6003,2,6001
6003,2,6004,2,6002
6004,2,6005,2,6003
6005,2,6006,2,6004
6006,2,6007,2,6005
6007,2,6008,2,6006
6008,2,6009,2,6007
6009,2,6010,2,6008
6010,2,6011,2,6009
6011,2,6012,2,6010
6012,2,6013,2,6011
6013,2,6014,2,6012
6014,2,6015,2,6013
6015,,,2,6014
