id,type,level,count
1001,1,1,1
1002,1,2,2
1003,1,3,4
1004,1,4,8
1005,1,5,16
1006,1,6,32
1007,1,7,64
1008,1,8,128
1009,1,9,256
1010,1,10,512
1011,1,11,1024
1012,1,12,2048
1013,1,13,4096
1014,1,14,8192
1015,1,15,16384
2001,2,1,1
2002,2,2,2
2003,2,3,4
2004,2,4,8
2005,2,5,16
2006,2,6,32
2007,2,7,64
2008,2,8,128
2009,2,9,256
2010,2,10,512
2011,2,11,1024
2012,2,12,2048
2013,2,13,4096
2014,2,14,8192
2015,2,15,16384
3001,3,1,1
3002,3,2,2
3003,3,3,4
3004,3,4,8
3005,3,5,16
3006,3,6,32
3007,3,7,64
3008,3,8,128
3009,3,9,256
3010,3,10,512
3011,3,11,1024
3012,3,12,2048
3013,3,13,4096
3014,3,14,8192
3015,3,15,16384
4001,4,1,1
4002,4,2,2
4003,4,3,4
4004,4,4,8
4005,4,5,16
4006,4,6,32
4007,4,7,64
4008,4,8,128
4009,4,9,256
4010,4,10,512
4011,4,11,1024
4012,4,12,2048
4013,4,13,4096
4014,4,14,8192
4015,4,15,16384
5001,5,1,1
5002,5,2,2
5003,5,3,4
5004,5,4,8
5005,5,5,16
5006,5,6,32
5007,5,7,64
5008,5,8,128
5009,5,9,256
5010,5,10,512
5011,5,11,1024
5012,5,12,2048
5013,5,13,4096
5014,5,14,8192
5015,5,15,16384
6001,6,1,1
6002,6,2,2
6003,6,3,4
6004,6,4,8
6005,6,5,16
6006,6,6,32
6007,6,7,64
6008,6,8,128
6009,6,9,256
6010,6,10,512
6011,6,11,1024
6012,6,12,2048
6013,6,13,4096
6014,6,14,8192
6015,6,15,16384
