ID,name,giftID,giftquality,gifttype,canbuyNum,qualification,program1,costtype,secondarytype,costNum,giftshow,favorable,whichday,starttime,endtime
1,VIP1尊享礼包,9101,3,1,1,1,1,1,2,400,"(1,1,1000);(1,1,200)",0,,,
2,VIP2尊享礼包,9102,3,1,1,1,2,1,2,500,"(1,1,2000);(1,1,300);(1,3,50)",0,,,
3,VIP3尊享礼包,9103,3,1,1,1,3,1,2,600,"(1,1,3000)",0,,,
4,VIP4尊享礼包,9104,3,1,1,1,4,1,2,700,"(1,1,4000)",0,,,
5,VIP5尊享礼包,9105,3,1,1,1,5,1,2,800,"(1,1,5000)",0,,,
6,VIP6尊享礼包,9106,3,1,1,1,6,1,2,900,"(1,1,6000)",0,,,
7,VIP7尊享礼包,9107,4,1,1,1,7,1,2,1000,"(1,1,7000)",0,,,
8,VIP8尊享礼包,9108,4,1,1,1,8,1,2,1100,"(1,1,8000)",0,,,
9,VIP9尊享礼包,9109,4,1,1,1,9,1,2,1200,"(1,1,9000)",0,,,
10,VIP10尊享礼包,9110,4,1,1,1,10,1,2,1300,"(1,1,10000)",0,,,
11,VIP11尊享礼包,9111,4,1,1,1,11,1,2,1400,"(1,1,11000)",0,,,
12,VIP12尊享礼包,9112,5,1,1,1,12,1,2,1500,"(1,1,12000)",0,,,
13,VIP13尊享礼包,9113,5,1,1,1,13,1,2,1600,"(1,1,13000)",0,,,
14,VIP14尊享礼包,9114,5,1,1,1,14,1,2,1700,"(1,1,14000)",0,,,
15,VIP15尊享礼包,9115,5,1,1,1,15,1,2,1800,"(1,1,15000)",0,,,
16,初出茅庐礼包,9201,4,1,1,2,10,1,2,600,"(1,1,30000)",0,,1462464000,1465142400
17,声名鹊起礼包,9202,4,1,1,2,30,1,2,800,"(1,1,40000)",0,,,
18,名声大噪礼包,9203,4,1,1,2,50,1,2,1000,"(1,1,50000)",0,,,
19,绝世名伶礼包,9204,4,1,1,2,70,1,2,1200,"(1,1,60000)",0,,,
20,初露头角战力礼包,9301,4,1,1,3,10000,1,2,600,"(1,1,30000)",0,,,
21,无坚不摧战力礼包,9302,4,1,1,3,50000,1,2,800,"(1,1,40000)",0,,,
22,所向无敌战力礼包,9303,4,1,1,3,100000,1,2,1000,"(1,1,50000)",0,,,
23,每日玉器优惠礼包,9401,4,2,0,0,0,1,2,200,"(12,1003,2);(12,2003,2);(12,3003,2);(12,4003,2);(12,5003,2);(12,6003,2);(120,4,2)",1,1_0_24;2_0_24;3_0_24;4_0_24;5_0_24;6_0_24;7_0_24,,
24,优秀后勤礼包,9402,4,2,0,0,0,1,2,300,"(1,1,60000);(1,1,200);(11,1,20);(1,6,500)",1,1_0_24;2_0_24;3_0_24;4_0_24;5_0_24;6_0_24;7_0_24,,
25,期待周五大礼包,9501,4,1,1,0,0,1,2,450,"(1,1,10000);(12,1005,1)",0,5_0_24;6_0_24,,
26,幸福周六大礼包,9502,4,1,1,0,0,1,2,450,"(1,1,10000);(12,2005,1)",0,5_0_24;6_0_24,,
27,纳宗宗主礼包,9503,4,1,1,0,0,1,2,2000,"(8,8,100);(80,4,10)",1,,,
