id,exp,num,activity,activityaward1,activityaward2,activityaward3,activityaward4,activityaward5,cattasktimes,cattaskstage,kitchentimes,kitchenquestion,sighttimes,matchwait,matchwinaward,matchfailaward,partytimes,partyquestion,partyquestionnum,guildstagetimes,totaldurability,stagetotalaward,businessid,businesstimes,memoryquestion,tickettimes,friendlytimes,eloquencewin,eloquencelose,eloquencetimes
1,1000,20,100,33;7000001,67;7000002,100;7000003,,,1,"1301,1302,1401,1402",3,"1001,1002,1003,1004,1005,1006,1007,1008,1009,1010",3,2;4;10,,,4,"1001,1002,1003,1004",3,1,500,101,1,2,"1001,1002,1003,1004,1005",3,10,10201,10205,3
2,1500,22,150,50;7000001,100;7000002,150;7000003,,,1,"2301,2302,2401,2402",3,"2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2014,2015,2016",3,2;4;10,,,4,"1001,1002,1003,1004",3,1,500,101,1,2,"2001,2002,2003,2004,2005",3,11,10301,10305,3
3,2000,25,200,67;7000001,133;7000002,200;7000003,,,2,"2301,2302,2401,2402",3,"3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016",3,2;4;10,,,4,"1001,1002,1003,1004",4,1,500,101,1,2,"3001,3002,3003,3004,3005",4,12,10401,10405,3
4,3000,27,250,83;7000001,167;7000002,250;7000003,,,2,"2301,2302,2401,2402",3,"4001,4002,4003,4004,4005,4006,4007,4008,4009,4010,4011,4012,4015,4016,4017",3,2;4;10,,,4,"1001,1002,1003,1004",4,1,500,101,2,2,"4001,4002,4003,4004,4005",5,13,10501,10505,3
5,4500,30,300,100;7000001,200;7000002,300;7000003,,,3,"2301,2302,2401,2402",3,"5001,5002,5003,5004,5006,5007,5008,5009,5012,5013,5014,5017,5018,5020",3,2;4;10,,,4,"1001,1002,1003,1004",5,1,500,101,2,2,"5001,5002,5003,5004,5005",6,14,10601,10605,3
6,8000,32,300,100;7000001,200;7000002,300;7000003,,,3,"2301,2302,2401,2402",3,"5001,5002,5003,5004,5006,5007,5008,5009,5012,5013,5014,5017,5018,5020",3,2;4;10,,,4,"1001,1002,1003,1004",5,1,500,101,2,2,"5001,5002,5003,5004,5005",7,15,10701,10705,3
7,15000,35,300,100;7000001,200;7000002,300;7000003,,,3,"2301,2302,2401,2402",3,"5001,5002,5003,5004,5006,5007,5008,5009,5012,5013,5014,5017,5018,5020",3,2;4;10,,,4,"1001,1002,1003,1004",5,1,500,101,3,2,"5001,5002,5003,5004,5005",8,16,10801,10805,3
8,25000,37,300,100;7000001,200;7000002,300;7000003,,,3,"2301,2302,2401,2402",3,"5001,5002,5003,5004,5006,5007,5008,5009,5012,5013,5014,5017,5018,5020",3,2;4;10,,,4,"1001,1002,1003,1004",5,1,500,101,3,2,"5001,5002,5003,5004,5005",9,17,10901,10905,3
9,40000,40,300,100;7000001,200;7000002,300;7000003,,,3,"2301,2302,2401,2402",3,"5001,5002,5003,5004,5006,5007,5008,5009,5012,5013,5014,5017,5018,5020",3,2;4;10,,,4,"1001,1002,1003,1004",5,1,500,101,3,2,"5001,5002,5003,5004,5005",10,18,11001,11005,3
10,80000,45,300,100;7000001,200;7000002,300;7000003,,,3,"2301,2302,2401,2402",3,"5001,5002,5003,5004,5006,5007,5008,5009,5012,5013,5014,5017,5018,5020",3,2;4;10,,,4,"1001,1002,1003,1004",5,1,500,101,3,2,"5001,5002,5003,5004,5005",11,19,11101,11105,3
