id,name,res,attrType1,attrValue1,attrType2,attrValue2,attrType3,attrValue3,attrType4,attrValue4,attrType5,attrValue5,quality,combine1,amount1,combine2,amount2,combine3,amount3,combine4,amount4,power,getpathId,desc
111,生命碎片1,#hoarstone_icon_stoneEquip_1.png,1,135,,,,,,,,,1,,,,,,,,,7,16111,提升135生命的符文碎片
112,狂暴碎片1,#hoarstone_icon_stoneEquip_2.png,23,4,,,,,,,,,1,,,,,,,,,4,16112,提升4暴击率的符文碎片
113,能量碎片1,#hoarstone_icon_stoneEquip_3.png,3,6,,,,,,,,,1,,,,,,,,,3,16113,提升6霸体的符文碎片
114,坚韧碎片1,#hoarstone_icon_stoneEquip_4.png,25,3,,,,,,,,,1,,,,,,,,,2,16114,提升3韧性的符文碎片
115,复苏碎片1,#hoarstone_icon_stoneEquip_5.png,10,8,,,,,,,,,1,,,,,,,,,16,16115,提升8霸体回复的符文碎片
116,活力碎片1,#hoarstone_icon_stoneEquip_6.png,1,111,,,,,,,,,1,,,,,,,,,6,16116,提升111生命的符文碎片
121,生命符文,#hoarstone_icon_stoneEquip_7.png,1,185,,,,,,,,,2,111,1,114,1,,,,,10,0,提升185生命的符文
122,狂暴符文,#hoarstone_icon_stoneEquip_8.png,23,6,,,,,,,,,2,112,1,115,1,,,,,6,0,提升6暴击率的符文
123,能量符文,#hoarstone_icon_stoneEquip_9.png,3,10,,,,,,,,,2,113,1,116,1,,,,,5,0,提升10霸体的符文
124,坚韧符文,#hoarstone_icon_stoneEquip_10.png,25,5,,,,,,,,,2,114,3,,,,,,,4,0,提升5韧性的符文
125,复苏符文,#hoarstone_icon_stoneEquip_11.png,10,13,,,,,,,,,2,115,3,,,,,,,26,0,提升13霸体回复的符文
126,活力符文,#hoarstone_icon_stoneEquip_12.png,1,185,,,,,,,,,2,116,3,,,,,,,10,0,提升185生命的符文
127,无面符文,#hoarstone_icon_stoneEquip_1.png,1,0,,,,,,,,,2,111,3,,,,,,,0,0,提升0生命的符文
128,无面符文,#hoarstone_icon_stoneEquip_2.png,1,0,,,,,,,,,2,112,3,,,,,,,0,0,提升0生命的符文
129,无面符文,#hoarstone_icon_stoneEquip_3.png,1,0,,,,,,,,,2,113,3,,,,,,,0,0,提升0生命的符文
131,狂暴精华,#hoarstone_icon_stoneEquip_4.png,1,370,23,12,,,,,,,3,111,3,112,3,,,,,32,0,提升370生命、12暴击率的符文精华
132,活力精华,#hoarstone_icon_stoneEquip_5.png,1,370,3,20,,,,,,,3,111,3,113,3,,,,,30,0,提升370生命、20霸体的符文精华
133,坚韧精华,#hoarstone_icon_stoneEquip_6.png,1,370,25,11,,,,,,,3,116,3,114,3,,,,,28,0,提升370生命、11韧性的符文精华
141,生命精华,#hoarstone_icon_stoneEquip_7.png,1,617,,,,,,,,,4,111,5,114,5,115,5,,,33,0,提升617生命的符文精华
142,能量精华,#hoarstone_icon_stoneEquip_8.png,3,34,,,,,,,,,4,112,5,113,5,116,5,,,17,0,提升34霸体的符文精华
151,生命核心,#hoarstone_icon_stoneEquip_9.png,1,1021,23,33,,,,,,,5,111,10,112,10,114,10,,,88,0,提升1021生命、33暴击率的符文核心
152,狂暴核心,#hoarstone_icon_stoneEquip_10.png,3,87,23,33,,,,,,,5,112,10,113,10,116,10,,,77,0,提升87霸体、33暴击率的符文核心
153,能量核心,#hoarstone_icon_stoneEquip_11.png,1,1042,3,54,,,,,,,5,111,10,113,10,115,10,,,83,0,提升1042生命、54霸体的符文核心
