id,idx,level,power,nextLevelAddPower,costCoin,costPiece,attrToType1,attrToValue1,attrToType2,attrToValue2,attrToType3,attrToValue3,attrToType4,attrToValue4,attrToType5,attrToValue5,toMax,attrType1,attrValue1,attrType2,attrValue2,attrType3,attrValue3,attrType4,attrValue4,attrType5,attrValue5
1000,1,0,0,8,0,0,,,,,,,,,,,4140,,,,,,,,,,
1001,1,1,8,9,1000,100,4,4,5,4,,,,,,,4140,4,5,5,4,,,,,,
1002,1,2,17,9,1900,190,4,9,5,8,,,,,,,4040,4,5,5,4,,,,,,
1003,1,3,26,9,2800,280,4,14,5,12,,,,,,,3850,4,4,5,5,,,,,,
1004,1,4,35,10,3700,370,4,18,5,17,,,,,,,3570,4,6,5,4,,,,,,
1005,1,5,45,10,4600,460,4,24,5,21,,,,,,,3200,4,5,5,5,,,,,,
1006,1,6,55,11,5500,550,4,29,5,26,,,,,,,2740,4,6,5,5,,,,,,
1007,1,7,66,11,6400,640,4,35,5,31,,,,,,,2190,4,5,5,6,,,,,,
1008,1,8,77,11,7300,730,4,40,5,37,,,,,,,1550,4,6,5,5,,,,,,
1009,1,9,88,12,8200,820,4,46,5,42,,,,,,,820,4,7,5,6,,,,,,
1010,1,10,101,,,,4,53,5,48,,,,,,,0,,,,,,,,,,
2000,2,0,0,8,200000,0,,,,,,,,,,,9424,,,,,,,,,,
2001,2,1,8,9,1000,100,4,4,6,5,,,,,,,9424,4,5,6,4,,,,,,
2002,2,2,16,9,1440,144,4,9,6,9,,,,,,,9324,4,5,6,5,,,,,,
2003,2,3,25,9,1880,188,4,14,6,14,,,,,,,9180,4,4,6,5,,,,,,
2004,2,4,33,9,2320,232,4,18,6,19,,,,,,,8992,4,6,6,5,,,,,,
2005,2,5,42,9,2760,276,4,24,6,24,,,,,,,8760,4,5,6,5,,,,,,
2006,2,6,51,10,3200,320,4,29,6,29,,,,,,,8484,4,6,6,5,,,,,,
2007,2,7,61,10,3640,364,4,35,6,34,,,,,,,8164,4,5,6,5,,,,,,
2008,2,8,70,10,4080,408,4,40,6,39,,,,,,,7800,4,6,6,5,,,,,,
2009,2,9,80,10,4520,452,4,46,6,44,,,,,,,7392,4,7,6,6,,,,,,
2010,2,10,92,10,4960,496,4,53,6,50,,,,,,,6940,4,6,6,5,,,,,,
2011,2,11,101,12,5400,540,4,59,6,55,,,,,,,6444,4,7,6,6,,,,,,
2012,2,12,113,12,5840,584,4,66,6,61,,,,,,,5904,4,6,6,5,,,,,,
2013,2,13,123,12,6280,628,4,72,6,66,,,,,,,5320,4,8,6,6,,,,,,
2014,2,14,135,12,6720,672,4,80,6,72,,,,,,,4692,4,7,6,6,,,,,,
2015,2,15,147,13,7160,716,4,87,6,78,,,,,,,4020,4,7,6,6,,,,,,
2016,2,16,159,13,7600,760,4,94,6,84,,,,,,,3304,4,8,6,6,,,,,,
