id,idx,starlevel,needEquipId1,needEquipId2,needEquipId3,needEquipId4,needEquipId5,needEquipId6,attrType1,attrValue1,attrType2,attrValue2,attrType3,attrValue3,attrType4,attrValue4,attrType5,attrValue5,power,PA,MA,PF,MF,MaxHP,BaseCrit,MaxSP,BaseToughness,SPRecover
100,1,0,111,111,112,112,122,123,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
101,1,1,113,113,114,114,121,126,4,9,5,9,6,5,7,5,1,255,73,9,9,5,5,525,14,10,0,0
102,1,2,115,116,124,123,121,122,4,9,5,9,6,5,7,5,1,255,143,18,18,10,10,1150,14,22,6,0
103,1,3,121,122,123,125,132,133,,,,,,,,,,,229,27,27,15,15,1701,20,32,11,8
200,2,0,111,111,112,112,122,123,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
201,2,1,113,113,114,114,121,123,4,9,5,9,6,5,7,5,1,255,73,9,9,5,5,525,14,10,0,0
202,2,2,121,122,123,124,125,126,4,9,5,9,6,5,7,5,1,255,138,18,18,10,10,965,14,32,6,0
203,2,3,123,123,131,131,132,132,4,9,5,9,6,5,7,5,1,255,238,27,27,15,15,1590,20,42,11,13
204,2,4,121,121,133,133,141,142,,,,,,,,,,,411,36,36,20,20,3325,44,102,11,13
300,3,0,111,111,112,112,122,123,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
301,3,1,113,114,121,121,132,133,4,9,5,9,6,5,7,5,1,255,73,9,9,5,5,525,14,10,0,0
302,3,2,115,116,122,122,131,132,4,9,5,9,6,5,7,5,1,255,195,18,18,10,10,1890,14,36,14,0
303,3,3,123,123,131,132,133,133,4,9,5,9,6,5,7,5,1,255,331,27,27,15,15,2996,38,56,14,8
304,3,4,121,122,131,132,133,142,4,9,5,9,6,5,7,5,1,255,497,36,36,20,20,4731,50,96,36,8
305,3,5,123,123,131,132,133,142,,,,,,,,,,,660,45,45,25,25,6281,68,150,47,8
400,4,0,111,112,121,122,123,124,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
401,4,1,113,114,123,124,131,132,4,9,5,9,6,5,7,5,1,255,75,9,9,5,5,575,10,10,5,0
402,4,2,115,116,121,122,132,133,4,9,5,9,6,5,7,5,1,255,190,18,18,10,10,1570,22,46,13,0
403,4,3,123,124,131,131,132,132,4,9,5,9,6,5,7,5,1,255,325,27,27,15,15,2861,28,66,24,8
404,4,4,121,122,133,133,141,142,4,9,5,9,6,5,7,5,1,255,497,36,36,20,20,4596,52,116,29,8
405,4,5,123,124,131,141,141,142,4,9,5,9,6,5,7,5,1,255,658,45,45,25,25,6393,58,150,51,8
406,4,6,121,122,132,142,141,141,,,,,,,,,,,822,54,54,30,30,8252,70,194,56,8
500,5,0,111,112,122,123,124,125,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
501,5,1,113,114,121,121,131,132,4,9,5,9,6,5,7,5,1,255,91,9,9,5,5,390,10,10,5,13
502,5,2,115,116,124,125,133,133,4,9,5,9,6,5,7,5,1,255,218,18,18,10,10,1755,22,36,8,13
503,5,3,111,112,123,131,141,142,4,9,5,9,6,5,7,5,1,255,364,27,27,15,15,2861,22,36,35,34
504,5,4,121,122,133,133,141,142,4,9,5,9,6,5,7,5,1,255,502,36,36,20,20,4238,38,80,35,34
505,5,5,123,124,132,141,142,142,4,9,5,9,6,5,7,5,1,255,663,45,45,25,25,6035,44,114,57,34
506,5,6,125,121,131,141,142,151,4,9,5,9,6,5,7,5,1,255,809,54,54,30,30,7277,44,212,62,34
507,5,7,122,123,133,141,152,153,,,,,,,,,,,1053,63,63,35,35,9692,89,246,62,47
600,6,0,111,112,121,121,122,123,4,9,5,9,6,5,7,5,1,255,0,0,0,0,0,0,0,0,0,0
601,6,1,113,114,122,122,131,131,4,9,5,9,6,5,7,5,1,255,82,9,9,5,5,760,10,10,0,0
602,6,2,115,116,123,123,132,132,4,9,5,9,6,5,7,5,1,255,202,18,18,10,10,1755,46,16,3,0
603,6,3,121,121,122,123,141,142,4,9,5,9,6,5,7,5,1,255,334,27,27,15,15,2861,46,76,3,8
604,6,4,123,123,131,131,141,151,4,9,5,9,6,5,7,5,1,255,454,36,36,20,20,4103,52,120,3,8
605,6,5,122,122,132,132,142,152,4,9,5,9,6,5,7,5,1,255,688,45,45,25,25,6703,109,140,3,8
606,6,6,121,121,141,141,141,151,4,9,5,9,6,5,7,5,1,255,876,54,54,30,30,7698,154,268,3,8
