id,type,activitytype,neednum,name,icon,award1,award2,award3,begintime,endtime,daystart,dayend,lv,gold,month,viplv,time,taskid1,taskid2,taskid3,taskid4,cost
10001,1,,,25级可领,,,,,,,,,25,100,,,,,,,,
10002,1,,,30级可领,,,,,,,,,30,200,,,,,,,,
10003,1,,,35级可领,,,,,,,,,35,300,,,,,,,,
10004,1,,,40级可领,,,,,,,,,40,400,,,,,,,,
10005,1,,,45级可领,,,,,,,,,45,500,,,,,,,,
10006,1,,,50级可领,,,,,,,,,50,600,,,,,,,,
10007,1,,,55级可领,,,,,,,,,55,700,,,,,,,,
20001,2,,,,,1_1_50000,8_5_10,,,,,,,,6,,,,,,,
20002,2,,,,,1_6_1000,8_5_10,,,,,,,,6,,,,,,,
20003,2,,,,,12_1001_3,8_5_10,,,,,,,,6,3,,,,,,
20004,2,,,,,1_2_100,8_5_10,,,,,,,,6,,,,,,,
20005,2,,,,,8_5_10,8_5_10,,,,,,,,6,,,,,,,
20006,2,,,,,6_1_10,8_5_10,,,,,,,,6,,,,,,,
20007,2,,,,,8_8_20,8_5_10,,,,,,,,6,5,,,,,,
20008,2,,,,,1_1_50000,8_5_10,,,,,,,,6,,,,,,,
20009,2,,,,,1_6_1000,8_5_10,,,,,,,,6,,,,,,,
20010,2,,,,,12_1001_3,8_5_10,,,,,,,,6,3,,,,,,
20011,2,,,,,1_2_100,8_5_10,,,,,,,,6,,,,,,,
20012,2,,,,,8_5_10,8_5_10,,,,,,,,6,,,,,,,
20013,2,,,,,6_1_10,8_5_10,,,,,,,,6,,,,,,,
20014,2,,,,,8_8_20,8_5_10,,,,,,,,6,5,,,,,,
20015,2,,,,,1_1_50000,8_5_10,,,,,,,,6,,,,,,,
20016,2,,,,,1_6_1000,8_5_10,,,,,,,,6,,,,,,,
20017,2,,,,,12_1001_3,8_5_10,,,,,,,,6,3,,,,,,
20018,2,,,,,1_2_100,8_5_10,,,,,,,,6,,,,,,,
20019,2,,,,,8_5_10,8_5_10,,,,,,,,6,,,,,,,
20020,2,,,,,6_1_10,8_5_10,,,,,,,,6,,,,,,,
20021,2,,,,,8_8_20,8_5_10,,,,,,,,6,5,,,,,,
20022,2,,,,,1_1_50000,8_5_10,,,,,,,,6,,,,,,,
20023,2,,,,,1_6_1000,8_5_10,,,,,,,,6,,,,,,,
20024,2,,,,,12_1001_3,8_5_10,,,,,,,,6,3,,,,,,
20025,2,,,,,1_2_100,8_5_10,,,,,,,,6,,,,,,,
20026,2,,,,,8_5_10,8_5_10,,,,,,,,6,,,,,,,
20027,2,,,,,6_1_10,8_5_10,,,,,,,,6,,,,,,,
20028,2,,,,,8_8_20,8_5_10,,,,,,,,6,5,,,,,,
20101,2,,,,,1_1_50000,8_19_10,,,,,,,,7,,,,,,,
20102,2,,,,,1_6_1000,8_19_10,,,,,,,,7,,,,,,,
