itemId,bagTab,type,subtype,minitype,name,desc,icon,quality,beginTime,invalid,useful,useLimit1,useLimit2,useLimit3,useLimit4,useLimit5,amountLimit,useTime,power,cd,stackAmount,order,sale,price,content
1001,2,10,1,1,第1种材料,--,image/bag/01backpak_goods_03icon.png,1,0,0,0,,,,,,0,,,,999,20010101,1,500,
1002,2,10,2,1,第2种材料,--,image/bag/01backpak_goods_02icon.png,1,0,0,0,,,,,,0,,,,999,20010102,1,500,
2001,2,4,5,1,强化石,提供100点强化经验,image/bag/01backpak_goods_03icon.png,1,0,0,0,,,,,,0,,100,0,999,40005101,1,2000,
2002,2,4,6,1,神仙草,有起死回生效果的仙草(复活币）,image/bag/01backpak_goods_03icon.png,4,0,0,0,,,,,,0,,,,999,40006401,1,500,
3001,2,8,1,1,小体力药,回复20体力,image/bag/01backpak_goods_03icon.png,4,0,86400,1,1;10,2;1,,,,5,1,20,0,99,80001401,2,500,
3002,2,8,1,2,buff药水,增加攻击力25%,image/bag/01backpak_goods_03icon.png,4,0,86400,1,1;10,2;1,,,,5,1,20,0,99,80001401,2,500,
10001,2,7,1,1,等级礼包1,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001401,1,500,70001401
10002,2,7,1,2,等级礼包2,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001402,1,500,70001402
10003,2,7,1,3,等级礼包3,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001403,1,500,70001403
10004,2,7,1,4,等级礼包4,--,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001404,1,500,70001404
10005,2,7,1,5,等级礼包5,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001405,1,500,70001405
10006,2,7,1,6,等级礼包6,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001406,1,500,70001406
10007,2,7,1,7,等级礼包7,--,image/bag/01backpak_goods_03icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001407,1,500,70001407
10008,2,7,1,8,等级礼包8,--,image/bag/01backpak_goods_02icon.png,4,0,0,1,1;1,,,,,0,1,,0,1,70001408,1,500,70001408
