id,modelId,level,power,MaxHP,MaxMP,MaxSP,PA,PF,MA,MF,HPRecover,MPRecover,SPRecover,AttSpeed,CombinationAtt,MoveSpeed,JumpHeight,FlyTimes,SPDamage,AttPush,AttPushDef,AttRaise,AttRaiseDef,Stiff,StiffDef,BaseCrit,CritRate,CritDef,StunDef,StunTimeDef,SlowDef,SlowTimeDef,PoisonDef,BloodDef,KODef,FloatVal,FloatDef,Fall,FallDef
1001,1,1,26209,5388,100,71,139,76,139,76,0,0,7,30,800,600,175,99,2,0,0,0,0,0,0,17,5000,8,0,0,0,0,0,0,99999,0,0,0,0
1002,1,2,26669,7432,100,98,193,106,193,106,0,0,11,30,800,600,175,99,4,0,0,0,0,0,0,24,5000,12,0,0,0,0,0,0,99999,0,0,0,0
1003,1,3,27169,9661,100,128,252,139,252,139,0,0,15,30,800,600,175,99,6,0,0,0,0,0,0,32,5000,16,0,0,0,0,0,0,99999,0,0,0,0
1004,1,4,27702,12071,100,160,316,174,316,174,0,0,19,30,800,600,175,99,8,0,0,0,0,0,0,41,5000,20,0,0,0,0,0,0,99999,0,0,0,0
1005,1,5,28283,14662,100,195,385,212,385,212,0,0,24,30,800,600,175,99,10,0,0,0,0,0,0,50,5000,25,0,0,0,0,0,0,99999,0,0,0,0
1006,1,6,28897,17438,100,232,458,253,458,253,0,0,29,30,800,600,175,99,12,0,0,0,0,0,0,60,5000,30,0,0,0,0,0,0,99999,0,0,0,0
1007,1,7,29576,20399,100,272,536,297,536,297,0,0,35,30,800,600,175,99,15,0,0,0,0,0,0,71,5000,36,0,0,0,0,0,0,99999,0,0,0,0
1008,1,8,30288,23541,100,314,619,343,619,343,0,0,41,30,800,600,175,99,18,0,0,0,0,0,0,83,5000,42,0,0,0,0,0,0,99999,0,0,0,0
1009,1,9,31039,26868,100,359,707,392,707,392,0,0,47,30,800,600,175,99,21,0,0,0,0,0,0,95,5000,49,0,0,0,0,0,0,99999,0,0,0,0
1010,1,10,31839,30380,100,407,800,444,800,444,0,0,54,30,800,600,175,99,24,0,0,0,0,0,0,108,5000,56,0,0,0,0,0,0,99999,0,0,0,0
1011,1,11,32672,34073,100,457,898,498,898,498,0,0,61,30,800,600,175,99,27,0,0,0,0,0,0,122,5000,63,0,0,0,0,0,0,99999,0,0,0,0
1012,1,12,33561,37947,100,509,1001,555,1001,555,0,0,69,30,800,600,175,99,31,0,0,0,0,0,0,136,5000,71,0,0,0,0,0,0,99999,0,0,0,0
1013,1,13,34490,42010,100,564,1109,615,1109,615,0,0,77,30,800,600,175,99,35,0,0,0,0,0,0,151,5000,79,0,0,0,0,0,0,99999,0,0,0,0
1014,1,14,35457,46254,100,621,1222,678,1222,678,0,0,85,30,800,600,175,99,39,0,0,0,0,0,0,167,5000,88,0,0,0,0,0,0,99999,0,0,0,0
1015,1,15,36472,50683,100,681,1340,743,1340,743,0,0,94,30,800,600,175,99,43,0,0,0,0,0,0,184,5000,97,0,0,0,0,0,0,99999,0,0,0,0
