id,name,des,icon,quality,stackAmount,order,price,produced,getpathId
1,强化石,强化材料,#cailiao_zhenzhu.png,2,999,1,100,,110001
1001,白棉布,10级进阶武器的材料,#cailiao_baimianbu.png,1,999,4,1000,10101;10102;10103,111001
1002,云雷纹,10级进阶护甲的材料,#cailiao_yunleiwen.png,1,999,5,1000,10101;10102;10103,111002
2001,亚麻,20级进阶武器的材料,#cailiao_yama.png,2,999,7,1000,10201;10202;10203,112001
2002,蝙蝠纹,20级进阶护甲的材料,#cailiao_bianfuwen.png,2,999,8,1000,10201;10202;10203,112002
3001,花素绫,30级进阶武器的材料,#cailiao_huasuling.png,3,999,10,1000,10301;10302;10303,113001
3002,团花纹,30级进阶护甲的材料,#cailiao_tuanhuawen.png,3,999,11,1000,10301;10302;10303,113002
4001,杭罗,40级进阶武器的材料,#cailiao_hangluo.png,4,999,13,1000,10401;10402;10403,114001
4002,如意纹,40级进阶护甲的材料,#cailiao_ruyiwen.png,4,999,14,1000,10401;10402;10403,114002
5001,府绸,50级进阶武器的材料,#cailiao_fuchou.png,4,999,16,1000,10501;10502;10503,115001
5002,连珠纹,50级进阶护甲的材料,#cailiao_lianzhuwen.png,4,999,17,1000,10501;10502;10503,115002
6001,古香缎,60级进阶武器的材料,#cailiao_guxiangduan.png,4,999,19,1000,10601;10602;10603,116001
6002,凤纹,60级进阶护甲的材料,#cailiao_fengwen.png,4,999,20,1000,10601;10602;10603,116002
7001,云锦,70级进阶武器的材料,#cailiao_yunjin.png,5,999,22,1000,10701;10702;10703,117001
7002,龙纹,70级进阶护甲的材料,#cailiao_longwen.png,5,999,23,1000,10701;10702;10703,117002
8001,云锦,80级进阶武器的材料,#cailiao_yunjin.png,5,999,24,1000,10701;10702;10703,117001
8002,龙纹,80级进阶护甲的材料,#cailiao_longwen.png,5,999,25,1000,10701;10702;10703,117002
,,,,,,,,,
