groupid,questionid,perfectAward,excellentAward,normalAward,badAward,failAward
1001,"4027,4035,5014,5024,6023,6023",19001,19002,19003,19004,19005
1002,"4016,4027,5012,5028,6011,6035",19006,19007,19008,19009,19010
1003,"4005,4011,5014,5012,6028,6011",19011,19012,19013,19014,19015
1004,"4021,4033,5012,5024,6002,6023",19016,19017,19018,19019,19020
1005,"4016,4001,5012,5030,6020,6034",19021,19022,19023,19024,19025
2001,"4019,4014,5023,5024,6003,6014",19026,19027,19028,19029,19030
2002,"4014,4021,5006,5030,6022,6009",19031,19032,19033,19034,19035
2003,"4007,4027,5025,5013,6002,6017",19036,19037,19038,19039,19040
2004,"4033,4013,5012,5005,6003,6006",19041,19042,19043,19044,19045
2005,"4011,4022,5026,5035,6025,6034",19046,19047,19048,19049,19050
3001,"4024,4002,5024,5009,6012,6002",19051,19052,19053,19054,19055
3002,"4034,4012,5032,5026,6011,6008",19056,19057,19058,19059,19060
3003,"4032,4035,5019,5005,6018,6022",19061,19062,19063,19064,19065
3004,"4024,4034,5028,5029,6010,6029",19066,19067,19068,19069,19070
3005,"4026,4029,5003,5007,6014,6012",19071,19072,19073,19074,19075
4001,"4013,4003,5034,5003,6033,6001",19076,19077,19078,19079,19080
4002,"4034,4032,5003,5009,6007,6011",19081,19082,19083,19084,19085
4003,"4007,4031,5030,5012,6007,6017",19086,19087,19088,19089,19090
4004,"4032,4026,5030,5026,6024,6035",19091,19092,19093,19094,19095
4005,"4005,4020,5030,5011,6031,6031",19096,19097,19098,19099,19100
5001,"4011,4016,5015,5026,6005,6013",19101,19102,19103,19104,19105
5002,"4004,4033,5006,5008,6028,6006",19106,19107,19108,19109,19110
5003,"4001,4035,5003,5033,6028,6018",19111,19112,19113,19114,19115
5004,"4011,4030,5021,5002,6005,6012",19116,19117,19118,19119,19120
5005,"4004,4010,5033,5019,6024,6025",19121,19122,19123,19124,19125
