id,stageid,autoawardid,killawardid,time1,awardid1,time2,awardid2,time3,awardid3,time4,awardid4,time5,awardid5,time6,awardid6,time7,awardid7,time8,awardid8,time9,awardid9,time10,awardid10
20303001,20303,1,2030311,1,2030312,5,2030313,10,2030314,15,2030315,20,2030316,25,2030317,,,,,,,,
20303002,20303,2,2030321,1,2030322,5,2030323,10,2030324,15,2030325,20,2030326,25,2030327,,,,,,,,
20303003,20303,3,2030331,1,2030332,5,2030333,10,2030334,15,2030335,20,2030336,25,2030337,,,,,,,,
20303004,20303,4,2030341,1,2030342,5,2030343,10,2030344,15,2030345,20,2030346,25,2030347,,,,,,,,
20303005,20303,5,2030351,1,2030352,5,2030353,10,2030354,15,2030355,20,2030356,25,2030357,,,,,,,,
20306001,20306,1,2030611,1,2030612,5,2030613,10,2030614,15,2030615,20,2030616,25,2030617,,,,,,,,
20306002,20306,2,2030621,1,2030622,5,2030623,10,2030624,15,2030625,20,2030626,25,2030627,,,,,,,,
20306003,20306,3,2030631,1,2030632,5,2030633,10,2030634,15,2030635,20,2030636,25,2030637,,,,,,,,
20306004,20306,4,2030641,1,2030642,5,2030643,10,2030644,15,2030645,20,2030646,25,2030647,,,,,,,,
20306005,20306,5,2030651,1,2030652,5,2030653,10,2030654,15,2030655,20,2030656,25,2030657,,,,,,,,
20309001,20309,1,2030911,1,2030912,5,2030913,10,2030914,15,2030915,20,2030916,25,2030917,,,,,,,,
20309002,20309,2,2030921,1,2030922,5,2030923,10,2030924,15,2030925,20,2030926,25,2030927,,,,,,,,
20309003,20309,3,2030931,1,2030932,5,2030933,10,2030934,15,2030935,20,2030936,25,2030937,,,,,,,,
20309004,20309,4,2030941,1,2030942,5,2030943,10,2030944,15,2030945,20,2030946,25,2030947,,,,,,,,
20309005,20309,5,2030951,1,2030952,5,2030953,10,2030954,15,2030955,20,2030956,25,2030957,,,,,,,,
20312001,20312,1,2031211,1,2031212,5,2031213,10,2031214,15,2031215,20,2031216,25,2031217,,,,,,,,
20312002,20312,2,2031221,1,2031222,5,2031223,10,2031224,15,2031225,20,2031226,25,2031227,,,,,,,,
20312003,20312,3,2031231,1,2031232,5,2031233,10,2031234,15,2031235,20,2031236,25,2031237,,,,,,,,
20312004,20312,4,2031241,1,2031242,5,2031243,10,2031244,15,2031245,20,2031246,25,2031247,,,,,,,,
20312005,20312,5,2031251,1,2031252,5,2031253,10,2031254,15,2031255,20,2031256,25,2031257,,,,,,,,
20403001,20403,1,2040311,1,2040312,5,2040313,10,2040314,15,2040315,20,2040316,25,2040317,,,,,,,,
20403002,20403,2,2040321,1,2040322,5,2040323,10,2040324,15,2040325,20,2040326,25,2040327,,,,,,,,
20403003,20403,3,2040331,1,2040332,5,2040333,10,2040334,15,2040335,20,2040336,25,2040337,,,,,,,,
20403004,20403,4,2040341,1,2040342,5,2040343,10,2040344,15,2040345,20,2040346,25,2040347,,,,,,,,
20403005,20403,5,2040351,1,2040352,5,2040353,10,2040354,15,2040355,20,2040356,25,2040357,,,,,,,,
20406001,20406,1,2030611,1,2030612,5,2030613,10,2030614,15,2030615,20,2030616,25,2030617,,,,,,,,
20406002,20406,2,2030621,1,2030622,5,2030623,10,2030624,15,2030625,20,2030626,25,2030627,,,,,,,,
20406003,20406,3,2030631,1,2030632,5,2030633,10,2030634,15,2030635,20,2030636,25,2030637,,,,,,,,
20406004,20406,4,2030641,1,2030642,5,2030643,10,2030644,15,2030645,20,2030646,25,2030647,,,,,,,,
20406005,20406,5,2030651,1,2030652,5,2030653,10,2030654,15,2030655,20,2030656,25,2030657,,,,,,,,
20409001,20409,1,2030911,1,2030912,5,2030913,10,2030914,15,2030915,20,2030916,25,2030917,,,,,,,,
20409002,20409,2,2030921,1,2030922,5,2030923,10,2030924,15,2030925,20,2030926,25,2030927,,,,,,,,
20409003,20409,3,2030931,1,2030932,5,2030933,10,2030934,15,2030935,20,2030936,25,2030937,,,,,,,,
20409004,20409,4,2030941,1,2030942,5,2030943,10,2030944,15,2030945,20,2030946,25,2030947,,,,,,,,
20409005,20409,5,2030951,1,2030952,5,2030953,10,2030954,15,2030955,20,2030956,25,2030957,,,,,,,,
20412001,20412,1,2031211,1,2031212,5,2031213,10,2031214,15,2031215,20,2031216,25,2031217,,,,,,,,
20412002,20412,2,2031221,1,2031222,5,2031223,10,2031224,15,2031225,20,2031226,25,2031227,,,,,,,,
20412003,20412,3,2031231,1,2031232,5,2031233,10,2031234,15,2031235,20,2031236,25,2031237,,,,,,,,
20412004,20412,4,2031241,1,2031242,5,2031243,10,2031244,15,2031245,20,2031246,25,2031247,,,,,,,,
20412005,20412,5,2031251,1,2031252,5,2031253,10,2031254,15,2031255,20,2031256,25,2031257,,,,,,,,
20503001,20503,1,2050311,1,2050312,5,2050313,10,2050314,15,2050315,20,2050316,25,2050317,,,,,,,,
20503002,20503,2,2050321,1,2050322,5,2050323,10,2050324,15,2050325,20,2050326,25,2050327,,,,,,,,
20503003,20503,3,2050331,1,2050332,5,2050333,10,2050334,15,2050335,20,2050336,25,2050337,,,,,,,,
20503004,20503,4,2050341,1,2050342,5,2050343,10,2050344,15,2050345,20,2050346,25,2050347,,,,,,,,
