id,equipId,resID,level,name,icon,quality,advanced,levelUpNeedCoin,levelUpNeedResId1,levelUpNeedResCnt1,levelUpNeedResId2,levelUpNeedResCnt2,isStepUp,attrType,attrValue,nextLevelAttrType,nextLevelAttrValue,res,equipPosition,power,LOffset,ROffset,LZoder,RZoder
1001,1,,1,ÂÞÃ±,#kui_luomao.png,1,0,10,1,1,,,0,1,297,1,49,,2,16,,,,
1002,1,,2,ÂÞÃ±,#kui_luomao.png,1,0,58,1,1,,,0,1,346,1,446,,2,19,,,,
1003,1,,3,ÂÞÃ±,#kui_luomao.png,1,0,155,1,1,,,0,1,792,1,99,,2,43,,,,
1004,1,,4,ÂÞÃ±,#kui_luomao.png,1,0,312,1,1,,,0,1,891,1,99,,2,48,,,,
1005,1,,5,ÂÞÃ±,#kui_luomao.png,1,0,533,1,1,,,0,1,990,1,99,,2,53,,,,
1006,1,,6,ÂÞÃ±,#kui_luomao.png,1,0,828,1,1,,,0,1,1089,1,100,,2,59,,,,
1007,1,,7,ÂÞÃ±,#kui_luomao.png,1,0,1199,1,1,,,0,1,1189,1,99,,2,64,,,,
1008,1,,8,ÂÞÃ±,#kui_luomao.png,1,0,1653,1,1,,,0,1,1288,1,99,,2,70,,,,
1009,1,,9,ÂÞÃ±,#kui_luomao.png,1,0,2193,1,1,,,0,1,1387,1,99,,2,75,,,,
1010,1,,10,ÂÞÃ±,#kui_luomao.png,1,0,2824,1,1,,,0,1,1486,1,99,,2,80,,,,
1011,1,,11,ÂÞÃ±,#kui_luomao.png,1,0,3551,1,2,,,0,1,1585,1,99,,2,86,,,,
1012,1,,12,ÂÞÃ±,#kui_luomao.png,1,0,9724,1001,10,1002,10,1,1,1684,1,991,,2,91,,,,
1013,1,,13,ÎäÉú½í,#kui_wushengjin.png,2,0,5302,1,2,,,0,1,2675,1,149,,2,144,,,,
1014,1,,14,ÎäÉú½í,#kui_wushengjin.png,2,0,6336,1,2,,,0,1,2824,1,148,,2,152,,,,
1015,1,,15,ÎäÉú½í,#kui_wushengjin.png,2,0,7476,1,2,,,0,1,2972,1,149,,2,160,,,,
1016,1,,16,ÎäÉú½í,#kui_wushengjin.png,2,0,8730,1,2,,,0,1,3121,1,148,,2,169,,,,
1017,1,,17,ÎäÉú½í,#kui_wushengjin.png,2,0,10096,1,2,,,0,1,3269,1,149,,2,177,,,,
1018,1,,18,ÎäÉú½í,#kui_wushengjin.png,2,0,11581,1,2,,,0,1,3418,1,149,,2,185,,,,
1019,1,,19,ÎäÉú½í,#kui_wushengjin.png,2,0,13186,1,2,,,0,1,3567,1,148,,2,193,,,,
1020,1,,20,ÎäÉú½í,#kui_wushengjin.png,2,0,14913,1,2,,,0,1,3715,1,149,,2,201,,,,
1021,1,,21,ÎäÉú½í,#kui_wushengjin.png,2,0,16767,1,3,,,0,1,3864,1,149,,2,209,,,,
1022,1,,22,ÎäÉú½í,#kui_wushengjin.png,2,0,41662,2001,25,2002,25,1,1,4013,1,1536,,2,217,,,,
1023,1,,23,Ò¹±¼¿ø,#kui_yebenkui.png,3,0,20858,1,3,,,0,1,5549,1,198,,2,300,,,,
1024,1,,24,Ò¹±¼¿ø,#kui_yebenkui.png,3,0,23101,1,3,,,0,1,5747,1,198,,2,310,,,,
1025,1,,25,Ò¹±¼¿ø,#kui_yebenkui.png,3,0,25479,1,3,,,0,1,5945,1,198,,2,321,,,,
1026,1,,26,Ò¹±¼¿ø,#kui_yebenkui.png,3,0,27994,1,3,,,0,1,6143,1,198,,2,332,,,,
1027,1,,27,Ò¹±¼¿ø,#kui_yebenkui.png,3,0,30649,1,3,,,0,1,6341,1,198,,2,342,,,,
1028,1,,28,Ò¹±¼¿ø,#kui_yebenkui.png,3,0,33444,1,3,,,0,1,6539,1,199,,2,353,,,,
1029,1,,29,Ò¹±¼¿ø,#kui_yebenkui.png,3,0,36383,1,3,,,0,1,6738,1,198,,2,364,,,,
1030,1,,30,Ò¹±¼¿ø,#kui_yebenkui.png,3,0,39466,1,3,,,0,1,6936,1,198,,2,375,,,,
1031,1,,31,Ò¹±¼¿ø,#kui_yebenkui.png,3,0,42697,1,4,,,0,1,7134,1,198,,2,385,,,,
1032,1,,32,Ò¹±¼¿ø,#kui_yebenkui.png,3,0,102400,3001,50,3002,50,1,1,7332,1,2081,,2,396,,,,
1033,1,,33,¸ÄÁ¼¿ø,#kui_gailiangkui.png,3,1,49610,1,4,,,0,1,9413,1,248,,2,508,,,,
1034,1,,34,¸ÄÁ¼¿ø,#kui_gailiangkui.png,3,1,53296,1,4,,,0,1,9661,1,248,,2,522,,,,
1035,1,,35,¸ÄÁ¼¿ø,#kui_gailiangkui.png,3,1,57136,1,4,,,0,1,9909,1,247,,2,535,,,,
1036,1,,36,¸ÄÁ¼¿ø,#kui_gailiangkui.png,3,1,61132,1,4,,,0,1,10156,1,248,,2,548,,,,
1037,1,,37,¸ÄÁ¼¿ø,#kui_gailiangkui.png,3,1,65287,1,4,,,0,1,10404,1,248,,2,562,,,,
1038,1,,38,¸ÄÁ¼¿ø,#kui_gailiangkui.png,3,1,69603,1,4,,,0,1,10652,1,247,,2,575,,,,
1039,1,,39,¸ÄÁ¼¿ø,#kui_gailiangkui.png,3,1,74079,1,4,,,0,1,10899,1,248,,2,589,,,,
