gemId,name,level,quality,equipType,icon,levelRequire,attr1Key,attr1Value,attr2Key,attr2Value,attr3Key,attr3Value,attr4Key,attr4Value,attr5Key,attr5Value,power,getpathId,desc
1001,玛瑙+1,1,1,1,#baoshi_manao1.png,1,4,42,,,,,,,,,42,121001,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1002,玛瑙+2,2,1,1,#baoshi_manao2.png,1,4,63,,,,,,,,,63,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1003,玛瑙+3,3,2,1,#baoshi_manao3.png,1,4,84,,,,,,,,,84,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1004,玛瑙+4,4,2,1,#baoshi_manao4.png,20,4,118,,,,,,,,,118,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1005,玛瑙+5,5,2,1,#baoshi_manao5.png,30,4,152,,,,,,,,,152,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1006,玛瑙+6,6,3,1,#baoshi_manao6.png,40,4,190,,,,,,,,,190,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1007,玛瑙+7,7,3,1,#baoshi_manao7.png,50,4,233,,,,,,,,,233,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1008,玛瑙+8,8,3,1,#baoshi_manao8.png,60,4,297,,,,,,,,,297,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1009,玛瑙+9,9,4,1,#baoshi_manao9.png,65,4,382,,,,,,,,,382,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1010,玛瑙+10,10,4,1,#baoshi_manao10.png,70,4,510,,,,,,,,,510,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1011,玛瑙+11,11,4,1,#baoshi_manao11.png,70,4,680,,,,,,,,,680,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1012,玛瑙+12,12,5,1,#baoshi_manao12.png,70,4,935,,,,,,,,,935,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1013,玛瑙+13,13,5,1,#baoshi_manao13.png,70,4,1275,,,,,,,,,1275,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1014,玛瑙+14,14,5,1,#baoshi_manao14.png,70,4,1700,,,,,,,,,1700,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
1015,玛瑙+15,15,5,1,#baoshi_manao15.png,70,4,2126,,,,,,,,,2126,0,玛瑙，玉属也，纹理旋绕，间有人物鸟兽云气之状
2001,琥珀+1,1,1,2,#baoshi_hupo1.png,1,3,48,10,3,,,,,,,30,122001,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2002,琥珀+2,2,1,2,#baoshi_hupo2.png,1,3,72,10,5,,,,,,,46,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2003,琥珀+3,3,2,2,#baoshi_hupo3.png,1,3,97,10,7,,,,,,,63,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2004,琥珀+4,4,2,2,#baoshi_hupo4.png,20,3,136,10,11,,,,,,,90,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2005,琥珀+5,5,2,2,#baoshi_hupo5.png,30,3,176,10,15,,,,,,,118,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2006,琥珀+6,6,3,2,#baoshi_hupo6.png,40,3,221,10,19,,,,,,,149,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2007,琥珀+7,7,3,2,#baoshi_hupo7.png,50,3,271,10,24,,,,,,,184,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2008,琥珀+8,8,3,2,#baoshi_hupo8.png,60,3,346,10,31,,,,,,,235,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2009,琥珀+9,9,4,2,#baoshi_hupo9.png,65,3,445,10,41,,,,,,,305,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2010,琥珀+10,10,4,2,#baoshi_hupo10.png,70,3,594,10,55,,,,,,,407,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2011,琥珀+11,11,4,2,#baoshi_hupo11.png,70,3,792,10,74,,,,,,,544,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2012,琥珀+12,12,5,2,#baoshi_hupo12.png,70,3,1089,10,102,,,,,,,749,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2013,琥珀+13,13,5,2,#baoshi_hupo13.png,70,3,1486,10,140,,,,,,,1023,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2014,琥珀+14,14,5,2,#baoshi_hupo14.png,70,3,1982,10,187,,,,,,,1365,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
2015,琥珀+15,15,5,2,#baoshi_hupo15.png,70,3,2478,10,234,,,,,,,1707,0,枫脂沦入地中，千秋为琥珀，洁清明朗，润泽而濡
3001,翡翠+1,1,1,3,#baoshi_feicui1.png,1,1,768,,,,,,,,,41,123001,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3002,翡翠+2,2,1,3,#baoshi_feicui2.png,1,1,1152,,,,,,,,,62,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3003,翡翠+3,3,2,3,#baoshi_feicui3.png,1,1,1537,,,,,,,,,83,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3004,翡翠+4,4,2,3,#baoshi_feicui4.png,20,1,2153,,,,,,,,,116,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3005,翡翠+5,5,2,3,#baoshi_feicui5.png,30,1,2769,,,,,,,,,150,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3006,翡翠+6,6,3,3,#baoshi_feicui6.png,40,1,3462,,,,,,,,,187,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3007,翡翠+7,7,3,3,#baoshi_feicui7.png,50,1,4232,,,,,,,,,229,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3008,翡翠+8,8,3,3,#baoshi_feicui8.png,60,1,5387,,,,,,,,,291,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3009,翡翠+9,9,4,3,#baoshi_feicui9.png,65,1,6927,,,,,,,,,374,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3010,翡翠+10,10,4,3,#baoshi_feicui10.png,70,1,9237,,,,,,,,,499,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3011,翡翠+11,11,4,3,#baoshi_feicui11.png,70,1,12317,,,,,,,,,665,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3012,翡翠+12,12,5,3,#baoshi_feicui12.png,70,1,16937,,,,,,,,,915,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3013,翡翠+13,13,5,3,#baoshi_feicui13.png,70,1,23096,,,,,,,,,1247,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3014,翡翠+14,14,5,3,#baoshi_feicui14.png,70,1,30795,,,,,,,,,1663,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
3015,翡翠+15,15,5,3,#baoshi_feicui15.png,70,1,38494,,,,,,,,,2079,0,艳夺春波，娇如滴翠，映水则澄鲜照澈，是为翡翠
4001,青金+1,1,1,4,#baoshi_qingjin1.png,1,6,26,7,26,,,,,,,40,124001,"青金石出金坑，色青如豆靛,色相如天"
4002,青金+2,2,1,4,#baoshi_qingjin2.png,1,6,39,7,39,,,,,,,60,0,"青金石出金坑，色青如豆靛,色相如天"
4003,青金+3,3,2,4,#baoshi_qingjin3.png,1,6,53,7,53,,,,,,,82,0,"青金石出金坑，色青如豆靛,色相如天"
4004,青金+4,4,2,4,#baoshi_qingjin4.png,20,6,75,7,75,,,,,,,116,0,"青金石出金坑，色青如豆靛,色相如天"
4005,青金+5,5,2,4,#baoshi_qingjin5.png,30,6,97,7,97,,,,,,,149,0,"青金石出金坑，色青如豆靛,色相如天"
4006,青金+6,6,3,4,#baoshi_qingjin6.png,40,6,122,7,122,,,,,,,188,0,"青金石出金坑，色青如豆靛,色相如天"
4007,青金+7,7,3,4,#baoshi_qingjin7.png,50,6,150,7,150,,,,,,,231,0,"青金石出金坑，色青如豆靛,色相如天"
4008,青金+8,8,3,4,#baoshi_qingjin8.png,60,6,191,7,191,,,,,,,294,0,"青金石出金坑，色青如豆靛,色相如天"
4009,青金+9,9,4,4,#baoshi_qingjin9.png,65,6,246,7,246,,,,,,,379,0,"青金石出金坑，色青如豆靛,色相如天"
4010,青金+10,10,4,4,#baoshi_qingjin10.png,70,6,329,7,329,,,,,,,507,0,"青金石出金坑，色青如豆靛,色相如天"
4011,青金+11,11,4,4,#baoshi_qingjin11.png,70,6,439,7,439,,,,,,,676,0,"青金石出金坑，色青如豆靛,色相如天"
4012,青金+12,12,5,4,#baoshi_qingjin12.png,70,6,604,7,604,,,,,,,930,0,"青金石出金坑，色青如豆靛,色相如天"
4013,青金+13,13,5,4,#baoshi_qingjin13.png,70,6,824,7,824,,,,,,,1269,0,"青金石出金坑，色青如豆靛,色相如天"
4014,青金+14,14,5,4,#baoshi_qingjin14.png,70,6,1099,7,1099,,,,,,,1692,0,"青金石出金坑，色青如豆靛,色相如天"
4015,青金+15,15,5,4,#baoshi_qingjin15.png,70,6,1374,7,1374,,,,,,,2116,0,"青金石出金坑，色青如豆靛,色相如天"
5001,紫玉+1,1,1,5,#baoshi_ziyu1.png,1,23,27,25,25,,,,,,,45,125001,白鱼赤鸟之符，黄金紫玉之瑞
5002,紫玉+2,2,1,5,#baoshi_ziyu2.png,1,23,41,25,38,,,,,,,68,0,白鱼赤鸟之符，黄金紫玉之瑞
5003,紫玉+3,3,2,5,#baoshi_ziyu3.png,1,23,55,25,51,,,,,,,91,0,白鱼赤鸟之符，黄金紫玉之瑞
5004,紫玉+4,4,2,5,#baoshi_ziyu4.png,20,23,77,25,72,,,,,,,127,0,白鱼赤鸟之符，黄金紫玉之瑞
5005,紫玉+5,5,2,5,#baoshi_ziyu5.png,30,23,100,25,93,,,,,,,165,0,白鱼赤鸟之符，黄金紫玉之瑞
5006,紫玉+6,6,3,5,#baoshi_ziyu6.png,40,23,126,25,117,,,,,,,208,0,白鱼赤鸟之符，黄金紫玉之瑞
5007,紫玉+7,7,3,5,#baoshi_ziyu7.png,50,23,154,25,143,,,,,,,254,0,白鱼赤鸟之符，黄金紫玉之瑞
5008,紫玉+8,8,3,5,#baoshi_ziyu8.png,60,23,197,25,182,,,,,,,324,0,白鱼赤鸟之符，黄金紫玉之瑞
5009,紫玉+9,9,4,5,#baoshi_ziyu9.png,65,23,254,25,234,,,,,,,418,0,白鱼赤鸟之符，黄金紫玉之瑞
5010,紫玉+10,10,4,5,#baoshi_ziyu10.png,70,23,339,25,312,,,,,,,557,0,白鱼赤鸟之符，黄金紫玉之瑞
5011,紫玉+11,11,4,5,#baoshi_ziyu11.png,70,23,452,25,416,,,,,,,743,0,白鱼赤鸟之符，黄金紫玉之瑞
5012,紫玉+12,12,5,5,#baoshi_ziyu12.png,70,23,622,25,572,,,,,,,1022,0,白鱼赤鸟之符，黄金紫玉之瑞
5013,紫玉+13,13,5,5,#baoshi_ziyu13.png,70,23,849,25,780,,,,,,,1395,0,白鱼赤鸟之符，黄金紫玉之瑞
5014,紫玉+14,14,5,5,#baoshi_ziyu14.png,70,23,1132,25,1040,,,,,,,1860,0,白鱼赤鸟之符，黄金紫玉之瑞
5015,紫玉+15,15,5,5,#baoshi_ziyu15.png,70,23,1416,25,1300,,,,,,,2326,0,白鱼赤鸟之符，黄金紫玉之瑞
6001,脂玉+1,1,1,6,#baoshi_zhiyu1.png,1,5,42,,,,,,,,,42,126001,纯洁浑白，色如羊脂，故又名羊脂玉
6002,脂玉+2,2,1,6,#baoshi_zhiyu2.png,1,5,63,,,,,,,,,63,0,纯洁浑白，色如羊脂，故又名羊脂玉
6003,脂玉+3,3,2,6,#baoshi_zhiyu3.png,1,5,84,,,,,,,,,84,0,纯洁浑白，色如羊脂，故又名羊脂玉
6004,脂玉+4,4,2,6,#baoshi_zhiyu4.png,20,5,118,,,,,,,,,118,0,纯洁浑白，色如羊脂，故又名羊脂玉
6005,脂玉+5,5,2,6,#baoshi_zhiyu5.png,30,5,152,,,,,,,,,152,0,纯洁浑白，色如羊脂，故又名羊脂玉
6006,脂玉+6,6,3,6,#baoshi_zhiyu6.png,40,5,190,,,,,,,,,190,0,纯洁浑白，色如羊脂，故又名羊脂玉
6007,脂玉+7,7,3,6,#baoshi_zhiyu7.png,50,5,233,,,,,,,,,233,0,纯洁浑白，色如羊脂，故又名羊脂玉
6008,脂玉+8,8,3,6,#baoshi_zhiyu8.png,60,5,297,,,,,,,,,297,0,纯洁浑白，色如羊脂，故又名羊脂玉
6009,脂玉+9,9,4,6,#baoshi_zhiyu9.png,65,5,382,,,,,,,,,382,0,纯洁浑白，色如羊脂，故又名羊脂玉
6010,脂玉+10,10,4,6,#baoshi_zhiyu10.png,70,5,510,,,,,,,,,510,0,纯洁浑白，色如羊脂，故又名羊脂玉
6011,脂玉+11,11,4,6,#baoshi_zhiyu11.png,70,5,680,,,,,,,,,680,0,纯洁浑白，色如羊脂，故又名羊脂玉
6012,脂玉+12,12,5,6,#baoshi_zhiyu12.png,70,5,935,,,,,,,,,935,0,纯洁浑白，色如羊脂，故又名羊脂玉
6013,脂玉+13,13,5,6,#baoshi_zhiyu13.png,70,5,1275,,,,,,,,,1275,0,纯洁浑白，色如羊脂，故又名羊脂玉
6014,脂玉+14,14,5,6,#baoshi_zhiyu14.png,70,5,1700,,,,,,,,,1700,0,纯洁浑白，色如羊脂，故又名羊脂玉
6015,脂玉+15,15,5,6,#baoshi_zhiyu15.png,70,5,2126,,,,,,,,,2126,0,纯洁浑白，色如羊脂，故又名羊脂玉
