id,type,refreshtime,opentime,cost,vipneed,res,icon1,icon2,icon3,normalaward,nextbestneedtimes,bestaward,times1,award1,times2,award2,times3,award3,times4,award4,times5,award5,times6,award6,times7,award7,times8,award8,times9,award9,times10,award10,times11,award11,times12,award12,times13,award13,times14,award14,times15,award15
1001,1,3600,0,0,0,,,,,100101,5,100102,1,100103,2,100104,3,100105,4,100106,5,100107,10,100108,7,100109,,,,,,,,,,,,,,,,
2001,2,0,0,1,0,,,,,200101,5,200102,1,200103,2,200104,3,200105,4,200106,5,200107,10,200108,7,200109,,,,,,,,,,,,,,,,
3001,3,0,0,30,0,,,,,300101,5,300102,1,300103,2,300104,3,300105,4,300106,5,300107,10,300108,7,300109,,,,,,,,,,,,,,,,
4001,4,36000,0,0,0,,,,,400101,10,400102,1,400103,2,400104,3,400105,4,400106,5,400107,10,400108,7,400109,,,,,,,,,,,,,,,,
4002,4,36000,0,0,0,,,,,400201,10,400202,1,400203,2,400204,3,400205,4,400206,5,400207,10,400208,7,400209,,,,,,,,,,,,,,,,
4003,4,36000,0,0,0,,,,,400301,10,400302,1,400303,2,400304,3,400305,4,400306,5,400307,10,400308,7,400309,,,,,,,,,,,,,,,,
4004,4,36000,0,0,0,,,,,400401,10,400402,1,400403,2,400404,3,400405,4,400406,5,400407,10,400408,7,400409,,,,,,,,,,,,,,,,
4005,4,36000,0,0,0,,,,,400501,10,400502,1,400503,2,400504,3,400505,4,400506,5,400507,10,400508,7,400509,,,,,,,,,,,,,,,,
4006,4,36000,0,0,0,,,,,400601,10,400602,1,400603,2,400604,3,400605,4,400606,5,400607,10,400608,7,400609,,,,,,,,,,,,,,,,
4007,4,36000,0,0,0,,,,,400701,10,400702,1,400703,2,400704,3,400705,4,400706,5,400707,10,400708,7,400709,,,,,,,,,,,,,,,,
4008,4,36000,0,0,0,,,,,400801,10,400802,1,400803,2,400804,3,400805,4,400806,5,400807,10,400808,7,400809,,,,,,,,,,,,,,,,
4009,4,36000,0,0,0,,,,,400901,10,400902,1,400903,2,400904,3,400905,4,400906,5,400907,10,400908,7,400909,,,,,,,,,,,,,,,,
4010,4,36000,0,0,0,,,,,401001,10,401002,1,401003,2,401004,3,401005,4,401006,5,401007,10,401008,7,401009,,,,,,,,,,,,,,,,
5001,5,0,0,30,0,,,,,500101,3,500102,1,500103,2,500104,3,500105,4,500106,5,500107,10,500108,7,500109,,,,,,,,,,,,,,,,
5002,5,0,0,30,0,,,,,500201,3,500202,1,500203,2,500204,3,500205,4,500206,5,500207,10,500208,7,500209,,,,,,,,,,,,,,,,
5003,5,0,0,30,0,,,,,500301,3,500302,1,500303,2,500304,3,500305,4,500306,5,500307,10,500308,7,500309,,,,,,,,,,,,,,,,
5004,5,0,0,30,0,,,,,500401,3,500402,1,500403,2,500404,3,500405,4,500406,5,500407,10,500408,7,500409,,,,,,,,,,,,,,,,
5005,5,0,0,30,0,,,,,500501,3,500502,1,500503,2,500504,3,500505,4,500506,5,500507,10,500508,7,500509,,,,,,,,,,,,,,,,
5006,5,0,0,30,0,,,,,500601,3,500602,1,500603,2,500604,3,500605,4,500606,5,500607,10,500608,7,500609,,,,,,,,,,,,,,,,
5007,5,0,0,30,0,,,,,500701,3,500702,1,500703,2,500704,3,500705,4,500706,5,500707,10,500708,7,500709,,,,,,,,,,,,,,,,
5008,5,0,0,30,0,,,,,500801,3,500802,1,500803,2,500804,3,500805,4,500806,5,500807,10,500808,7,500809,,,,,,,,,,,,,,,,
5009,5,0,0,30,0,,,,,500901,3,500902,1,500903,2,500904,3,500905,4,500906,5,500907,10,500908,7,500909,,,,,,,,,,,,,,,,
5010,5,0,0,30,0,,,,,501001,3,501002,1,501003,2,501004,3,501005,4,501006,5,501007,10,501008,7,501009,,,,,,,,,,,,,,,,
6001,6,0,0,200,10,image/palace_boss_icon/palace_icon_boss_unlock_2.png,#monster0001_headiconM.png,#monster0001_headiconM.png,#monster0001_headiconM.png,600101,2,600102,1,600103,2,600104,3,600105,4,600106,5,600107,10,600108,7,600109,,,,,,,,,,,,,,,,
6002,6,0,2,200,10,image/palace_boss_icon/palace_icon_boss_unlock_2.png,#monster0005_headiconM.png,#monster0005_headiconM.png,#monster0005_headiconM.png,600201,2,600202,1,600203,2,600204,3,600205,4,600206,5,600207,10,600208,7,600209,,,,,,,,,,,,,,,,
6003,6,0,3,200,10,image/palace_boss_icon/palace_icon_boss_unlock_2.png,#monster0006_headiconM.png,#monster0006_headiconM.png,#monster0006_headiconM.png,600301,2,600302,1,600303,2,600304,3,600305,4,600306,5,600307,10,600308,7,600309,,,,,,,,,,,,,,,,
6004,6,0,4,200,10,image/palace_boss_icon/palace_icon_boss_unlock_2.png,#monster0008_headiconM.png,#monster0008_headiconM.png,#monster0008_headiconM.png,600401,2,600402,1,600403,2,600404,3,600405,4,600406,5,600407,10,600408,7,600409,,,,,,,,,,,,,,,,
6005,6,0,5,200,10,image/palace_boss_icon/palace_icon_boss_unlock_2.png,#monster0009_headiconM.png,#monster0009_headiconM.png,#monster0009_headiconM.png,600501,2,600502,1,600503,2,600504,3,600505,4,600506,5,600507,10,600508,7,600509,,,,,,,,,,,,,,,,
6006,6,0,6,200,10,image/palace_boss_icon/palace_icon_boss_unlock_2.png,#monster0010_headiconM.png,#monster0010_headiconM.png,#monster0010_headiconM.png,600601,2,600602,1,600603,2,600604,3,600605,4,600606,5,600607,10,600608,7,600609,,,,,,,,,,,,,,,,
6007,6,0,7,200,10,image/palace_boss_icon/palace_icon_boss_unlock_2.png,#monster0011_headiconM.png,#monster0011_headiconM.png,#monster0011_headiconM.png,600701,2,600702,1,600703,2,600704,3,600705,4,600706,5,600707,10,600708,7,600709,,,,,,,,,,,,,,,,
7001,7,0,0,1,0,,,,,700101,10,700102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7002,7,0,0,1,0,,,,,700201,10,700202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7003,7,0,0,1,0,,,,,700301,10,700302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7004,7,0,0,1,0,,,,,700401,10,700402,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7005,7,0,0,1,0,,,,,700501,10,700502,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7006,7,0,0,1,0,,,,,700601,10,700602,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,7,0,0,1,0,,,,,700701,10,700702,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7008,7,0,0,1,0,,,,,700801,10,700802,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7009,7,0,0,1,0,,,,,700901,10,700902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7010,7,0,0,1,0,,,,,701001,10,701002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
