id,step,level,nextNeedExp,nextLevelCostCoin,nextLevelSoul,getExp,levelUpToStep,levelUpToLevel,acupoint,critRate,activeSkill,MaxHP,MaxMP,MaxSP,PA,MA,PF,MF,HPRecover,MPRecover,SPRecover,MaxHPAdd,MaxMPAdd,MaxSPAdd,PAAdd,MAAdd,PFAdd,MFAdd,HPRecoverAdd,MPRecoverAdd,SPRecoverAdd,power,positionX,positionY
1000,1,0,595,30,15,15,1,1,,50;30;20,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,241,268
1001,1,1,1020,40,20,20,1,2,1,50;30;20,,0,0,0,126,0,0,0,,,,0,0,0,126,0,0,0,0,0,0,126,300,207
1002,1,2,1445,50,25,25,1,3,,50;30;20,,0,0,0,0,130,0,0,,,,0,0,0,126,130,0,0,0,0,0,256,336,133
1003,1,3,1870,60,30,30,1,4,2,50;30;20,,0,0,0,138,0,0,0,,,,0,0,0,264,130,0,0,0,0,0,394,410,96
1004,1,4,2295,70,35,35,1,5,,50;30;20,,0,0,0,0,142,0,0,,,,0,0,0,264,272,0,0,0,0,0,536,491,98
1005,1,5,2720,80,40,40,1,6,3,50;30;20,,0,0,0,151,0,0,0,,,,0,0,0,415,272,0,0,0,0,0,687,573,112
1006,1,6,3145,90,45,45,1,7,,50;30;20,,0,0,0,0,155,0,0,,,,0,0,0,415,427,0,0,0,0,0,842,656,99
1007,1,7,3570,100,50,50,1,8,4,50;30;20,,0,0,0,163,0,0,0,,,,0,0,0,578,427,0,0,0,0,0,1005,703,170
1008,1,8,3995,110,55,55,1,9,,50;30;20,,0,0,0,0,167,0,0,,,,0,0,0,578,594,0,0,0,0,0,1172,687,251
1009,1,9,4420,120,60,60,1,10,5,50;30;20,,0,0,0,176,0,0,0,,,,0,0,0,754,594,0,0,0,0,0,1348,736,318
1010,1,10,0,0,65,65,2,0,,50;30;20,,0,0,0,0,180,0,0,,,,0,0,0,754,774,0,0,0,0,0,1528,793,268
2000,2,0,1105,60,30,30,2,1,,50;30;20,,6036,0,48,222,222,124,124,,,,6036,0,48,976,996,124,124,0,0,0,4625,224,196
2001,2,1,1530,70,35,35,2,2,,50;30;20,,2218,0,0,0,0,0,0,,,,8254,0,48,976,996,124,124,0,0,0,4700,272,249
2002,2,2,1955,80,40,40,2,3,6,50;30;20,,0,0,0,0,0,0,0,,,,8254,0,48,976,996,124,124,0,0,0,4700,319,196
2003,2,3,2380,90,45,45,2,4,,50;30;20,,2439,0,0,0,0,0,0,,,,10693,0,48,976,996,124,124,0,0,0,4783,350,126
2004,2,4,2805,100,50,50,2,5,,50;30;20,,0,0,0,0,0,0,0,,,,10693,0,48,976,996,124,124,0,0,0,4783,418,87
2005,2,5,3230,110,55,55,2,6,7,50;30;20,,2661,0,0,0,0,0,0,,,,13354,0,48,976,996,124,124,0,0,0,4873,497,100
2006,2,6,3655,120,60,60,2,7,,50;30;20,,0,0,0,0,0,0,0,,,,13354,0,48,976,996,124,124,0,0,0,4873,520,168
2007,2,7,4080,130,65,65,2,8,,50;30;20,,2883,0,0,0,0,0,0,,,,16237,0,48,976,996,124,124,0,0,0,4971,530,240
2008,2,8,4505,140,70,70,2,9,8,50;30;20,,0,0,0,0,0,0,0,,,,16237,0,48,976,996,124,124,0,0,0,4971,582,287
2009,2,9,4930,150,75,75,2,10,,50;30;20,,3105,0,0,0,0,0,0,,,,19342,0,48,976,996,124,124,0,0,0,5077,652,302
2010,2,10,5355,160,80,80,2,11,,50;30;20,,0,0,0,0,0,0,0,,,,19342,0,48,976,996,124,124,0,0,0,5077,723,315
2011,2,11,5780,170,85,85,2,12,9,50;30;20,,3326,0,0,0,0,0,0,,,,22668,0,48,976,996,124,124,0,0,0,5190,790,291
2012,2,12,6205,180,90,90,2,13,,50;30;20,,0,0,0,0,0,0,0,,,,22668,0,48,976,996,124,124,0,0,0,5190,761,231
2013,2,13,6630,190,95,95,2,14,,50;30;20,,3548,0,0,0,0,0,0,,,,26216,0,48,976,996,124,124,0,0,0,5311,710,181
2014,2,14,7055,200,100,100,2,15,10,50;30;20,,0,0,0,0,0,0,0,,,,26216,0,48,976,996,124,124,0,0,0,5311,755,129
2015,2,15,7480,210,105,105,2,16,,50;30;20,,3770,0,0,0,0,0,0,,,,29986,0,48,976,996,124,124,0,0,0,5439,824,121
2016,2,16,0,0,110,110,3,0,,50;30;20,,0,0,0,0,0,0,0,,,,29986,0,48,976,996,124,124,0,0,0,5439,802,196
3000,3,0,1955,90,45,45,3,1,,50;30;20,,8094,0,64,297,297,166,166,,,,38080,0,112,1273,1293,290,290,0,0,0,9178,224,196
3001,3,1,2380,100,50,50,3,2,,50;30;20,,0,0,0,0,0,77,0,,,,38080,0,112,1273,1293,367,290,0,0,0,9239,272,249
3002,3,2,2805,110,55,55,3,3,,50;30;20,,0,0,0,0,0,0,80,,,,38080,0,112,1273,1293,367,370,0,0,0,9303,319,196
3003,3,3,3230,120,60,60,3,4,11,50;30;20,,0,0,0,0,0,85,0,,,,38080,0,112,1273,1293,452,370,0,0,0,9371,350,126
3004,3,4,3655,130,65,65,3,5,,50;30;20,,0,0,0,0,0,0,87,,,,38080,0,112,1273,1293,452,457,0,0,0,9441,418,87
3005,3,5,4080,140,70,70,3,6,,50;30;20,,0,0,0,0,0,93,0,,,,38080,0,112,1273,1293,545,457,0,0,0,9515,497,100
3006,3,6,4505,150,75,75,3,7,,50;30;20,,0,0,0,0,0,0,95,,,,38080,0,112,1273,1293,545,552,0,0,0,9591,520,168
3007,3,7,4930,160,80,80,3,8,12,50;30;20,,0,0,0,0,0,100,0,,,,38080,0,112,1273,1293,645,552,0,0,0,9671,530,240
3008,3,8,5355,170,85,85,3,9,,50;30;20,,0,0,0,0,0,0,102,,,,38080,0,112,1273,1293,645,654,0,0,0,9753,582,287
3009,3,9,5780,180,90,90,3,10,,50;30;20,,0,0,0,0,0,108,0,,,,38080,0,112,1273,1293,753,654,0,0,0,9839,652,302
3010,3,10,6205,190,95,95,3,11,,50;30;20,,0,0,0,0,0,0,110,,,,38080,0,112,1273,1293,753,764,0,0,0,9927,723,315
