roleID,name,guild,title,level,power,vipLv,modelID,puonfashionID,equipID1,skill1,skill2,skill3,rhymeCount,onstation1,onstation2,onstation3,onstation4,onstation5,MaxHP,MaxMP,MaxSP,PA,PF,MA,MF,HPRecover,MPRecover,SPRecover,AttSpeed,CombinationAtt,MoveSpeed,JumpHeight,FlyTimes,SPDamage,AttPush,AttPushDef,AttRaise,AttRaiseDef,Stiff,StiffDef,BaseCrit,CritRate,CritDef,StunDef,StunTimeDef,SlowDef,SlowTimeDef,PoisonDef,BloodDef,KODef,FloatVal,FloatDef,Fall,FallDef,score
1001,…ÃŒƒ∫≤,,,63,48562,6,3,"14,301,1","17,8060,1","3003,54","3004,58","3005,55",,"7,40,1","7,19,1","7,31,1","7,56,1","7,47,1",208835,100,13188,6858,2355,6672,2526,0,0,1488,30,800,600,175,99,1063,0,0,0,0,0,0,4148,6500,2602,0,0,0,0,0,0,99999,0,0,0,0,1393
1002,∫ÿÃÏΩæ,,,62,47960,6,2,"14,201,1","17,7052,1","2003,53","2004,54","2005,48",,"7,41,1","7,40,1","7,19,1","7,58,1","7,22,1",222123,100,13865,5594,2512,5486,2922,0,0,1582,30,800,600,175,99,1107,0,0,0,0,0,0,4039,7000,2140,0,0,0,0,0,0,99999,0,0,0,0,1392
1003,∏«”¿Àº,,,64,49816,6,3,"14,302,1","17,8063,1","3003,59","3004,51","3005,61",,"7,62,1","7,56,1","7,50,1","7,58,1","7,56,1",235325,100,12436,6491,2416,6269,2598,0,0,1389,30,800,600,175,99,1328,0,0,0,0,0,0,4662,6500,2443,0,0,0,0,0,0,99999,0,0,0,0,1392
1004,∏ﬂ∑…∫Ω,,,61,45647,6,3,"14,301,1","17,8057,1","3003,47","3004,50","3005,57",,"7,32,1","7,22,1","7,26,1","7,20,1","7,45,1",234263,100,11251,5428,2445,5366,2609,0,0,1546,30,800,600,175,99,959,0,0,0,0,0,0,3930,6500,2094,0,0,0,0,0,0,99999,0,0,0,0,1371
1005,øˆ¿˚,,,60,47162,6,1,"14,102,1","17,6059,1","1003,53","1004,59","1005,55",,"7,58,1","7,14,1","7,63,1","7,14,1","7,33,1",227088,100,12925,5763,2585,5247,2750,0,0,1389,30,800,600,175,99,993,0,0,0,0,0,0,4550,6500,2440,0,0,0,0,0,0,99999,0,0,0,0,1379
1006,º¿»Ò¿˚,,,59,43323,6,3,"14,302,1","17,8056,1","3003,54","3004,52","3005,54",,"7,45,1","7,27,1","7,27,1","7,45,1","7,13,1",199746,100,10422,5036,2488,5983,2408,0,0,1224,30,800,600,175,99,958,0,0,0,0,0,0,4015,7000,1970,0,0,0,0,0,0,99999,0,0,0,0,1387
1007,æ”Œ∞“„,,,62,46999,6,2,"14,201,1","17,7049,1","2003,62","2004,48","2005,61",,"7,48,1","7,53,1","7,18,1","7,10,1","7,32,1",241438,100,11646,5594,2294,6008,2922,0,0,1328,30,800,600,175,99,1011,0,0,0,0,0,0,4039,6500,2140,0,0,0,0,0,0,99999,0,0,0,0,1372
1008,–Ì”¢“„,,,61,46094,6,2,"14,201,1","17,7060,1","2003,48","2004,52","2005,49",,"7,49,1","7,18,1","7,36,1","7,1,1","7,58,1",215522,100,11251,6462,2232,5878,2382,0,0,1422,30,800,600,175,99,959,0,0,0,0,0,0,3930,7000,2094,0,0,0,0,0,0,99999,0,0,0,0,1385
1009,‘≠Ã©,,,59,42884,6,3,"14,302,1","17,8049,1","3003,59","3004,46","3005,59",,"7,40,1","7,63,1","7,42,1","7,63,1","7,45,1",182377,100,11415,5036,2488,5983,2617,0,0,1224,30,800,600,175,99,1042,0,0,0,0,0,0,4015,6500,2158,0,0,0,0,0,0,99999,0,0,0,0,1386
1010,º“∫≠µ”,,,61,47332,6,1,"14,102,1","17,6058,1","1003,59","1004,57","1005,60",,"7,63,1","7,6,1","7,53,1","7,30,1","7,49,1",234263,100,11251,6462,2232,5366,2836,0,0,1422,30,800,600,175,99,959,0,0,0,0,0,0,4679,6500,2294,0,0,0,0,0,0,99999,0,0,0,0,1378
1011,’Ÿ–ﬁŒ∞,,,59,43363,6,3,"14,301,1","17,8049,1","3003,56","3004,58","3005,48",,"7,48,1","7,49,1","7,36,1","7,41,1","7,9,1",182377,100,11415,5515,2090,5983,2617,0,0,1341,30,800,600,175,99,958,0,0,0,0,0,0,3666,7000,2346,0,0,0,0,0,0,99999,0,0,0,0,1355
1012,≥£æ≠“Â,,,57,40694,6,1,"14,101,1","17,6051,1","1003,50","1004,49","1005,48",,"7,42,1","7,29,1","7,27,1","7,8,1","7,28,1",197169,100,10464,5019,1928,4581,1976,0,0,1245,30,800,600,175,99,966,0,0,0,0,0,0,3993,6500,2158,0,0,0,0,0,0,99999,0,0,0,0,1351
1013,∑Ω◊”’Ê,,,59,43065,6,2,"14,201,1","17,7050,1","2003,49","2004,59","2005,49",,"7,27,1","7,33,1","7,32,1","7,1,1","7,22,1",199746,100,10422,5036,2090,5983,2198,0,0,1224,30,800,600,175,99,1042,0,0,0,0,0,0,4015,7000,1970,0,0,0,0,0,0,99999,0,0,0,0,1353
1014,≥ÿ∫≠»›,,,58,41700,6,3,"14,301,1","17,8048,1","3003,45","3004,53","3005,46",,"7,45,1","7,20,1","7,56,1","7,49,1","7,20,1",190570,100,9988,5267,2392,5719,2286,0,0,1293,30,800,600,175,99,843,0,0,0,0,0,0,3510,7000,1891,0,0,0,0,0,0,99999,0,0,0,0,1351
1015,¡ËÃÏø’,,,58,44007,6,3,"14,302,1","17,8051,1","3003,50","3004,45","3005,49",,"7,13,1","7,32,1","7,6,1","7,40,1","7,13,1",207142,100,11891,5726,2009,5261,2286,0,0,1406,30,800,600,175,99,1004,0,0,0,0,0,0,3510,7000,2071,0,0,0,0,0,0,99999,0,0,0,0,1367
1016,÷Ÿ≥§—◊,,,56,37858,6,1,"14,102,1","17,6053,1","1003,44","1004,55","1005,46",,"7,27,1","7,1,1","7,26,1","7,58,1","7,40,1",157244,100,9988,4772,2199,5190,2042,0,0,1093,30,800,600,175,99,853,0,0,0,0,0,0,3198,7000,1898,0,0,0,0,0,0,99999,0,0,0,0,1357
1017,ƒœπ˘±ˆ,,,59,42958,6,2,"14,202,1","17,7056,1","2003,57","2004,53","2005,46",,"7,45,1","7,11,1","7,42,1","7,9,1","7,63,1",182377,100,12408,5036,2090,5504,2198,0,0,1458,30,800,600,175,99,1042,0,0,0,0,0,0,4364,6500,1970,0,0,0,0,0,0,99999,0,0,0,0,1354
1018,Ω™∫Î¥Û,,,59,42482,6,1,"14,101,1","17,6047,1","1003,46","1004,51","1005,53",,"7,46,1","7,36,1","7,41,1","7,45,1","7,45,1",199746,100,11415,5036,2289,5025,2408,0,0,1224,30,800,600,175,99,875,0,0,0,0,0,0,4364,6500,2158,0,0,0,0,0,0,99999,0,0,0,0,1368
1019,⁄Û¥Ÿ,,,56,39811,6,1,"14,101,1","17,6045,1","1003,44","1004,56","1005,42",,"7,9,1","7,46,1","7,11,1","7,21,1","7,62,1",172220,100,9988,5187,2023,5190,2220,0,0,1302,30,800,600,175,99,779,0,0,0,0,0,0,3808,7000,1733,0,0,0,0,0,0,99999,0,0,0,0,1366
1020,π˛≠Z,,,58,40269,6,2,"14,202,1","17,7052,1","2003,50","2004,58","2005,58",,"7,32,1","7,58,1","7,41,1","7,42,1","7,33,1",173999,100,10939,4809,2009,5261,2087,0,0,1406,30,800,600,175,99,843,0,0,0,0,0,0,3510,7000,2071,0,0,0,0,0,0,99999,0,0,0,0,1367
