id,monsterid,name,sect,quality,skillid,in_effectid,out_effectid,PicOffset,ResOffset,PicRotate,rate,outType,param1,param2,maxstar,maxfloor,count,lucky,desc,lifelight,Res,sex,awakenstar1,effect1,awakenstar2,effect2,awakenstar3,effect3,des1,des2,des3,handbook_bigxy,handbook_bigscale,handbook_bigrotate,handbook_smallxy,handbook_smallscale,handbook_smallrotate,story1,story1opencondition,story2,story2opencondition,story3,story3opencondition
8,10008,纳兰,1,4,1000823,12,13,"0,0","185,50",0,1500,0,2,0,10,5,80,1004,纳宗宗主|掌管京剧猫的分宗试炼|可将韵力化为箭矢|,3,monster0008,1,2,1;29;150,5,2;1000,7,3;89,增加150点减速抗性,出现概率增加10%,减少目标20%普通防御和技能防御，持续8秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>要成为真正的京剧猫，<row><color=207,178,101>必须需通过三场考试——<row><color=207,178,101>“铁尺量身”、“分宗试炼”、“辨韵入典”，<row><color=207,178,101>我将亲自为你们进行“铁尺量身”<row><color=207,178,101>只有韵力合格，才能通过考试！<row><color=207,178,101>现在，运起你们最大的力量吧！","3,8,9;佣兵纳兰等级达到9级","18<row><color=207,178,101>60年前，<row><color=207,178,101>正是我让小黑加入的京剧猫……<row><color=207,178,101>小黑变成了黯，<row><color=207,178,101>发动了猫土大战，血洗猫土。<row><color=207,178,101>这……这都是我的过失！<row><color=207,178,101>我……（歇斯底里）<row><color=207,178,101>我要阻止所有人成为京剧猫！<row><color=207,178,101>永远也别想有人在我这里通过考试！","2,50105,0;通关十二宗宫纳宗宗主",,
9,10009,欧阳,2,4,1000923,12,13,"0,0","200,50",0,1000,0,2,0,10,5,80,1005,录宗宗主|韵力灌注的画笔|所绘出的墨迹|可以变成实物|,3,monster0009,1,2,1;30;150,5,2;800,7,3;90,增加150点中毒抗性,出现概率增加8%,降低目标10%普通攻击、普通防御、技能攻击和技能防御，持续8秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>当年，我还是录宗一名小弟子，<row><color=207,178,101>我资质平平，性格胆怯，举止又笨拙，<row><color=207,178,101>在师兄弟之间饱受排挤。<row><color=207,178,101>就在我最茫然无助、<row><color=207,178,101>快要放弃自己的时候，<row><color=207,178,101>我遇见了小黑，<row><color=207,178,101>他让我学会了勇敢和执着<row><color=207,178,101>然而，当我当上宗主时，<row><color=207,178,101>他却离开了……<row><color=207,178,101>而再一次相见时，<row><color=207,178,101>他却变成了……<row><color=207,178,101>陷猫土于无边的混沌和黑暗中的……<row><color=207,178,101>黯……","3,9,9;佣兵欧阳等级达到9级","18<row><color=207,178,101>怕！？<row><color=207,178,101>我再也不是从前那个懦弱，胆小的我！<row><color=207,178,101>谁也不能令我惧怕！<row><color=207,178,101>谁也不能！！<row><color=207,178,101>哈哈哈！<row><color=207,178,101>等我的韵力集中完毕！<row><color=207,178,101>就是你们的死期！","2,50205,0;通关十二宗宫录宗宗主",,
10,10010,荣光,9,4,1001023,12,13,"0,0","200,50",0,1500,0,2,0,10,5,80,1006,星罗班大师兄|十年前只身留在镇外|抵挡混沌魔物|,3,monster0010,1,2,1;29;150,5,2;800,7,3;91,增加150点减速抗性,出现概率增加8%,减少目标移动速度50%，持续5秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>当年，我为了阻挡魔物大军的追赶，<row><color=207,178,101>用韵力关闭了大门。<row><color=207,178,101>同时，也与城门融合在了一起。<row><color=207,178,101>在这十年里，<row><color=207,178,101>我竭尽全力抵御混沌的侵袭，<row><color=207,178,101>但最终还是变成魔物了。<row><color=207,178,101>黯已经苏醒，邪恶的力量正在你壮大。<row><color=207,178,101>白糖，<row><color=207,178,101>黯似乎对你脖子上的珠子很感兴趣，<row><color=207,178,101>你要多加小心。","3,10,9;佣兵荣光等级达到9级","18<row><color=207,178,101>当年为了这几个小崽子，<row><color=207,178,101>就把我抛在大门外，<row><color=207,178,101>如果没有黯大人的召唤，<row><color=207,178,101>我还被困在那冰冷的城门里！<row><color=207,178,101>今天这一切，都是为了报复！","1,10209,0;通关章节关卡第二章 第9关",,
11,10011,西门,6,4,1001123,12,13,"0,0","195,50",0,1100,0,2,0,10,5,80,1007,眼宗宗主|催眠了宗城中所有的猫|能用瞳术预测未来|,3,monster0011,1,2,1;29;150,5,2;700,7,3;92,增加150点减速抗性,出现概率增加7%,造成目标晕眩0.5秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>瞳瞳，如果有一天……<row><color=207,178,101>你当上了宗主，<row><color=207,178,101>但是混沌再次大举侵入猫土，<row><color=207,178,101>你会怎么办？<row><color=207,178,101>我预测到黯在不久的将来会再次出现，<row><color=207,178,101>更会将眼宗灭亡！<row><color=207,178,101>而且…你也…","3,11,9;佣兵西门等级达到9级","18<row><color=207,178,101>在下眼宗宗主，<row><color=207,178,101>西门。<row><color=207,178,101>没想到，十年了，<row><color=207,178,101>瞳瞳你还是这么不会动脑子<row><color=207,178,101>由我所控制，由我所支配，<row><color=207,178,101>这里的居民们才不会收到混沌的侵蚀，<row><color=207,178,101>也只有这样，他们才能够得到幸福。","2,50605,0;通关十二宗宫眼宗宗主",,
13,10013,忠,5,4,1001323,12,13,"0,0","200,50",0,1300,2,2,568,10,5,80,1008,手宗双宗主之一|十年前被黯所伤|隐忍于手宗迷宫之中|,3,monster0013,1,2,1;29;150,5,2;900,7,3;93,增加150点减速抗性,出现概率增加9%,灼烧目标，每3秒造成普通攻击50%的伤害，持续10秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>黯的大军又近了<row><color=207,178,101>和其他宗门的联系被断绝了<row><color=207,178,101>只能靠我们自己了么？<row><color=207,178,101>看着灵锡每天忙碌的样子<row><color=207,178,101>我却帮不上任何忙<row><color=207,178,101>只能嘱咐侍女让她多睡一会<row><color=207,178,101>还差一点……<row><color=207,178,101>只要完成最终兵器的设计<row><color=207,178,101>应该就能帮上她了吧","3,13,9;佣兵忠等级达到9级","18<row><color=207,178,101>灵锡……你怎么就能投降了黯呢？<row><color=207,178,101>你和我都有能够对抗混沌的护身符，<row><color=207,178,101>为什么不一起抵抗到底？<row><color=207,178,101>你让我和蘑菇怎么办？<row><color=207,178,101>你知道么？<row><color=207,178,101>你那一下，<row><color=207,178,101>比黯把混沌枷锁施放在我身上<row><color=207,178,101>还要让我痛苦……<row><color=207,178,101>听现在机巧城里的动静，<row><color=207,178,101>你是在打造最终兵器吧？<row><color=207,178,101>对不起……<row><color=207,178,101>我是不会让你完成它的！","4,14,5;佣兵灵锡星级达到5级",,
14,10014,灵锡,5,4,1001423,12,13,"0,0","190,50",0,1300,0,2,0,10,5,80,1008,手宗双宗主之一|擅长打造器具|偏执于制作最终兵器|,3,monster0014,0,2,1;27;150,5,2;900,7,3;94,增加150点眩晕抗性,出现概率增加9%,获得霸体效果，持续3.5秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>宗城的防务还有几处疏漏<row><color=207,178,101>布置下去的武器制造任务不知道完成了多少<row><color=207,178,101>最终兵器的进度看来是赶不上和黯的战斗了<row><color=207,178,101>还好事先给忠配上了护身符<row><color=207,178,101>混沌应该影响不了他了<row><color=207,178,101>还有蘑菇……希望他能乖乖躲在迷城里<row><color=207,178,101>等到击败黯的那一天，妈妈和爸爸会去接他的","3,14,9;佣兵灵锡等级达到9级","18<row><color=207,178,101>忠……他应该还好吧……<row><color=207,178,101>有了那个护符，混沌枷锁就无法控制他的心智了<row><color=207,178,101>如果当时不那么做，手宗保不住<row><color=207,178,101>忠的性命也会保不住……<row><color=207,178,101>胸口好痛，混沌枷锁又发作了么……<row><color=207,178,101>是了，我现在是黯大人的奴仆<row><color=207,178,101>没有人能阻止我完成最终兵器！","2,50505,0;通关十二宗宫手宗宗主",,
15,10015,老丑,10,4,1001523,"2051,2052,2048","2055,2056,2049","0,0","185,50",0,1200,0,2,0,10,5,80,1009,念宗宗主|一手傀儡术神秘莫测|与两个傀儡形影不离|,3,monster0015,1,2,1;27;150,5,2;800,7,3;95,增加150点眩晕抗性,出现概率增加8%,获得霸体效果，持续3.5秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>银婆婆和董王爷，<row><color=207,178,101>总是把心思花在那些小辈身上；<row><color=207,178,101>无情和铁面，<row><color=207,178,101>一天到晚板着脸很是无趣；<row><color=207,178,101>纳宗收徒，录宗修史，<row><color=207,178,101>手宗总有打造不完的器械；<row><color=207,178,101>眼宗太冷，身宗太潮湿，<row><color=207,178,101>做宗的老小子常年不在宗门，<row><color=207,178,101>打宗从上到下只知道打打杀杀，<row><color=207,178,101>对我来说，十二宗现在太过无趣。<row><color=207,178,101>嗯？谁在说话？<row><color=207,178,101>你是说……如果……<row><color=207,178,101>嗯……<row><color=207,178,101>这样似乎会很有趣……<row><color=207,178,101>哈哈哈哈！","3,15,9;佣兵老丑等级达到9级","18<row><color=207,178,101>傀儡师：小家伙们动作真快～（苦恼状）<row><color=207,178,101>嗯～该和他们玩点什么呢？<row><color=207,178,101>手偶猫：（生气）别光想着玩！<row><color=207,178,101>可别忘了黯大人交给我们的任务！<row><color=207,178,101>傀儡师：哦哦，差点忘了，<row><color=207,178,101>你还不赶快把玩具拿出来！<row><color=207,178,101>傀儡师：（奸笑）哈哈哈哈，<row><color=207,178,101>黯大人的任务，<row><color=207,178,101>才是最有意思的游戏！！<row><color=207,178,101>哈哈哈哈哈哈！！","2,51005,0;通关十二宗宫念宗宗主",,
42,10042,虎妹,12,4,1004223,12,13,"0,0","200,50",0,1500,0,2,0,10,5,80,1018,打宗初代宗主之女|因混沌仪式而被复活|因而魔化程度很深|,3,monster0042,0,2,1;27;150,5,2;1000,7,3;96,增加150点眩晕抗性,出现概率增加10%,获得霸体效果，持续3.5秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>咳……咳……<row><color=207,178,101>宗主兄长说的没错，<row><color=207,178,101>修大人不在，一对一，<row><color=207,178,101>我这打宗第一高手在小黑手里走不过几招。<row><color=207,178,101>可恶啊……<row><color=207,178,101>咳……咳……<row><color=207,178,101>不行，<row><color=207,178,101>我得找个僻静的地方用龟息功疗伤。","3,42,9;佣兵虎妹等级达到9级","18<row><color=207,178,101>太晚了，<row><color=207,178,101>黯的法术已经生效，<row><color=207,178,101>我无法……控制自己。<row><color=207,178,101>赶快跑吧，京剧猫，<row><color=207,178,101>混沌的力量涌动在我的血脉中!<row><color=207,178,101>求求你们，快跑吧，<row><color=207,178,101>在我丧失所有理智之前<row><color=207,178,101>快逃命吧！","5,42,5;佣兵虎妹层级达到5级",,
45,10045,钟无艳,6,4,1004523,12,13,"0,0","210,50",0,700,0,2,0,10,5,80,1007,眼宗弟子|被混沌魔化后|使村里的猫都失明|欺凌村民|,3,monster0045,0,2,1;30;150,5,2;700,7,3;97,增加150点中毒抗性,出现概率增加7%,冰冻目标，减少目标10点攻击速度，30%移动速度，持续8秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>快来看一看啊，<row><color=207,178,101>油彩村特产的胭脂水粉哟~<row><color=207,178,101>全猫土最好的化妆品~<row><color=207,178,101>传说中的神仙草难得一见，<row><color=207,178,101>我这胭脂水粉里的火山泥，可是分量十足哟~<row><color=207,178,101>用了火山泥，整天笑盈盈~","3,45,9;佣兵钟无艳等级达到9级","18<row><color=207,178,101>我才是最漂亮的<row><color=207,178,101>见过我伤疤的都该瞎！<row><color=207,178,101>哈哈哈哈哈哈！","1,10612,0;通关章节关卡第六章 第12关",,
46,10046,铁金刚,5,4,1004623,12,13,"0,0","200,50",0,1200,0,2,0,10,5,80,1015,寻找矿石的手宗弟子|被混沌魔化后|执念于收集矿石|,3,monster0046,1,2,1;27;150,5,2;800,7,3;98,增加150点眩晕抗性,出现概率增加8%,灼烧目标，每3秒造成普通攻击50%的伤害，持续10秒,"18,0",0.5,0,"23,5",0.85,0,"18<row><color=207,178,101>十年前的猫土大战，<row><color=207,178,101>丽石镇镇民们靠躲在矿道中逃过了魔物。<row><color=207,178,101>然而猫土之战过后，<row><color=207,178,101>却因为找不到含有韵力的矿石，<row><color=207,178,101>被手宗抛弃。<row><color=207,178,101>我作为手宗寻矿弟子，<row><color=207,178,101>决定进入混沌弥漫的矿道，<row><color=207,178,101>帮他们寻找矿石。","3,46,9;佣兵铁金刚等级达到9级","18<row><color=207,178,101>你们……<row><color=207,178,101>小猫……帮我……<row><color=207,178,101>找……矿石。<row><color=207,178,101>要特别的……有韵力的矿石……<row><color=207,178,101>找不到……<row><color=207,178,101>就变成魔物……","1,10912,0;通关章节关卡第九章 第12关",,
