id,pos,level,quality,costcount,attr,attrvalue,power
1001,1,1,1,4100,4,250,500
1002,1,2,2,9200,4,500,1000
1003,1,3,3,16300,4,800,1600
1004,1,4,4,25400,4,1200,2400
1005,1,5,5,36500,4,1800,3600
1006,1,6,5,,4,1800,3600
2001,2,1,1,4100,6,80,500
2002,2,2,2,9200,6,200,1000
2003,2,3,3,16300,6,400,1600
2004,2,4,4,25400,6,640,2400
2005,2,5,5,36500,6,960,3600
2006,2,6,5,,6,1440,3600
3001,3,1,1,4100,5,100,500
3002,3,2,2,9200,5,250,1000
3003,3,3,3,16300,5,500,1600
3004,3,4,4,25400,5,800,2400
3005,3,5,5,36500,5,1200,3600
3006,3,6,5,,5,1800,3600
4001,4,1,1,4100,7,80,500
4002,4,2,2,9200,7,200,1000
4003,4,3,3,16300,7,400,1600
4004,4,4,4,25400,7,640,2400
4005,4,5,5,36500,7,960,3600
4006,4,6,5,,7,1440,3600
5001,5,1,1,4100,1,3000,500
5002,5,2,2,9200,1,7500,1000
5003,5,3,3,16300,1,15000,1600
5004,5,4,4,25400,1,24000,2400
5005,5,5,5,36500,1,36000,3600
5006,5,6,5,,1,54000,3600
6001,6,1,1,4100,23,100,500
6002,6,2,2,9200,23,250,1000
6003,6,3,3,16300,23,500,1600
6004,6,4,4,25400,23,800,2400
6005,6,5,5,36500,23,1200,3600
6006,6,6,5,,23,1800,3600
7001,7,1,1,4100,3,120,500
7002,7,2,2,9200,3,300,1000
7003,7,3,3,16300,3,600,1600
7004,7,4,4,25400,3,960,2400
7005,7,5,5,36500,3,1440,3600
7006,7,6,5,,3,2160,3600
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
