id,servantId,awakenstar1,effect1,awakenstar2,effect2,awakenstar3,effect3,,
1,1,3,1;1;2000,6,2;1000,,,,
5,5,3,1;1;1500,6,2;1000,,,,
6,6,3,1;1;2000,6,2;1000,,,,
8,8,2,1;1;1500,5,2;1000,7,3;6,,
9,9,2,1;1;2000,5,2;1000,7,3;6,,
10,10,2,1;1;1500,5,2;1000,7,3;6,,
11,11,2,1;1;2000,5,2;1000,7,3;6,,
13,13,2,1;1;1500,5,2;1000,7,3;6,,
14,14,2,1;1;2000,5,2;1000,7,3;6,,
17,17,2,1;1;2000,5,2;1000,7,3;6,,
18,18,3,1;1;1500,6,2;1000,,,,
19,19,3,1;1;1500,6,2;1000,,,,
20,20,3,1;1;2000,6,2;1000,,,,
21,21,3,1;1;1500,6,2;1000,,,,
22,22,3,1;1;1500,6,2;1000,,,,
24,24,3,1;1;1500,6,2;1000,,,,
26,26,3,1;1;2000,6,2;1000,,,,
27,27,3,1;1;1500,6,2;1000,,,,
28,28,3,1;1;2000,6,2;1000,,,,
29,29,3,1;1;1500,6,2;1000,,,,
30,30,3,1;1;1500,6,2;1000,,,,
31,31,3,1;1;2000,6,2;1000,,,,
32,32,3,1;1;1500,6,2;1000,,,,
33,33,3,1;1;1500,6,2;1000,,,,
36,36,3,1;1;1500,6,2;1000,,,,
39,39,3,1;1;1500,6,2;1000,,,,
40,40,3,1;1;1500,6,2;1000,,,,
41,41,3,1;1;1500,6,2;1000,,,,
42,42,3,1;1;1500,6,2;1000,,,,
45,45,2,1;1;1500,5,2;1000,7,3;6,,
46,46,2,1;1;1500,5,2;1000,7,3;6,,
47,47,3,1;1;1500,6,2;1000,,,,
48,48,3,1;1;1500,6,2;1000,,,,
49,49,3,1;1;1500,6,2;1000,,,,
50,50,3,1;1;1500,6,2;1000,,,,
53,53,2,1;1;1500,5,2;1000,7,3;6,,
56,56,3,1;1;1500,6,2;1000,,,,
58,58,3,1;1;1500,6,2;1000,,,,
62,62,3,1;1;1500,6,2;1000,,,,
63,63,2,1;1;1500,5,2;1000,7,3;6,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
