id,servantid,floor,slot1,slot2,slot3,slot4,attr1,value1,attr2,value2,attr3,value3,attr4,value4,attr5,value5,power
1000,1,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
1001,1,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
1002,1,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
1003,1,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
1004,1,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
1005,1,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
5000,5,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
5001,5,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
5002,5,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
5003,5,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
5004,5,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
5005,5,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
6000,6,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
6001,6,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
6002,6,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
6003,6,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
6004,6,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
6005,6,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
8000,8,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
8001,8,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
8002,8,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
8003,8,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
8004,8,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
8005,8,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
9000,9,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
9001,9,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
9002,9,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
9003,9,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
9004,9,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
9005,9,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
10000,10,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
10001,10,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
10002,10,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
10003,10,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
10004,10,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
10005,10,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
11000,11,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
11001,11,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
11002,11,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
11003,11,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
11004,11,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
11005,11,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
13000,13,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
13001,13,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
13002,13,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
13003,13,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
13004,13,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
13005,13,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
14000,14,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
14001,14,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
14002,14,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
14003,14,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
14004,14,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
14005,14,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
17000,17,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
17001,17,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
17002,17,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
17003,17,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
17004,17,4,5005,5006,5007,5008,4,81,5,81,6,45,7,45,1,2195,2402
17005,17,5,6001,6002,6003,6004,4,0,5,0,6,0,7,0,1,0,2402
18000,18,0,1001,1002,1003,1004,4,10,5,10,6,6,7,6,1,281,259
18001,18,1,2005,2006,2007,2008,4,24,5,24,6,13,7,13,1,647,560
18002,18,2,3001,3002,3003,3004,4,39,5,39,6,22,7,22,1,1069,1058
18003,18,3,4005,4006,4007,4008,4,58,5,58,6,32,7,32,1,1576,1615
18004,18,4,5001,5002,5003,5004,4,81,5,81,6,45,7,45,1,2195,2500
18005,18,5,6005,6006,6007,6008,4,0,5,0,6,0,7,0,1,0,2500
19000,19,0,1005,1006,1007,1008,4,10,5,10,6,6,7,6,1,281,210
19001,19,1,2001,2002,2003,2004,4,24,5,24,6,13,7,13,1,647,578
19002,19,2,3005,3006,3007,3008,4,39,5,39,6,22,7,22,1,1069,993
19003,19,3,4001,4002,4003,4004,4,58,5,58,6,32,7,32,1,1576,1661
