id,lucky,des,attr1,percent1,attr2,percent2,attr3,percent3,servant1,servant2,servant3,servant1Pos,servant2Pos,servant3Pos,servantName1Pos,servantName2Pos,servantName3Pos,relationDescription
1001,净,技防+32%,7,3200,,,,,1,31,,"100,-30,0.7","-60,-30,0.7","0,0,1","90,-100","-50,-100","0,0",xx
1002,力,物防+32%,6,3200,,,,,5,18,,"60,-30,0.7","-60,-30,0.7","0,0,1","90,-100","-40,-100","0,0",xx
1003,铁,"生命+30%,技攻+12%,物攻+12%",1,3000,4,1200,5,1200,6,27,32,"-30,-90,0.7","-150,-30,0.7","100,-30,0.7","-40,-140","-140,-100","100,-100",xx
1004,老,"生命+50%,技攻+20%,物攻+20%",1,5000,4,2000,5,2000,8,61,64,"-30,-90,0.7","-160,-30,0.7","100,-50,0.7","-40,-140","-140,-100","100,-100",xx
1005,画,技攻+50%,5,5000,,,,,9,47,,"-60,-30,0.7","90,-30,0.7","0,0,1","-40,-100","90,-100","0,0",xx
1006,师,物防+60%,6,6000,,,,,10,53,,"80,-30,0.7","-60,-30,0.7","0,0,1","90,-100","-40,-100","0,0",xx
1007,瞳,技攻+60%,5,6000,,,,,11,45,,"-70,-30,0.7","60,-30,0.7","0,0,1","-40,-100","90,-100","0,0",xx
1008,铸,生命+60%,1,6000,,,,,13,14,,"60,-30,0.7","-60,-30,0.7","0,0,1","90,-100","-40,-100","0,0",xx
1009,祸,"生命+40%,技防+16%,物防+16%",1,4000,6,1600,7,1600,15,48,50,"-50,-90,0.7","-150,-30,0.7","100,-30,0.7","-20,-140","-140,-100","100,-100",xx
1010,巡,"生命+30%,技防+12%,物防+12%",1,3000,6,1200,7,1200,19,28,58,"-50,-90,0.7","-150,-30,0.7","100,-30,0.7","-40,-140","-140,-100","110,-100",xx
1011,林,生命+32%,1,3200,,,,,20,26,,"-60,-30,0.7","80,-30,0.7","0,0,1","-40,-100","90,-100","0,0",xx
1012,水,物攻32%,4,3200,,,,,21,36,,"80,-30,0.7","-60,-30,0.7","0,0,1","90,-100","-40,-100","0,0",xx
1013,杀,生命+32%,1,3200,,,,,22,24,,"90,-30,0.7","-60,-30,0.7","0,0,1","90,-100","-40,-100","0,0",xx
1014,行,技防+32%,7,3200,,,,,29,30,,"-90,-60,0.7","60,-50,0.7","0,0,1","-40,-100","90,-100","0,0",xx
1015,采,生命+50%,1,5000,,,,,56,46,,"90,-30,0.7","-80,-30,0.7","0,0,1","90,-100","-40,-100","0,0",xx
1016,酒,生命+32%,1,3200,,,,,33,39,,"60,-30,0.7","-90,-30,0.7","0,0,1","90,-100","-70,-100","0,0",xx
1017,丑,"生命+40%,技攻+16%,物攻+16%",1,4000,4,1600,5,1600,40,41,49,"-50,-90,0.7","-150,-30,0.7","100,-30,0.7","-40,-140","-140,-100","100,-100",xx
1018,旦,技防+60%,7,6000,,,,,42,62,,"60,-30,0.7","-60,-30,0.7","0,0,1","70,-100","-40,-100","0,0",xx
1019,生,物攻+60%,4,6000,,,,,60,63,,"60,-30,0.7","-60,-30,0.7","0,0,1","90,-100","-40,-100","0,0",xx
