lv,exp
1,100
2,400
3,900
4,1600
5,2500
6,3600
7,4900
8,6400
9,8100
10,10000
11,12100
12,14400
13,16900
14,19600
15,22500
16,25600
17,28900
18,32400
19,36100
20,40000
21,44100
22,48400
23,52900
24,57600
25,62500
26,67600
27,72900
28,78400
29,84100
30,90000
31,96100
32,102400
33,108900
34,115600
35,122500
36,129600
37,136900
38,144400
39,152100
40,160000
41,168100
42,176400
43,184900
44,193600
45,202500
46,211600
47,220900
48,230400
49,240100
50,250000
51,260100
52,270400
53,280900
54,291600
55,302500
56,313600
57,324900
58,336400
59,348100
60,360000
61,372100
62,384400
63,396900
64,409600
65,422500
66,435600
67,448900
68,462400
69,476100
70,490000
71,504100
72,518400
73,532900
74,547600
75,562500
76,577600
77,592900
78,608400
79,624100
80,
