ID,shopposition,vipLv,refreshTime,timeawardcontentshop,awardcontentshop1,awardcontentshop2,awardcontentshop3,awardcontentshop4,awardcontentshop5,awardcontentshop6,awardcontentshop7,awardcontentshop8,awardcontentshop9,awardcontentshop10,awardcontentshop11,awardcontentshop12,awardcontentshop13,awardcontentshop14,awardcontentshop15,awardcontentshop16,awardcontentshop17,awardcontentshop18,awardcontentshop19,awardcontentshop20
110000,1,0,6;10;14;18;22,110000,110001,110002,110003,110004,110005,110006,110007,110008,110009,110010,110011,110012,110013,110014,110015,110016,110017,110018,110019,110020
110500,1,5,6;10;14;18;22,110500,110501,110502,110503,110504,110505,110506,110507,110508,110509,110510,110511,110512,110513,110514,110515,110516,110517,110518,110519,110520
111000,1,10,6;10;14;18;22,111000,111001,111002,111003,111004,111005,111006,111007,111008,111009,111010,111011,111012,111013,111014,111015,111016,111017,111018,111019,111020
111500,1,15,6;10;14;18;22,111500,111501,111502,111503,111504,111505,111506,111507,111508,111509,111510,111511,111512,111513,111514,111515,111516,111517,111518,111519,111520
120000,2,0,6;10;14;18;22,120000,120001,120002,120003,120004,120005,120006,120007,120008,120009,120010,120011,120012,120013,120014,120015,120016,120017,120018,120019,120020
120500,2,5,6;10;14;18;22,120500,120501,120502,120503,120504,120505,120506,120507,120508,120509,120510,120511,120512,120513,120514,120515,120516,120517,120518,120519,120520
121000,2,10,6;10;14;18;22,121000,121001,121002,121003,121004,121005,121006,121007,121008,121009,121010,121011,121012,121013,121014,121015,121016,121017,121018,121019,121020
121500,2,15,6;10;14;18;22,121500,121501,121502,121503,121504,121505,121506,121507,121508,121509,121510,121511,121512,121513,121514,121515,121516,121517,121518,121519,121520
130000,3,0,6;10;14;18;22,130000,130001,130002,130003,130004,130005,130006,130007,130008,130009,130010,130011,130012,130013,130014,130015,130016,130017,130018,130019,130020
130500,3,5,6;10;14;18;22,130500,130501,130502,130503,130504,130505,130506,130507,130508,130509,130510,130511,130512,130513,130514,130515,130516,130517,130518,130519,130520
131000,3,10,6;10;14;18;22,131000,131001,131002,131003,131004,131005,131006,131007,131008,131009,131010,131011,131012,131013,131014,131015,131016,131017,131018,131019,131020
131500,3,15,6;10;14;18;22,131500,131501,131502,131503,131504,131505,131506,131507,131508,131509,131510,131511,131512,131513,131514,131515,131516,131517,131518,131519,131520
140000,4,0,6;10;14;18;22,140000,140001,140002,140003,140004,140005,140006,140007,140008,140009,140010,140011,140012,140013,140014,140015,140016,140017,140018,140019,140020
140500,4,5,6;10;14;18;22,140500,140501,140502,140503,140504,140505,140506,140507,140508,140509,140510,140511,140512,140513,140514,140515,140516,140517,140518,140519,140520
141000,4,10,6;10;14;18;22,141000,141001,141002,141003,141004,141005,141006,141007,141008,141009,141010,141011,141012,141013,141014,141015,141016,141017,141018,141019,141020
141500,4,15,6;10;14;18;22,141500,141501,141502,141503,141504,141505,141506,141507,141508,141509,141510,141511,141512,141513,141514,141515,141516,141517,141518,141519,141520
150000,5,0,6;10;14;18;22,150000,150001,150002,150003,150004,150005,150006,150007,150008,150009,150010,150011,150012,150013,150014,150015,150016,150017,150018,150019,150020
150500,5,5,6;10;14;18;22,150500,150501,150502,150503,150504,150505,150506,150507,150508,150509,150510,150511,150512,150513,150514,150515,150516,150517,150518,150519,150520
151000,5,10,6;10;14;18;22,151000,151001,151002,151003,151004,151005,151006,151007,151008,151009,151010,151011,151012,151013,151014,151015,151016,151017,151018,151019,151020
151500,5,15,6;10;14;18;22,151500,151501,151502,151503,151504,151505,151506,151507,151508,151509,151510,151511,151512,151513,151514,151515,151516,151517,151518,151519,151520
160000,6,0,6;10;14;18;22,160000,160001,160002,160003,160004,160005,160006,160007,160008,160009,160010,160011,160012,160013,160014,160015,160016,160017,160018,160019,160020
160500,6,5,6;10;14;18;22,160500,160501,160502,160503,160504,160505,160506,160507,160508,160509,160510,160511,160512,160513,160514,160515,160516,160517,160518,160519,160520
161000,6,10,6;10;14;18;22,161000,161001,161002,161003,161004,161005,161006,161007,161008,161009,161010,161011,161012,161013,161014,161015,161016,161017,161018,161019,161020
161500,6,15,6;10;14;18;22,161500,161501,161502,161503,161504,161505,161506,161507,161508,161509,161510,161511,161512,161513,161514,161515,161516,161517,161518,161519,161520
170000,7,0,6;10;14;18;22,170000,170001,170002,170003,170004,170005,170006,170007,170008,170009,170010,170011,170012,170013,170014,170015,170016,170017,170018,170019,170020
170500,7,5,6;10;14;18;22,170500,170501,170502,170503,170504,170505,170506,170507,170508,170509,170510,170511,170512,170513,170514,170515,170516,170517,170518,170519,170520
171000,7,10,6;10;14;18;22,171000,171001,171002,171003,171004,171005,171006,171007,171008,171009,171010,171011,171012,171013,171014,171015,171016,171017,171018,171019,171020
171500,7,15,6;10;14;18;22,171500,171501,171502,171503,171504,171505,171506,171507,171508,171509,171510,171511,171512,171513,171514,171515,171516,171517,171518,171519,171520
180000,8,0,6;10;14;18;22,180000,180001,180002,180003,180004,180005,180006,180007,180008,180009,180010,180011,180012,180013,180014,180015,180016,180017,180018,180019,180020
180500,8,5,6;10;14;18;22,180500,180501,180502,180503,180504,180505,180506,180507,180508,180509,180510,180511,180512,180513,180514,180515,180516,180517,180518,180519,180520
181000,8,10,6;10;14;18;22,181000,181001,181002,181003,181004,181005,181006,181007,181008,181009,181010,181011,181012,181013,181014,181015,181016,181017,181018,181019,181020
181500,8,15,6;10;14;18;22,181500,181501,181502,181503,181504,181505,181506,181507,181508,181509,181510,181511,181512,181513,181514,181515,181516,181517,181518,181519,181520
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
