id,servant,star,cost,count,costcoin,power,attr,value
1000,1,0,1,100,0,0,6,0
1001,1,1,1,30,5000,76,6,99
1002,1,2,1,60,10000,90,6,118
1003,1,3,1,100,20000,113,6,148
1004,1,4,1,150,40000,144,6,188
1005,1,5,1,200,80000,182,6,237
1006,1,6,1,250,160000,228,6,297
1007,1,7,1,300,320000,281,6,366
1008,1,8,1,350,640000,342,6,445
1009,1,9,1,400,1280000,411,6,534
1010,1,10,1,,,489,6,636
5000,5,0,5,100,0,0,1,0
5001,5,1,5,30,5000,112,1,2086
5002,5,2,5,60,10000,135,1,2503
5003,5,3,5,100,20000,168,1,3129
5004,5,4,5,150,40000,214,1,3963
5005,5,5,5,200,80000,270,1,5006
5006,5,6,5,250,160000,337,1,6258
5007,5,7,5,300,320000,416,1,7718
5008,5,8,5,350,640000,506,1,9387
5009,5,9,5,400,1280000,608,1,11264
5010,5,10,5,,,721,1,13354
6000,6,0,6,100,0,0,4,0
6001,6,1,6,30,5000,80,4,80
6002,6,2,6,60,10000,96,4,96
6003,6,3,6,100,20000,120,4,120
6004,6,4,6,150,40000,152,4,152
6005,6,5,6,200,80000,192,4,192
6006,6,6,6,250,160000,240,4,240
6007,6,7,6,300,320000,296,4,296
6008,6,8,6,350,640000,360,4,360
6009,6,9,6,400,1280000,432,4,432
6010,6,10,6,,,512,4,512
8000,8,0,8,100,0,0,1,0
8001,8,1,8,30,5000,160,1,2980
8002,8,2,8,60,10000,193,1,3576
8003,8,3,8,100,20000,241,1,4470
8004,8,4,8,150,40000,305,1,5662
8005,8,5,8,200,80000,386,1,7152
8006,8,6,8,250,160000,482,1,8940
8007,8,7,8,300,320000,595,1,11026
8008,8,8,8,350,640000,724,1,13410
8009,8,9,8,400,1280000,868,1,16092
8010,8,10,8,,,1030,1,19077
9000,9,0,9,100,0,0,5,0
9001,9,1,9,30,5000,160,5,160
9002,9,2,9,60,10000,192,5,192
9003,9,3,9,100,20000,240,5,240
9004,9,4,9,150,40000,304,5,304
9005,9,5,9,200,80000,384,5,384
9006,9,6,9,250,160000,480,5,480
9007,9,7,9,300,320000,592,5,592
9008,9,8,9,350,640000,720,5,720
9009,9,9,9,400,1280000,864,5,864
9010,9,10,9,,,1032,5,1032
10000,10,0,10,100,0,0,4,0
10001,10,1,10,30,5000,160,4,160
