id,name,des,Res,quality,attr1,attr1value,attr2,attr2value,attr3,attr3value,power,combine1,count1,combine2,count2,combine3,count3,getpathId,,
1001,匕首,普通铁匠打造的匕首，随处可见。,#servantEquip_1001.png,1,4,3,,,,,3,,,,,,,91001,,
1002,残卷,缺角少页的书卷，随处可见。,#servantEquip_1002.png,1,3,6,,,,,3,,,,,,,91002,,
1003,玉珠,河珠所制的饰品，随处可见。,#servantEquip_1003.png,1,1,47,,,,,3,,,,,,,91003,,
1004,麻衣,粗布制成的衣服，随处可见。,#servantEquip_1004.png,1,6,4,,,,,3,,,,,,,91004,,
1005,毛笔,写字用的毛笔，随处可见。,#servantEquip_1005.png,1,5,3,,,,,3,,,,,,,91005,,
1006,头巾,粗布制成的头巾，随处可见。,#servantEquip_1006.png,1,7,4,,,,,3,,,,,,,91006,,
1007,结草环,草叶结成的环饰，随处可见。,#servantEquip_1007.png,1,23,3,,,,,3,,,,,,,91007,,
1008,香囊,装有艾草的香囊，随处可见。,#servantEquip_1008.png,1,1,71,,,,,4,,,,,,,91008,,
2001,桃木剑,游方道士常用的桃木剑，随处可见。,#servantEquip_2001.png,2,4,5,,,,,5,1001,2,,,,,0,,
2002,竹简,有些年头了的简牍，随处可见。,#servantEquip_2002.png,2,3,9,,,,,5,1002,2,,,,,0,,
2003,玉佩,岫玉制的玉佩，随处可见。,#servantEquip_2003.png,2,1,71,,,,,4,1003,2,,,,,0,,
2004,棉服,棉布制的保暖衣物，随处可见。,#servantEquip_2004.png,2,6,6,,,,,5,1004,2,,,,,0,,
2005,狼毫,北方常见的书写用笔，随处可见。,#servantEquip_2005.png,2,5,5,,,,,5,1001,1,1005,2,,,0,,
2006,小面具,庙会上常见的小面具，随处可见。,#servantEquip_2006.png,2,7,6,,,,,5,1002,1,1006,2,,,0,,
2007,猫尾巴,形似猫尾的稚童玩具，随处可见。,#servantEquip_2007.png,2,23,4,,,,,4,1003,1,1007,2,,,0,,
2008,折扇,士子手持的折扇，随处可见。,#servantEquip_2008.png,2,1,107,,,,,6,1004,1,1008,2,,,0,,
3001,哨棒,行脚常备的木制棍棒，随处可见。,#servantEquip_3001.png,3,4,7,,,,,7,1001,2,1007,4,,,0,,
3002,春秋,书局常见的史书钞本，随处可见。,#servantEquip_3002.png,3,3,13,,,,,7,1002,4,1005,2,,,0,,
3003,头钗,女子常用的木制头钗，随处可见。,#servantEquip_3003.png,3,1,95,,,,,5,1003,4,1007,2,,,0,,
3004,百鸟朝凤,小康人家常见的横幅绘卷，随处可见。,#servantEquip_3004.png,3,6,9,,,,,7,1004,4,1005,2,,,0,,
3005,水袖,传统民族服饰，衣袖较长，随处可见。,#servantEquip_3005.png,3,5,7,,,,,7,1004,4,1006,2,,,0,,
3006,顶盔,戏曲中将领的头饰，随处可见。,#servantEquip_3006.png,3,7,9,,,,,7,1006,4,1008,2,,,0,,
3007,小猴,货郎贩卖的小猴面具，随处可见。,#servantEquip_3007.png,3,23,6,,,,,6,1006,4,1001,2,,,0,,
3008,福临铃,轻盈小巧的铃铛，随处可见。,#servantEquip_3008.png,3,1,142,,,,,8,1008,2,1001,2,1003,2,0,,
4001,青虹剑,精钢锻造的宝剑，不易获得。,#servantEquip_4001.png,4,4,10,,,,,10,1001,4,1003,4,1008,2,0,,
4002,青囊,记有传奇医术的医书，不易获得。,#servantEquip_4002.png,4,3,19,,,,,10,1002,4,1005,4,,,0,,
4003,如意,白玉所制的精巧如意，不易获得。,#servantEquip_4003.png,4,1,142,,,,,8,1003,4,1004,4,,,0,,
4004,退虎服,绣有猛虎图案的上品劲装，不易获得。,#servantEquip_4004.png,4,6,13,,,,,10,1004,4,1005,4,,,0,,
