name,skey1,svalue1,skey2,svalue2,skey3,svalue3,skey4,svalue4,skey5,svalue5,skey6,svalue6,skey7,svalue7,skey8,svalue8,skey9,svalue9,skey10,svalue10,skey11,svalue11,skey12,svalue12,skey13,svalue13,skey14,svalue14,skey15,svalue15,skey16,svalue16,skey17,svalue17,skey18,svalue18,skey19,svalue19,skey20,svalue20,skey21,svalue21,skey22,svalue22,skey23,svalue23,skey24,svalue24,skey25,svalue25,skey26,svalue26,skey27,svalue27,skey28,svalue28,skey29,svalue29,skey30,svalue30,skey31,svalue31,skey32,svalue32,skey33,svalue33,skey34,svalue34,skey35,svalue35,skey36,svalue36,skey37,svalue37,skey38,svalue38,skey39,svalue39,skey40,svalue40,skey41,svalue41,skey42,svalue42,skey43,svalue43,skey44,svalue44,skey45,svalue45,skey46,svalue46,skey47,svalue47,skey48,svalue48,skey49,svalue49,skey50,svalue50
meishiwu,weight1,50,weight2,30,weight3,20,max,45,recover,24,eachBuy,3,price,30,time,60,rate1,30000,rate2,50000,rate3,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saodang,rate,10000,sweeptimes,9999,sweepfreetimes,0,amount,50,price1,10,price2,20,price3,40,price4,80,price5,120,price6,160,price7,200,price8,240,price9,280,price10,320,price11,360,price12,400,price13,440,price14,480,price15,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normalrelive,dayfreetimes,0,maxtimes,3,cost1,10,cost2,20,cost3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eliterelive,dayfreetimes,0,maxtimes,3,cost1,10,cost2,20,cost3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialrelive,dayfreetimes,0,maxtimes,3,cost1,10,cost2,20,cost3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trial,dayfreetimes,0,relivemaxtimes,3,cost1,10,cost2,20,cost3,40,player2dayfreetimes,0,reliveplayer2maxtimes,3,player2cost1,5,player2cost2,10,player2cost3,20,ratecost1,100,ratecost2,180,ratecost3,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonusrelive,dayfreetimes,0,maxtimes,3,cost1,10,cost2,20,cost3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masterrelive,dayfreetimes,0,maxtimes,3,cost1,10,cost2,20,cost3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
welfaremarketrelive,dayfreetimes,0,maxtimes,3,cost1,10,cost2,20,cost3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normalbuff,buffid1,1,buffid2,2,buffid3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elitebuff,buffid1,1,buffid2,2,buffid3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialbuff,buffid1,1,buffid2,2,buffid3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trialbuff,buffid1,1,buffid2,2,buffid3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bonusrelivebuff,buffid1,1,buffid2,2,buffid3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masterrelivebuff,buffid1,1,buffid2,2,buffid3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
welfaremarketrelivebuff,buffid1,1,buffid2,2,buffid3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twelvepalace,dailyreset,1,needitemid,100055,canresetitem,100055,resetlowerlimit,2,buycost,50,buybosscost,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
climbtower,dailyreset,1,needitemid,100066,canresetitem,100066,resetlowerlimit,2,buycost,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strength,max,999,time,60,price1,50,price2,50,price3,50,price4,100,price5,100,price6,100,price7,150,price8,150,price9,150,price10,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysticalshopcost,refreshtime1,10,refreshtime2,20,refreshtime3,40,refreshtime4,80,refreshtime5,160,refreshtime6,320,refreshtime7,320,refreshtime8,320,refreshtime9,320,refreshtime10,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
