skillId,name,desc,desc1,type,subType,target,maxLevel,frameStart,frameCount,airFrameInfostart,airFrameInfototalNum,impactFrameInfo,effectIds,resPrefix,icon,anchorPoint,control,controlSpeed,loopNum,loopFrameStart,loopFrameEnd,canTurnFace,disableUpgrade,attackRange,normalMode,fastMode,distance,hprate,changeStatus,openLv
1001,大飞普攻,大飞普攻,大飞普攻,1,-1,1,1,0,88,0,0,,,hero0001_skill01,,0.5;0.27,0,0,0,0,0,FALSE,TRUE,-75;-12;140;150,,,"0_250_1.5,250_500_2","0_30_1.5,30_80_2",,0
1002,大飞空中普攻,大飞空中普攻,大飞空中普攻,1,2,1,1,0,61,17,17,,,hero0001_skill02,,0.5;0.27,0,0,0,0,0,FALSE,TRUE,-75;-12;100;120,0_52;57_58,0_52;57_58,,,,0
1003,云震,"18<row><color=136,140,107>快速冲至对手面前，对对手进行连击。",快速冲至对手面前，对对手进行连击。,1,4,1,80,0,78,0,0,"6,5",,hero0001_skill05,#skill_1003.png,0.5;0.27,0,0,0,0,0,FALSE,FALSE,-75;-12;340;450,0_38,0_29;39_77,,,,1
1004,百裂打,"18<row><color=156,171,112>使出极速连打，对对手造成伤害。",使出极速连打，对对手造成伤害。,1,-1,1,80,0,89,0,0,,,hero0001_skill06,#skill_1004.png,0.5;0.27,0,0,0,0,0,FALSE,FALSE,-75;-12;180;200,0_56,0_52;57_88,,,,3
1005,龙吸,"18<row><color=156,171,112>将对手拉到自己面前，并对对手进行连击。",将对手拉到自己面前，并对对手进行连击。,1,-1,1,80,0,83,0,0,,,hero0001_skill07,#skill_1005.png,0.5;0.27,0,0,0,0,0,FALSE,FALSE,-75;-12;340;450,0_43,0_37;44_82,,,,5
1006,地裂波,"18<row><color=156,171,112>连续轰击地面，对范围内所有对手造成伤<row><color=156,171,112>害。",连续轰击地面，对范围内所有对手造成伤害。,1,-1,1,80,0,103,0,0,,,hero0001_skill08,#skill_1006.png,0.5;0.27,0,0,0,0,0,FALSE,FALSE,-75;-12;180;200,0_63,0_57;64_102,,,,10
1007,龙卷,"18<row><color=156,171,112>将自身化为疾风，径直向前方冲锋。",将自身化为疾风，径直向前方冲锋。,1,-1,1,80,0,85,0,0,,,hero0001_skill09,#skill_1007.png,0.5;0.27,0,0,0,0,0,FALSE,FALSE,-75;-12;240;350,0_50,0_44;51_84,,,,20
1008,爆裂转,"18<row><color=156,171,112>猛力一跃，并在落地后连续发动升龙击。",猛力一跃，并在落地后连续发动升龙击。,1,-1,1,80,0,118,0,0,,,hero0001_skill10,#skill_1008.png,0.5;0.27,0,0,0,0,0,FALSE,FALSE,100;150;380;400,0_80,0_117,,,,30
1009,千斤鼎,"18<row><color=156,171,112>猛烈撼动大地，并对范围内所有对手造成伤害。",猛烈撼动大地，并对范围内所有对手造成伤害。,1,3,1,1,0,34,0,0,,,hero0001_skill11,#skill_1009.png,0.5;0.27,0,0,0,0,0,FALSE,TRUE,-750;-720;1250;1300,,,,,,0
1010,紫雾毒蛇,"18<row><color=156,171,112>召唤巴蛇喷射毒雾，让所有对手中毒并造成伤害。",召唤巴蛇喷射毒雾，让所有对手中毒并造成伤害。,1,3,1,1,0,104,0,0,,,hero0001_skill12,#skill_1010.png,0.5;0.27,0,0,0,0,0,FALSE,TRUE,-750;-720;1250;1300,,,,,,0
1011,巴蛇乱舞,"18<row><color=156,171,112>召唤巴蛇遮蔽天日，一瞬间对范围内所有对手造成<row><color=156,171,112>大量伤害。",召唤巴蛇遮蔽天日，一瞬间对范围内所有对手造成大量伤害。,1,3,1,1,0,126,0,0,,,hero0001_skill13,#skill_1011.png,0.5;0.27,0,0,0,0,0,FALSE,TRUE,-750;-720;1250;1300,,,,,,0
2001,武崧普攻,武崧普攻,武崧普攻,1,-1,1,1,0,92,0,0,,,hero0002_skill01,,0.5;0.305,0,0,0,0,0,FALSE,TRUE,-75;-12;140;150,,,,,,0
2002,武松空中普攻,武松空中普攻,武松空中普攻,1,2,1,1,0,55,15,21,,,hero0002_skill02,,0.5;0.305,0,0,0,0,0,FALSE,TRUE,-75;-12;180;200,,,,,,0
2003,倒转乾坤,"18<row><color=156,171,112>腾身踢向对手，并对沿途的对手造成伤害。",腾身踢向对手，并对沿途的对手造成伤害。,1,-1,1,80,0,88,0,0,,,hero0002_skill05,#skill_2003.png,0.5;0.305,0,0,0,0,0,FALSE,FALSE,-75;-12;140;150,0_46,0_34;47_87,,,,1
