id,id1,id2,id3,id4
1001,1001,2001,3001,4001
1002,1002,2002,3002,4002
1003,1003,2003,3004,4003
1004,1004,2004,3005,4004
1005,1005,2005,3006,4005
1006,1006,2006,3003,4006
1007,1007,2007,3007,4007
1008,1008,2008,3008,4008
1009,1009,2009,3009,4009
1010,1010,2010,3010,4010
1011,1011,2011,3011,4011
2001,1001,2001,3001,4001
2002,1002,2002,3002,4002
2003,1003,2003,3004,4003
2004,1004,2004,3005,4004
2005,1005,2005,3006,4005
2006,1006,2006,3003,4006
2007,1007,2007,3007,4007
2008,1008,2008,3008,4008
2009,1009,2009,3009,4009
2010,1010,2010,3010,4010
2011,1011,2011,3011,4011
3001,1001,2001,3001,4001
3002,1002,2002,3002,4002
3003,1006,2006,3003,4006
3004,1003,2003,3004,4003
3005,1004,2004,3005,4004
3006,1005,2005,3006,4005
3007,1007,2007,3007,4007
3008,1008,2008,3008,4008
3009,1009,2009,3009,4009
3010,1010,2010,3010,4010
3011,1011,2011,3011,4011
4001,1001,2001,3001,4001
4002,1002,2002,3002,4002
4003,1003,2003,3004,4003
4004,1004,2004,3005,4004
4005,1005,2005,3006,4005
4006,1006,2006,3003,4006
4007,1007,2007,3007,4007
4008,1008,2008,3008,4008
4009,1009,2009,3009,4009
4010,1010,2010,3010,4010
4011,1011,2011,3011,4011
