stageId,chapterId,name,desc,type,sceneID,sceneUI,sceneConfig,finShowList,point,capacity,stageStepCount,strengthCost,challengetimesLimit,startLimit1,startLimit2,startLimit3,startLimit4,startLimit5,bossShow,StarRequire1,StarRequire2,StarRequire3,awardGold,awardExp,awardOther,awardID,firstAwardID,awardCardID,awardShow,awardCardShow,monsterAward,firstAwardShow,threat,limittime1,limittime2,bgmusic,stageTarget
101,1,巴山试炼,简单,6,1001,,101,102,,50000,1,0,6,1;30,,,,,,,,,8000,0,1;6;500,11,0,,,,,,420,180,300,101,10
102,1,巴山试炼,普通,6,1005,,102,103,,51000,1,0,6,1;40,,,,,,,,,10000,0,1;6;750,12,0,,,,,,420,180,300,102,10
103,1,巴山试炼,困难,6,1003,,103,104,,52000,1,0,6,1;50,,,,,,,,,12000,0,1;6;1000,13,0,,,,,,420,180,300,101,10
104,1,巴山试炼,噩梦,6,1002,,104,105,,53000,1,0,6,1;60,,,,,,,,,15000,0,1;6;1500,14,0,,,,,,420,180,300,102,10
105,1,巴山试炼,传奇,6,1006,,105,,,54000,1,0,6,1;70,,,,,,,,,20000,0,1;6;2000,15,0,,,,,,420,180,300,101,10
10101,101,第一章 第1关,数数多少个字凑十个吧,1,1004,#stagePrivew_1004.png,10101-3840,10102,212;422,452,3,0,50,1;1,,,,,#monster0001_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,4,4,,1010101,1010102,,"(11,1);(11,1001);(11,1002)",,,"(11,1,10)",0,0,300,101,1
10102,101,第一章 第2关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1004,#stagePrivew_1004.png,10102-3840,10103,297;317,515,10,0,50,1;2,,,,,#monster0033_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,6,6,,1010201,1010202,,"(11,1);(11,1001);(11,1002)",,,"(11,1001,10)",0,0,300,102,3
10103,101,第一章 第3关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1004,#stagePrivew_1004.png,10103-3840,10104,200;200,580,3,0,50,1;3,,,,,#monster0049_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,8,8,,1010301,1010302,,"(11,1);(11,1001);(11,1002)",,,"(11,1002,10)",0,0,300,101,2
10104,101,第一章 第4关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1005,#stagePrivew_1005.png,10104-3840,10105,397;207,580,3,0,50,1;3,,,,,#monster0020_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,9,9,,1010401,1010402,,"(11,1);(11,1001);(11,1002)",,,"(11,1,10)",0,0,300,102,1
10105,101,第一章 第5关,数数多少个字凑十个吧,1,1004,#stagePrivew_1004.png,10105-3840,10106,455;309,809,12,0,50,1;4,,,,,#monster0024_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,10,10,,1010501,1010502,,"(11,1);(11,1001);(11,1002)",,,"(11,1001,10)",0,0,300,101,3
10106,101,第一章 第6关,数数多少个字凑十个吧,1,1004,#stagePrivew_1004.png,10106-3840,10201,612;234,885,3,0,50,1;5,,,,,#monster0005_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,11,11,,1010601,1010602,,"(11,1);(11,1001);(11,1002)",,,"(11,1002,10)",0,0,300,102,1
10201,102,第二章 第1关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1007,#stagePrivew_1007.png,10201-3840,10202,213;417,1339,3,0,50,1;6,,,,,#monster0038_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,11,11,,1020101,1020102,,"(11,1);(11,1001);(11,1002)",,,"(11,1,10)",0,0,300,101,1
10202,102,第二章 第2关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1007,#stagePrivew_1007.png,10202-3840,10203,298;302,1339,20,0,50,1;6,,,,,#monster0046_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,12,12,,1020201,1020202,,"(11,1);(11,1001);(11,1002)",,,"(11,1001,10)",0,0,300,102,3
10203,102,第二章 第3关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1005,#stagePrivew_1005.png,10203-3840,10204,236;183,1472,1,0,50,1;7,,,,,#monster0053_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,12,12,,1020301,1020302,,"(11,1);(11,1001);(11,1002)",,,"(11,1002,10)",0,0,300,101,6
10204,102,第二章 第4关,数数多少个字凑十个吧,2,1001,#stagePrivew_1001.png,10204-3840,10205,443;199,1472,3,5,50,1;7,,,,,#monster0019_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,47,47,,1020401,1020402,,"(9,1001);(9,1002);(6,1)",,,"(9,1001,1)",0,0,300,102,2
10205,102,第二章 第5关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1001,#stagePrivew_1001.png,10205-3840,10206,562;258,1537,3,0,50,1;8,,,,,#monster0010_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,13,13,,1020501,1020502,,"(11,1);(11,1001);(11,1002)",,,"(11,1,10)",0,0,300,101,1
10206,102,第二章 第6关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1004,#stagePrivew_1004.png,10206-3840,10207,524;432,1537,2,0,50,1;8,,,,,#monster0053_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,14,14,,1020601,1020602,,"(11,1);(11,1001);(11,1002)",,,"(11,1001,10)",0,0,300,102,2
10207,102,第二章 第7关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1004,#stagePrivew_1004.png,10207-3840,10208,690;346,1653,3,0,50,1;9,,,,,#monster0071_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,14,14,,1020701,1020702,,"(11,1);(11,1001);(11,1002)",,,"(11,1002,10)",0,0,300,101,1
10208,102,第二章 第8关,数数多少个字凑十个吧,2,1004,#stagePrivew_1004.png,10208-3840,10209,810;226,1653,20,5,50,1;9,,,,,#monster0019_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,52,52,,1020801,1020802,,"(9,1001);(9,1002);(6,1)",,,"(9,1002,1)",0,0,300,102,3
10209,102,第二章 第9关,数数多少个字凑十个吧数数多少个字凑十个吧,1,1004,#stagePrivew_1004.png,10209-3840,10301,973;340,1793,1,0,50,1;10,,,,,#monster0010_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,15,15,,1020901,1020902,,"(11,1);(11,1001);(11,1002)",,,"(11,1,10)",0,0,300,101,6
10301,103,第三章 第1关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1007,#stagePrivew_1007.png,10301-3840,10302,212;422,1793,3,0,50,1;10,,,,,#monster0030_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,16,16,,1030101,1030102,,"(11,1);(11,1001);(11,1002)",,,"(11,1,10)",0,0,300,102,1
10302,103,第三章 第2关,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,1,1007,#stagePrivew_1007.png,10302-3840,10303;10304,297;317,2176,20,0,50,1;11,,,,,#monster0056_headiconM.png,6;0;通关关卡,1;150;通关时间小于150秒,4;25;生命值未低于25%,16,16,,1030201,1030202,,"(11,1);(11,1001);(11,1002)",,,"(11,1001,10)",0,0,300,101,3
