id,awardcontent,attackpower,HP,scorecost,res,,,
11001,11001101,0,0,10,#challenge_icon_event3.png,,,
11002,11002101,4,8,10,#challenge_icon_event3.png,,,
11003,11003101,10,20,10,#challenge_icon_event3.png,,,
11011,11011101,0,0,10,#challenge_icon_event3.png,,,
11012,11012101,4,8,10,#challenge_icon_event3.png,,,
11013,11013101,10,20,10,#challenge_icon_event3.png,,,
11021,11021101,0,0,10,#challenge_icon_event3.png,,,
11022,11022101,4,10,10,#challenge_icon_event3.png,,,
11023,11023101,11,25,10,#challenge_icon_event3.png,,,
11031,11031101,0,0,10,#challenge_icon_event3.png,,,
11032,11032101,4,12,10,#challenge_icon_event3.png,,,
11033,11033101,12,30,10,#challenge_icon_event3.png,,,
11041,11041101,0,0,10,#challenge_icon_event3.png,,,
11042,11042101,5,14,10,#challenge_icon_event3.png,,,
11043,11043101,13,35,10,#challenge_icon_event3.png,,,
11051,11051101,0,0,10,#challenge_icon_event3.png,,,
11052,11052101,5,16,10,#challenge_icon_event3.png,,,
11053,11053101,14,40,11,#challenge_icon_event3.png,,,
11061,11061101,0,0,10,#challenge_icon_event3.png,,,
11062,11062101,5,14,10,#challenge_icon_event3.png,,,
11063,11063101,13,35,10,#challenge_icon_event3.png,,,
11071,11071101,0,0,10,#challenge_icon_event3.png,,,
11072,11072101,5,16,10,#challenge_icon_event3.png,,,
11073,11073101,14,40,11,#challenge_icon_event3.png,,,
11081,11081101,0,0,10,#challenge_icon_event3.png,,,
11082,11082101,6,18,10,#challenge_icon_event3.png,,,
11083,11083101,15,45,12,#challenge_icon_event3.png,,,
11091,11091101,0,0,10,#challenge_icon_event3.png,,,
11092,11092101,6,20,10,#challenge_icon_event3.png,,,
11093,11093101,16,50,12,#challenge_icon_event3.png,,,
11101,11101101,0,0,10,#challenge_icon_event3.png,,,
11102,11102101,6,22,10,#challenge_icon_event3.png,,,
11103,11103101,17,55,13,#challenge_icon_event3.png,,,
11111,11111101,0,0,10,#challenge_icon_event3.png,,,
11112,11112101,6,20,10,#challenge_icon_event3.png,,,
11113,11113101,16,50,12,#challenge_icon_event3.png,,,
11121,11121101,0,0,10,#challenge_icon_event3.png,,,
11122,11122101,6,22,10,#challenge_icon_event3.png,,,
11123,11123101,17,55,13,#challenge_icon_event3.png,,,
11131,11131101,0,0,10,#challenge_icon_event3.png,,,
11132,11132101,7,24,10,#challenge_icon_event3.png,,,
11133,11133101,18,60,14,#challenge_icon_event3.png,,,
11141,11141101,0,0,10,#challenge_icon_event3.png,,,
11142,11142101,9,36,10,#challenge_icon_event3.png,,,
11143,11143101,24,90,19,#challenge_icon_event3.png,,,
11151,11151101,0,0,10,#challenge_icon_event3.png,,,
11152,11152101,10,38,10,#challenge_icon_event3.png,,,
11153,11153101,25,95,20,#challenge_icon_event3.png,,,
11161,11161101,0,0,10,#challenge_icon_event3.png,,,
11162,11162101,9,36,10,#challenge_icon_event3.png,,,
11163,11163101,24,90,19,#challenge_icon_event3.png,,,
11171,11171101,0,0,10,#challenge_icon_event3.png,,,
11172,11172101,10,38,10,#challenge_icon_event3.png,,,
11173,11173101,25,95,20,#challenge_icon_event3.png,,,
11181,11181101,0,0,10,#challenge_icon_event3.png,,,
11182,11182101,10,40,10,#challenge_icon_event3.png,,,
11183,11183101,26,100,20,#challenge_icon_event3.png,,,
11191,11191101,0,0,10,#challenge_icon_event3.png,,,
11192,11192101,12,52,10,#challenge_icon_event3.png,,,
11193,11193101,32,130,25,#challenge_icon_event3.png,,,
11201,11201101,0,0,10,#challenge_icon_event3.png,,,
11202,11202101,15,66,12,#challenge_icon_event3.png,,,
11203,11203101,39,165,31,#challenge_icon_event3.png,,,
11211,11211101,0,0,10,#challenge_icon_event3.png,,,
11212,11212101,15,64,12,#challenge_icon_event3.png,,,
11213,11213101,38,160,30,#challenge_icon_event3.png,,,
11221,11221101,0,0,10,#challenge_icon_event3.png,,,
11222,11222101,15,66,12,#challenge_icon_event3.png,,,
11223,11223101,39,165,31,#challenge_icon_event3.png,,,
11231,11231101,0,0,10,#challenge_icon_event3.png,,,
11232,11232101,16,68,12,#challenge_icon_event3.png,,,
11233,11233101,40,170,32,#challenge_icon_event3.png,,,
11241,11241101,0,0,10,#challenge_icon_event3.png,,,
11242,11242101,18,80,14,#challenge_icon_event3.png,,,
11243,11243101,46,200,36,#challenge_icon_event3.png,,,
11251,11251101,0,0,10,#challenge_icon_event3.png,,,
11252,11252101,24,108,19,#challenge_icon_event3.png,,,
11253,11253101,60,270,48,#challenge_icon_event3.png,,,
11261,11261101,0,0,10,#challenge_icon_event3.png,,,
11262,11262101,23,106,18,#challenge_icon_event3.png,,,
11263,11263101,59,265,47,#challenge_icon_event3.png,,,
11271,11271101,0,0,10,#challenge_icon_event3.png,,,
11272,11272101,24,108,19,#challenge_icon_event3.png,,,
11273,11273101,60,270,48,#challenge_icon_event3.png,,,
11281,11281101,0,0,10,#challenge_icon_event3.png,,,
11282,11282101,24,110,19,#challenge_icon_event3.png,,,
11283,11283101,61,275,48,#challenge_icon_event3.png,,,
11291,11291101,0,0,10,#challenge_icon_event3.png,,,
