stageId,chapterId,floor,name,desc,finShowList,point,stageStepCount,icon,awardGold,awardExp,awardOther,awardID,firstAwardID,mopuptype,event1,eventrate1,event2,eventrate2,event3,eventrate3,event4,eventrate4,event5,eventrate5,
1001,1,1,鼓第1层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,5,,,3,100101,7500,100102,625,100103,625,100104,625,100105,625,
1002,1,2,鼓第2层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,5,,,3,100201,5000,100202,2500,100203,2500,100204,0,100205,0,
1003,1,3,鼓第3层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,5,,,3,100301,5000,100302,800,100303,800,100304,900,100305,2500,
1004,1,4,鼓第4层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,5,,,3,100401,10000,100402,0,100403,0,100404,0,100405,0,
1005,1,5,鼓第5层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,20,,,3,100501,5000,100502,800,100503,800,100504,900,100505,2500,
1006,1,6,鼓第6层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,10,,,3,100601,10000,100602,0,100603,0,100604,0,100605,0,
1007,1,7,鼓第7层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,10,,,3,100701,5000,100702,2500,100703,2500,100704,0,100705,0,
1008,1,8,鼓第8层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,10,,,3,100801,5000,100802,2500,100803,800,100804,800,100805,900,
1009,1,9,鼓第9层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,10,,,3,100901,10000,100902,0,100903,0,100904,0,100905,0,
1010,1,10,鼓第10层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,25,,,3,101001,10000,101002,0,101003,0,101004,0,101005,0,
1011,1,11,鼓第11层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,15,,,3,101101,10000,101102,0,101103,0,101104,0,101105,0,
1012,1,12,鼓第12层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,15,,,3,101201,2000,101202,2000,101203,2000,101204,2000,101205,2000,
1013,1,13,鼓第13层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,15,,,3,101301,5000,101302,1250,101303,1250,101304,1250,101305,1250,
1014,1,14,鼓第14层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,15,,,3,101401,10000,101402,0,101403,0,101404,0,101405,0,
1015,1,15,鼓第15层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,30,,,3,101501,5000,101502,1250,101503,1250,101504,1250,101505,1250,
1016,1,16,鼓第16层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,20,,,3,101601,10000,101602,0,101603,0,101604,0,101605,0,
1017,1,17,鼓第17层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,20,,,3,101701,5000,101702,5000,101703,0,101704,0,101705,0,
1018,1,18,鼓第18层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,20,,,3,101801,10000,101802,0,101803,0,101804,0,101805,0,
1019,1,19,鼓第19层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,20,,,3,101901,5000,101902,5000,101903,0,101904,0,101905,0,
1020,1,20,鼓第20层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,35,,,3,102001,10000,102002,0,102003,0,102004,0,102005,0,
1021,1,21,鼓第21层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,25,,,3,102101,2500,102102,2500,102103,1600,102104,1600,102105,1800,
1022,1,22,鼓第22层,完成所有的事件,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,0,0,25,,,3,102201,10000,102202,0,102203,0,102204,0,102205,0,
