stageId,chapterId,name,desc,type,sceneID,sceneConfig,finShowList,point,capacity,stageStepCount,strengthCost,challengetimesLimit,startLimit1,startLimit2,startLimit3,startLimit4,startLimit5,icon,bossShow,bosspic,sceneUI,StarRequire1,StarRequire2,StarRequire3,StarRequire4,StarRequire5,awardGold,awardExp,awardOther,awardID,firstAwardID,awardCardID,awardShow,awardCardShow,monsterAward,firstAwardShow,threat,limittime1,limittime2,mopuptype,isBoss,dialogue,stageTarget,bgmusic
50101,501,前厅,数数多少个字凑十个吧,7,1002,50101-3840,50102,203;443,3200,3,0,5,1;16,,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,#monster0001_headiconM.png,,#stagePrivew_1002.png,6;0;通关关卡,1;150;通关时间小于2'30'',4;25;生命值未低于25%,,,1000,0,5;1;50,5010101,0,0,"(16,111);(16,112)","(0,0)",0_0_0,"(0,0)",0,0,300,3,0,,6,101
50102,501,正厅,数数多少个字凑十个吧数数多少个字凑十个吧,7,11001,50102-9984,50103,332;530,3400,3,0,5,1;16,,,,,#palace_stage_icon_lock_2.png;#palace_stage_icon_unlock_2.png,#monster0001_headiconM.png,,#stagePrivew_1001.png,6;0;通关关卡,1;150;通关时间小于2'30'',4;25;生命值未低于25%,,,1400,0,5;1;50,5010201,0,0,"(16,113);(16,114)","(0,0)",0_0_0,"(0,0)",0,0,300,3,0,,4,102
50103,501,界石,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,7,1005,50103-3840,50104,332;381,3600,6,0,5,1;16,,,,,#palace_stage_icon_lock_3.png;#palace_stage_icon_unlock_3.png,#monster0001_headiconM.png,,#stagePrivew_1005.png,6;0;通关关卡,1;150;通关时间小于2'30'',4;25;生命值未低于25%,,,1800,0,5;1;50,5010301,0,0,"(16,115);(16,116)","(0,0)",0_0_0,"(0,0)",0,0,300,3,0,,6,101
50104,501,后厅,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,7,1004,50104-3840,50105,521;359,3800,5,0,5,1;16,,,,,#palace_stage_icon_lock_4.png;#palace_stage_icon_unlock_4.png,#monster0001_headiconM.png,,#stagePrivew_1004.png,6;0;通关关卡,1;150;通关时间小于2'30'',4;25;生命值未低于25%,,,2200,0,5;1;50,5010401,0,0,"(16,111);(16,112)","(0,0)",0_0_0,"(0,0)",0,0,300,3,0,,7,102
50105,501,纳宗宗主,数数多少个字凑十个吧,7,1001,50105-3840,,478;234,4000,2,0,1,1;16,,,,,#palace_stage_icon_lock_5.png;#palace_stage_icon_unlock_5.png,#monster0008_headiconM.png,#servantPic_0008.png,#stagePrivew_1001.png,6;0;通关关卡,1;150;通关时间小于2'30'',4;25;生命值未低于25%,3;1;至少使用一次急速模式,5;1;击杀乱入者,3000,0,5;1;300,5010501,0,0,"(12,1002);(16,113);(16,114)","(0,0)",0_0_0,"(0,0)",0,90,300,0,1,永远也别想有人在我这里通过考试！;尝尝我的铁尺量身！;分宗试炼？你们别想从我这里通过！,1,101
50201,502,前厅,数数多少个字凑十个吧数数多少个字凑十个吧,7,1005,50201-3840,50202,203;443,4500,3,0,5,1;20,,,,,#palace_stage_icon_lock_1.png;#palace_stage_icon_unlock_1.png,#monster0001_headiconM.png,,#stagePrivew_1005.png,6;0;通关关卡,1;150;通关时间小于2'30'',4;25;生命值未低于25%,,,1000,0,5;2;50,5020101,0,0,"(16,111);(16,112)","(0,0)",0_0_0,"(0,0)",0,0,300,3,0,,6,102
50202,502,正厅,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,7,11001,50202-9984,50203,332;530,5000,3,0,5,1;20,,,,,#palace_stage_icon_lock_2.png;#palace_stage_icon_unlock_2.png,#monster0001_headiconM.png,,#stagePrivew_1001.png,6;0;通关关卡,1;150;通关时间小于2'30'',4;25;生命值未低于25%,,,1400,0,5;2;50,5020201,0,0,"(16,113);(16,114)","(0,0)",0_0_0,"(0,0)",0,0,300,3,0,,4,101
50203,502,界石,数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧数数多少个字凑十个吧,7,1005,50203-3840,50204,332;381,5500,6,0,5,1;20,,,,,#palace_stage_icon_lock_3.png;#palace_stage_icon_unlock_3.png,#monster0001_headiconM.png,,#stagePrivew_1005.png,6;0;通关关卡,1;150;通关时间小于2'30'',4;25;生命值未低于25%,,,1800,0,5;2;50,5020301,0,0,"(16,115);(16,116)","(0,0)",0_0_0,"(0,0)",0,0,300,3,0,,6,102
50204,502,后厅,数数多少个字凑十个吧,7,1004,50204-3840,50205,521;359,6000,5,0,5,1;20,,,,,#palace_stage_icon_lock_4.png;#palace_stage_icon_unlock_4.png,#monster0001_headiconM.png,,#stagePrivew_1004.png,6;0;通关关卡,1;150;通关时间小于2'30'',4;25;生命值未低于25%,,,2200,0,5;2;50,5020401,0,0,"(16,111);(16,112)","(0,0)",0_0_0,"(0,0)",0,0,300,3,0,,7,101
50205,502,录宗宗主,数数多少个字凑十个吧数数多少个字凑十个吧,7,1005,50205-3840,,478;234,6500,2,0,1,1;20,,,,,#palace_stage_icon_lock_5.png;#palace_stage_icon_unlock_5.png,#monster0009_headiconM.png,#servantPic_0009.png,#stagePrivew_1005.png,6;0;通关关卡,1;150;通关时间小于2'30'',4;25;生命值未低于25%,3;1;至少使用一次急速模式,5;1;击杀乱入者,3000,0,5;2;300,5020501,0,0,"(12,1002);(16,113);(16,114)","(0,0)",0_0_0,"(0,0)",0,90,300,0,1,别妄想我会手下留情，我可不会手软。;入我阵中，生死就由我掌控！;在我画出的棋局里，你们只是可怜的棋子。,1,102
