id,charge,stageCard1,stageCard2,stageCard3,stageCard4,mammon,strengthPurchase,stageReset,stageCleanOut10,friend,love,foodBuy,welfaremarket,trailtimes,climtowertimes,twelvePalaceBuy,twelvePalaceBossBuy,territorybuytimes,giftID,buyrankgametimes,cattaskbuytimes
0,600,0,10,30,80,20,1,0,0,80,10,9,0,5,0,0,0,3,,3,3
1,2400,0,10,30,80,20,2,0,0,80,10,12,1,6,0,0,0,4,9101,4,4
2,8000,0,10,30,80,20,2,0,0,80,10,12,1,6,0,0,0,4,9102,4,4
3,18000,0,0,30,80,20,3,0,0,80,10,12,1,6,0,0,0,4,9103,4,4
4,30000,0,0,30,80,20,4,0,0,80,10,15,2,6,0,0,0,5,9104,5,5
5,60000,0,0,30,80,30,5,0,1,80,10,15,2,6,0,0,0,5,9105,5,5
6,100000,0,0,30,80,30,6,1,1,80,10,18,3,7,1,1,1,6,9106,6,6
7,150000,0,0,30,80,30,7,1,1,80,10,18,3,7,1,1,1,6,9107,6,6
8,200000,0,0,30,80,30,8,1,1,80,10,24,3,7,1,1,1,8,9108,8,8
9,300000,0,0,30,80,30,9,1,1,80,10,24,3,7,1,1,1,8,9109,8,8
10,500000,0,0,30,80,30,10,1,1,80,10,30,4,7,1,1,1,10,9110,10,10
11,800000,0,0,30,80,40,10,2,1,80,10,30,4,8,2,2,2,10,9111,10,10
12,1000000,0,0,30,80,40,10,2,1,80,10,30,4,8,2,2,2,10,9112,10,10
13,1200000,0,0,30,80,40,10,2,1,80,10,30,4,8,2,2,2,10,9113,10,10
14,0,0,0,30,80,40,10,2,1,80,10,30,4,8,2,2,2,10,9114,10,10
