levelID,targethp,challengetimes,targetaward,awardshow,limit1,limit2,limit3,limit4,limit5,capacity1,capacity2,capacity3,capacity4,capacity5,subtract1,subtract2,subtract3,subtract4,subtract5,winaward1,winaward2,winaward3,winaward4,winaward5,loseaward1,loseaward2,loseaward3,loseaward4,loseaward5,sceneUI1,sceneUI2,sceneUI3,sceneUI4,sceneUI5,awardshow1,awardshow2,awardshow3,awardshow4,awardshow5
1,10000,2,18101,"1,1,100000;32,1,100;80,9,4;6,6,100",4,4,4,4,3,1000,2000,3000,4000,5000,500,500,500,500,1000,18111,18112,18113,18114,18115,18161,18162,18163,18164,18165,#stagePrivew_1007.png,#stagePrivew_1007.png,#stagePrivew_1007.png,#stagePrivew_1007.png,#stagePrivew_1007.png,"1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6"
2,15000,2,18102,"1,1,200000;32,1,100;80,9,4;6,6,100",4,4,4,4,3,6000,7000,8000,9000,10000,500,500,500,500,1000,18116,18117,18118,18119,18120,18166,18167,18168,18169,18170,#stagePrivew_1001.png,#stagePrivew_1001.png,#stagePrivew_1001.png,#stagePrivew_1001.png,#stagePrivew_1001.png,"1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6"
3,30000,2,18103,"1,1,300000;32,1,100;80,9,4;6,6,100",5,5,5,5,3,11000,12000,13000,14000,15000,1000,1000,1000,1000,2000,18121,18122,18123,18124,18125,18171,18172,18173,18174,18175,#stagePrivew_1002.png,#stagePrivew_1002.png,#stagePrivew_1002.png,#stagePrivew_1002.png,#stagePrivew_1002.png,"1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6"
4,35000,2,18104,"1,1,400000;32,1,100;80,9,4;6,6,100",5,5,5,5,3,16000,17000,18000,19000,20000,1000,1000,1000,1000,2000,18126,18127,18128,18129,18130,18176,18177,18178,18179,18180,#stagePrivew_1003.png,#stagePrivew_1003.png,#stagePrivew_1003.png,#stagePrivew_1003.png,#stagePrivew_1003.png,"1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6"
5,50000,2,18105,"1,1,500000;32,1,100;80,9,4;6,6,100",6,6,6,6,3,21000,22000,23000,24000,25000,1500,1500,1500,1500,3000,18131,18132,18133,18134,18135,18181,18182,18183,18184,18185,#stagePrivew_1004.png,#stagePrivew_1004.png,#stagePrivew_1004.png,#stagePrivew_1004.png,#stagePrivew_1004.png,"1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6"
6,55000,2,18106,"1,1,600000;32,1,100;80,9,4;6,6,100",7,7,7,7,3,26000,27000,28000,29000,30000,1500,1500,1500,1500,3000,18136,18137,18138,18139,18140,18186,18187,18188,18189,18190,#stagePrivew_1005.png,#stagePrivew_1005.png,#stagePrivew_1005.png,#stagePrivew_1005.png,#stagePrivew_1005.png,"1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6"
7,70000,2,18107,"1,1,700000;32,1,100;80,9,4;6,6,100",7,7,7,7,3,31000,32000,33000,34000,35000,2000,2000,2000,2000,4000,18141,18142,18143,18144,18145,18191,18192,18193,18194,18195,#stagePrivew_1006.png,#stagePrivew_1006.png,#stagePrivew_1006.png,#stagePrivew_1006.png,#stagePrivew_1006.png,"1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6"
8,75000,2,18108,"1,1,800000;32,1,100;80,9,4;6,6,100",8,8,8,8,3,36000,37000,38000,39000,40000,2000,2000,2000,2000,4000,18146,18147,18148,18149,18150,18196,18197,18198,18199,18200,#stagePrivew_1001.png,#stagePrivew_1001.png,#stagePrivew_1001.png,#stagePrivew_1001.png,#stagePrivew_1001.png,"1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6"
9,100000,2,18109,"1,1,900000;32,1,100;80,9,4;6,6,100",9,9,9,9,3,41000,42000,43000,44000,45000,2500,2500,2500,2500,5000,18151,18152,18153,18154,18155,18201,18202,18203,18204,18205,#stagePrivew_1002.png,#stagePrivew_1002.png,#stagePrivew_1002.png,#stagePrivew_1002.png,#stagePrivew_1002.png,"1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6"
10,100000,2,18110,"1,1,1000000;32,1,100;80,9,4;6,6,100",10,10,10,10,3,46000,47000,48000,49000,50000,2500,2500,2500,2500,5000,18156,18157,18158,18159,18160,18206,18207,18208,18209,18210,#stagePrivew_1003.png,#stagePrivew_1003.png,#stagePrivew_1003.png,#stagePrivew_1003.png,#stagePrivew_1003.png,"1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6","1,1;32,1;6,6"
